County,Population
Alameda,1648556
Alpine,1235
Amador,41259
Butte,208309
Calaveras,46221
Colusa,21917
Contra Costa,1161413
Del Norte,28100
El Dorado,193221
Fresno,1013581
Glenn,28805
Humboldt,136310
Imperial,179851
Inyo,18970
Kern,917673
Kings,153443
Lake,68766
Lassen,33159
Los Angeles,9829544
Madera,159410
Marin,260206
Mariposa,17147
Mendocino,91305
Merced,286461
Modoc,8661
Mono,13247
Monterey,437325
Napa,136207
Nevada,103487
Orange,3167809
Placer,412300
Plumas,19915
Riverside,2458395
Sacramento,1588921
San Benito,66677
San Bernardino,2194710
San Diego,3286069
San Francisco,815201
San Joaquin,789410
San Luis Obispo,283159
San Mateo,737888
Santa Barbara,446475
Santa Clara,1885508
Santa Cruz,267792
Shasta,182139
Sierra,3283
Siskiyou,44118
Solano,451716
Sonoma,485887
Stanislaus,552999
Sutter,99063
Tehama,65498
Trinity,16060
Tulare,477054
Tuolumne,55810
Ventura,839784
Yolo,216986
Yuba,83421
California,39237836
