" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","11,899","11,739","10,356","9,679","10,127","9,923","9,948","9,734","9,645","10,524"
"Homicide","152","113","102","119","116","90","92","96","143","146"
"Rape (Forcible Rape prior to 2014)","477","362","423","568","628","810","834","702","684","671"
"Rape","407","323","377","521","553","768","784","668","651","648"
"Attempted Rape","70","39","46","47","75","42","50","34","33","23"
"Robbery","6,220","6,806","5,039","4,970","5,112","4,817","4,837","4,916","4,149","4,575"
"Weapon","","","","","","","","","",""
"Firearm","3,220","3,795","2,337","2,259","2,142","1,783","1,490","1,707","1,457","2,126"
"Knife or Cutting Instrument","262","264","268","250","302","309","356","283","310","243"
"Other Weapon","330","320","270","260","331","329","410","339","305","317"
"Strong-Arm","2,408","2,427","2,164","2,201","2,337","2,396","2,581","2,587","2,077","1,889"
"Location","","","","","","","","","",""
"Highway","3,879","4,386","3,199","3,160","2,966","2,501","2,360","2,587","2,081","2,386"
"Commercial","405","431","293","329","408","453","495","474","335","395"
"Gas Station","95","107","70","93","91","109","116","77","123","125"
"Convenience Store","219","172","152","187","200","261","291","232","326","286"
"Residence","467","540","450","321","348","297","295","294","311","380"
"Bank","74","63","53","36","44","38","53","44","40","61"
"Miscellaneous","1,081","1,107","822","844","1,055","1,158","1,227","1,208","933","942"
"Aggravated Assault","5,050","4,458","4,792","4,022","4,271","4,206","4,185","4,020","4,669","5,132"
"Weapon","","","","","","","","","",""
"Firearm","1,808","1,347","1,492","997","1,044","853","865","870","1,296","1,814"
"Knife or Cutting Instrument","277","280","267","513","365","462","514","481","518","524"
"Other Weapon","2,100","2,101","2,320","1,839","2,235","2,193","2,033","1,879","2,036","2,003"
"Hands  Fists  Feet","865","730","713","673","627","698","773","790","819","791"
"Property Crimes","62,130","60,133","57,620","60,009","59,744","63,861","58,856","66,731","58,293","61,133"
"Burglary","13,245","11,718","9,833","8,791","7,993","6,915","6,789","6,516","7,034","5,918"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","9,744","8,489","6,940","6,398","5,809","4,935","4,963","4,852","5,049","3,878"
"No Force","3,501","3,229","2,893","2,393","2,184","1,980","1,826","1,664","1,985","2,040"
"Location / Time","","","","","","","","","",""
"Residence","9,147","7,585","6,095","5,477","4,724","3,846","3,573","3,295","2,944","2,668"
"Night","1,615","1,535","1,314","1,250","1,153","957","956","950","1,132","1,077"
"Day","5,214","4,287","3,289","2,867","2,403","1,859","1,729","1,539","1,041","950"
"Unknown","2,318","1,763","1,492","1,360","1,168","1,030","888","806","771","641"
"Non-Residence","4,098","4,133","3,738","3,314","3,269","3,069","3,216","3,221","4,090","3,250"
"Night","1,587","1,577","1,568","1,351","1,401","1,275","1,489","1,603","2,152","1,612"
"Day","1,302","1,376","1,163","984","853","845","846","881","880","825"
"Unknown","1,209","1,180","1,007","979","1,015","949","881","737","1,058","813"
"Motor Vehicle Theft","13,044","13,593","12,677","12,917","13,922","12,606","10,693","10,267","14,456","15,516"
"Automotive","12,106","12,526","11,648","11,841","12,495","11,174","9,480","9,207","12,452","12,973"
"Trucks and Buses","600","698","576","610","887","992","788","723","1,425","1,868"
"Other","338","369","453","466","540","440","425","337","579","675"
"Larceny-Theft","35,841","34,822","35,110","38,301","37,829","44,340","41,374","49,948","36,803","39,699"
"Type","","","","","","","","","",""
"Pocket-Picking","421","366","345","382","503","852","1,158","1,307","701","621"
"Purse-Snatching","466","424","364","385","342","396","361","474","236","220"
"Shoplifting","3,618","3,465","3,713","4,015","3,707","3,650","3,836","3,852","3,232","3,812"
"From Motor Vehicle","11,988","12,536","14,088","16,310","16,889","21,861","19,622","26,744","16,081","18,315"
"Motor Vehicle Accessories","6,051","5,381","3,931","4,041","3,326","3,698","3,015","4,550","5,614","6,617"
"Bicycles","2,499","2,330","2,868","2,561","2,142","2,032","1,952","1,591","1,394","1,283"
"From Building","2,696","2,332","2,157","2,001","1,915","1,926","1,810","1,697","1,330","1,210"
"Coin Operated Machine","97","91","56","38","32","39","23","48","33","34"
"Other","8,005","7,897","7,588","8,568","8,973","9,886","9,597","9,685","8,182","7,587"
"Value","","","","","","","","","",""
"Over $400","13,007","13,712","14,801","16,417","16,136","20,405","19,086","23,865","16,327","null"
"$200 through $400","5,193","4,976","4,999","5,142","5,008","4,882","4,461","5,411","4,115","null"
"$50 through $199","5,633","5,481","5,374","5,798","5,603","6,017","5,491","5,729","4,571","4,010"
"Under $50","12,008","10,653","9,936","10,944","11,082","13,036","12,336","14,943","11,790","11,669"
"Arson","337","310","326","342","371","439","444","381","495","486"
"Structural Property","174","130","111","133","178","207","210","171","232","256"
"Mobile Property","109","109","158","149","144","162","175","157","194","147"
"Other Property","54","71","57","60","49","70","59","53","69","83"
