" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","8","6","4","9","6","13","12","13","19","19"
"Homicide","0","0","0","0","0","0","0","0","0","0"
"Rape (Forcible Rape prior to 2014)","3","0","1","0","0","0","2","2","0","2"
"Rape","3","0","1","0","0","0","2","2","0","2"
"Attempted Rape","0","0","0","0","0","0","0","0","0","0"
"Robbery","0","0","0","0","0","0","1","0","0","0"
"Weapon","","","","","","","","","",""
"Firearm","0","0","0","0","0","0","0","0","0","0"
"Knife or Cutting Instrument","0","0","0","0","0","0","0","0","0","0"
"Other Weapon","0","0","0","0","0","0","0","0","0","0"
"Strong-Arm","0","0","0","0","0","0","1","0","0","0"
"Location","","","","","","","","","",""
"Highway","0","0","0","0","0","0","0","0","0","0"
"Commercial","0","0","0","0","0","0","0","0","0","0"
"Gas Station","0","0","0","0","0","0","0","0","0","0"
"Convenience Store","0","0","0","0","0","0","0","0","0","0"
"Residence","0","0","0","0","0","0","1","0","0","0"
"Bank","0","0","0","0","0","0","0","0","0","0"
"Miscellaneous","0","0","0","0","0","0","0","0","0","0"
"Aggravated Assault","5","6","3","9","6","13","9","11","19","17"
"Weapon","","","","","","","","","",""
"Firearm","0","0","0","0","1","1","0","0","2","0"
"Knife or Cutting Instrument","0","0","1","3","1","1","1","0","3","2"
"Other Weapon","1","0","1","0","0","3","2","4","3","0"
"Hands  Fists  Feet","4","6","1","6","4","8","6","7","11","15"
"Property Crimes","43","33","24","35","34","32","29","32","14","23"
"Burglary","18","8","10","15","7","8","11","13","4","8"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","9","4","3","5","3","5","5","5","1","4"
"No Force","9","4","7","10","4","3","6","8","3","4"
"Location / Time","","","","","","","","","",""
"Residence","10","6","8","7","5","3","5","8","3","4"
"Night","4","2","3","0","0","1","0","1","2","3"
"Day","2","0","0","1","3","0","1","3","1","0"
"Unknown","4","4","5","6","2","2","4","4","0","1"
"Non-Residence","8","2","2","8","2","5","6","5","1","4"
"Night","1","0","0","3","0","1","0","0","0","0"
"Day","5","0","1","4","2","0","5","3","0","3"
"Unknown","2","2","1","1","0","4","1","2","1","1"
"Motor Vehicle Theft","5","0","0","1","1","2","1","4","0","1"
"Automotive","5","0","0","1","1","1","1","3","0","1"
"Trucks and Buses","0","0","0","0","0","0","0","1","0","0"
"Other","0","0","0","0","0","1","0","0","0","0"
"Larceny-Theft","20","25","14","19","26","22","17","15","10","14"
"Type","","","","","","","","","",""
"Pocket-Picking","1","0","0","0","0","0","1","0","0","0"
"Purse-Snatching","0","0","0","0","0","0","0","0","0","0"
"Shoplifting","1","1","0","0","0","0","0","1","0","0"
"From Motor Vehicle","8","8","1","2","3","9","4","5","2","2"
"Motor Vehicle Accessories","0","0","1","0","0","2","1","1","1","0"
"Bicycles","3","0","1","1","0","0","0","0","0","1"
"From Building","1","2","1","3","4","2","3","5","0","3"
"Coin Operated Machine","0","0","0","0","0","0","0","0","0","0"
"Other","6","14","10","13","19","9","8","3","7","8"
"Value","","","","","","","","","",""
"Over $400","9","9","8","11","13","11","8","6","9","null"
"$200 through $400","5","5","3","2","7","5","2","1","1","null"
"$50 through $199","4","5","1","3","2","1","3","3","0","3"
"Under $50","2","6","2","3","4","5","4","5","0","0"
"Arson","0","0","0","0","0","0","0","0","0","0"
"Structural Property","0","0","0","0","0","0","0","0","0","0"
"Mobile Property","0","0","0","0","0","0","0","0","0","0"
"Other Property","0","0","0","0","0","0","0","0","0","0"
