" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","130","100","81","84","92","115","118","110","156","135"
"Homicide","0","0","1","1","0","0","3","1","2","4"
"Rape (Forcible Rape prior to 2014)","5","7","5","5","8","9","10","8","10","9"
"Rape","5","7","5","5","8","9","10","8","10","9"
"Attempted Rape","0","0","0","0","0","0","0","0","0","0"
"Robbery","14","10","10","6","13","7","8","9","14","13"
"Weapon","","","","","","","","","",""
"Firearm","4","2","2","1","1","1","1","0","2","1"
"Knife or Cutting Instrument","0","0","0","2","0","0","2","0","1","3"
"Other Weapon","2","2","1","1","1","0","0","0","2","0"
"Strong-Arm","8","6","7","2","11","6","5","9","9","9"
"Location","","","","","","","","","",""
"Highway","4","2","0","1","0","1","0","0","3","4"
"Commercial","2","1","2","1","0","1","3","0","1","4"
"Gas Station","1","0","0","0","0","0","1","0","1","0"
"Convenience Store","0","1","0","1","0","0","0","0","0","0"
"Residence","4","5","1","2","5","3","0","6","2","2"
"Bank","1","0","1","1","0","0","0","0","0","0"
"Miscellaneous","2","1","6","0","8","2","4","3","7","3"
"Aggravated Assault","111","83","65","72","71","99","97","92","130","109"
"Weapon","","","","","","","","","",""
"Firearm","4","6","5","5","0","1","3","7","17","9"
"Knife or Cutting Instrument","6","8","3","5","6","9","6","5","13","3"
"Other Weapon","17","14","15","18","16","15","15","19","33","26"
"Hands  Fists  Feet","84","55","42","44","49","74","73","61","67","71"
"Property Crimes","797","798","629","602","669","649","596","670","582","716"
"Burglary","241","279","196","189","212","147","123","178","136","133"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","88","111","82","79","92","71","48","85","60","58"
"No Force","153","168","114","110","120","76","75","93","76","75"
"Location / Time","","","","","","","","","",""
"Residence","108","145","105","94","121","65","64","83","64","69"
"Night","28","34","21","17","25","14","11","12","19","16"
"Day","41","54","25","33","51","22","25","29","17","19"
"Unknown","39","57","59","44","45","29","28","42","28","34"
"Non-Residence","133","134","91","95","91","82","59","95","72","64"
"Night","43","44","26","30","30","23","17","29","15","21"
"Day","70","60","41","48","40","42","29","40","33","25"
"Unknown","20","30","24","17","21","17","13","26","24","18"
"Motor Vehicle Theft","44","40","40","57","61","66","47","37","45","77"
"Automotive","29","32","32","33","42","41","20","15","31","42"
"Trucks and Buses","4","2","3","9","9","10","17","8","6","23"
"Other","11","6","5","15","10","15","10","14","8","12"
"Larceny-Theft","512","479","393","356","396","436","426","455","401","506"
"Type","","","","","","","","","",""
"Pocket-Picking","2","1","2","1","1","0","1","2","1","2"
"Purse-Snatching","3","2","3","3","2","3","0","1","0","3"
"Shoplifting","16","19","31","12","14","31","21","12","27","31"
"From Motor Vehicle","110","97","57","56","71","78","89","92","71","97"
"Motor Vehicle Accessories","15","12","9","8","10","23","19","27","38","45"
"Bicycles","10","6","3","4","3","4","5","3","6","6"
"From Building","108","99","94","86","99","99","107","98","86","89"
"Coin Operated Machine","3","2","0","2","7","2","1","9","3","1"
"Other","245","241","194","184","189","196","183","211","169","232"
"Value","","","","","","","","","",""
"Over $400","183","182","139","119","128","144","145","178","165","null"
"$200 through $400","66","63","59","56","67","69","56","59","47","null"
"$50 through $199","119","93","85","73","80","77","88","96","60","85"
"Under $50","144","141","110","108","121","146","137","122","129","127"
"Arson","2","12","4","5","4","5","7","15","7","7"
"Structural Property","2","7","4","4","4","2","7","10","3","3"
"Mobile Property","0","1","0","0","0","0","0","0","1","0"
"Other Property","0","4","0","1","0","3","0","5","3","4"
