" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","684","634","678","778","790","921","1,214","1,024","1,069","1,110"
"Homicide","11","13","11","7","4","7","10","7","12","13"
"Rape (Forcible Rape prior to 2014)","75","79","76","118","133","182","152","180","128","151"
"Rape","68","76","73","114","130","154","110","124","103","118"
"Attempted Rape","7","3","3","4","3","28","42","56","25","33"
"Robbery","167","148","149","147","138","143","178","167","143","120"
"Weapon","","","","","","","","","",""
"Firearm","30","32","31","34","30","33","47","38","30","31"
"Knife or Cutting Instrument","11","17","18","20","20","16","21","12","15","5"
"Other Weapon","6","11","6","13","15","19","15","16","19","18"
"Strong-Arm","120","88","94","80","73","75","95","101","79","66"
"Location","","","","","","","","","",""
"Highway","51","44","53","42","31","40","62","61","38","22"
"Commercial","41","25","30","28","31","19","14","6","10","6"
"Gas Station","4","8","6","9","6","5","4","6","12","6"
"Convenience Store","10","3","5","7","4","2","6","11","8","16"
"Residence","23","31","15","30","24","32","21","22","22","26"
"Bank","6","0","8","8","3","4","4","2","3","0"
"Miscellaneous","32","37","32","23","39","41","67","59","50","44"
"Aggravated Assault","431","394","442","506","515","589","874","670","786","826"
"Weapon","","","","","","","","","",""
"Firearm","44","11","44","32","50","52","101","83","133","124"
"Knife or Cutting Instrument","74","96","59","60","51","59","59","39","87","61"
"Other Weapon","105","114","144","163","158","137","279","214","205","250"
"Hands  Fists  Feet","208","173","195","251","256","341","435","334","361","391"
"Property Crimes","5,659","6,223","6,631","7,543","7,307","7,280","5,824","5,322","4,345","4,785"
"Burglary","1,919","1,685","1,667","1,899","1,755","1,599","1,242","1,111","836","818"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","841","783","821","1,050","1,003","908","611","608","450","406"
"No Force","1,078","902","846","849","752","691","631","503","386","412"
"Location / Time","","","","","","","","","",""
"Residence","1,344","1,110","968","1,206","1,044","1,048","844","696","492","453"
"Night","423","306","219","302","237","249","187","160","118","124"
"Day","544","527","499","582","562","550","399","353","264","212"
"Unknown","377","277","250","322","245","249","258","183","110","117"
"Non-Residence","575","575","699","693","711","551","398","415","344","365"
"Night","228","176","221","195","225","174","140","141","93","115"
"Day","242","273","354","340","322","265","183","193","179","174"
"Unknown","105","126","124","158","164","112","75","81","72","76"
"Motor Vehicle Theft","593","896","760","947","1,021","941","820","868","669","916"
"Automotive","401","618","550","667","713","703","594","624","501","684"
"Trucks and Buses","123","192","153","166","177","151","149","139","104","146"
"Other","69","86","57","114","131","87","77","105","64","86"
"Larceny-Theft","3,147","3,642","4,204","4,697","4,531","4,740","3,762","3,343","2,840","3,051"
"Type","","","","","","","","","",""
"Pocket-Picking","2","5","6","5","7","5","9","7","5","5"
"Purse-Snatching","16","7","18","7","17","14","24","11","3","8"
"Shoplifting","386","390","403","504","515","658","437","307","187","205"
"From Motor Vehicle","723","835","1,305","1,428","1,132","1,333","1,241","1,110","1,052","1,212"
"Motor Vehicle Accessories","170","179","374","412","604","274","165","134","124","159"
"Bicycles","438","646","621","646","579","489","375","278","225","185"
"From Building","527","530","554","615","579","440","332","244","141","159"
"Coin Operated Machine","10","9","8","6","9","7","3","6","2","3"
"Other","875","1,041","915","1,074","1,089","1,520","1,176","1,246","1,101","1,115"
"Value","","","","","","","","","",""
"Over $400","987","1,145","1,318","1,571","1,517","1,503","1,227","1,277","1,120","null"
"$200 through $400","525","603","739","860","775","794","577","487","407","null"
"$50 through $199","666","724","906","1,027","1,046","1,108","816","642","485","435"
"Under $50","969","1,170","1,241","1,239","1,193","1,335","1,142","937","828","813"
"Arson","62","55","87","204","213","174","82","75","132","80"
"Structural Property","18","21","24","16","151","145","61","42","72","46"
"Mobile Property","11","1","2","8","5","4","5","5","3","2"
"Other Property","33","33","61","180","57","25","16","28","57","32"
