" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","101","130","113","129","178","208","197","145","158","185"
"Homicide","0","5","0","6","3","2","2","1","0","2"
"Rape (Forcible Rape prior to 2014)","18","21","12","25","28","30","27","34","19","35"
"Rape","17","19","11","25","27","28","27","34","19","34"
"Attempted Rape","1","2","1","0","1","2","0","0","0","1"
"Robbery","9","11","9","9","16","17","14","9","7","4"
"Weapon","","","","","","","","","",""
"Firearm","1","3","3","4","6","6","5","3","2","1"
"Knife or Cutting Instrument","0","0","2","0","2","1","1","1","0","1"
"Other Weapon","0","3","2","0","1","1","1","0","1","1"
"Strong-Arm","8","5","2","5","7","9","7","5","4","1"
"Location","","","","","","","","","",""
"Highway","2","0","2","1","4","6","3","1","4","1"
"Commercial","1","2","3","0","0","1","1","1","0","0"
"Gas Station","1","1","0","1","1","0","1","3","0","0"
"Convenience Store","0","2","1","0","0","0","0","0","0","0"
"Residence","3","6","2","5","7","9","7","2","2","2"
"Bank","0","0","0","0","0","0","0","0","0","0"
"Miscellaneous","2","0","1","2","4","1","2","2","1","1"
"Aggravated Assault","74","93","92","89","131","159","154","101","132","144"
"Weapon","","","","","","","","","",""
"Firearm","20","26","17","24","18","20","17","19","19","33"
"Knife or Cutting Instrument","6","6","3","12","27","18","9","9","12","16"
"Other Weapon","22","18","27","29","41","47","32","24","38","43"
"Hands  Fists  Feet","26","43","45","24","45","74","96","49","63","52"
"Property Crimes","1,149","1,080","989","808","656","790","860","838","766","677"
"Burglary","391","361","297","262","191","228","239","297","244","183"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","192","185","132","123","90","140","144","171","127","94"
"No Force","199","176","165","139","101","88","95","126","117","89"
"Location / Time","","","","","","","","","",""
"Residence","249","244","199","174","126","118","135","141","119","89"
"Night","48","53","31","23","19","28","29","40","22","22"
"Day","79","99","93","57","58","39","50","59","51","36"
"Unknown","122","92","75","94","49","51","56","42","46","31"
"Non-Residence","142","117","98","88","65","110","104","156","125","94"
"Night","38","38","28","20","16","41","31","48","47","37"
"Day","59","48","38","29","22","39","46","82","44","38"
"Unknown","45","31","32","39","27","30","27","26","34","19"
"Motor Vehicle Theft","96","180","93","115","97","99","132","69","72","109"
"Automotive","46","107","59","73","46","42","57","36","50","87"
"Trucks and Buses","24","22","19","17","21","35","43","23","16","11"
"Other","26","51","15","25","30","22","32","10","6","11"
"Larceny-Theft","662","539","599","431","368","463","489","472","450","385"
"Type","","","","","","","","","",""
"Pocket-Picking","4","3","1","0","2","1","5","3","2","2"
"Purse-Snatching","1","3","2","5","4","7","3","1","6","0"
"Shoplifting","11","9","22","14","26","35","30","25","29","20"
"From Motor Vehicle","131","72","104","73","47","85","79","94","78","107"
"Motor Vehicle Accessories","23","19","17","11","11","58","69","51","41","24"
"Bicycles","7","10","3","2","4","8","8","4","3","6"
"From Building","107","100","70","83","73","57","65","77","56","44"
"Coin Operated Machine","4","2","2","3","1","1","4","1","4","2"
"Other","374","321","378","240","200","211","226","216","231","180"
"Value","","","","","","","","","",""
"Over $400","202","192","155","151","129","148","177","170","165","null"
"$200 through $400","109","53","79","57","58","66","51","56","55","null"
"$50 through $199","78","65","69","78","47","64","79","73","63","43"
"Under $50","273","229","296","145","134","185","182","173","167","125"
"Arson","2","0","2","0","0","0","0","0","0","0"
"Structural Property","1","0","0","0","0","0","0","0","0","0"
"Mobile Property","0","0","0","0","0","0","0","0","0","0"
"Other Property","1","0","2","0","0","0","0","0","0","0"
