" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","46","43","40","49","46","78","57","58","61","55"
"Homicide","1","0","0","0","0","1","3","0","1","0"
"Rape (Forcible Rape prior to 2014)","7","7","2","5","5","13","9","15","9","8"
"Rape","6","7","2","5","5","12","9","14","9","8"
"Attempted Rape","1","0","0","0","0","1","0","1","0","0"
"Robbery","12","6","6","4","8","9","9","9","10","12"
"Weapon","","","","","","","","","",""
"Firearm","4","2","3","0","0","1","4","3","1","5"
"Knife or Cutting Instrument","0","1","0","1","0","1","0","2","1","1"
"Other Weapon","1","0","0","0","0","0","0","1","0","0"
"Strong-Arm","7","3","3","3","8","7","5","3","8","6"
"Location","","","","","","","","","",""
"Highway","2","1","1","3","2","3","3","1","1","3"
"Commercial","3","1","1","0","0","0","0","0","4","0"
"Gas Station","2","0","1","1","0","2","0","2","0","2"
"Convenience Store","0","1","1","0","0","0","0","0","0","0"
"Residence","2","3","2","0","5","3","2","4","2","2"
"Bank","1","0","0","0","1","0","0","1","0","1"
"Miscellaneous","2","0","0","0","0","1","4","1","3","4"
"Aggravated Assault","26","30","32","40","33","55","36","34","41","35"
"Weapon","","","","","","","","","",""
"Firearm","3","4","4","0","1","2","7","1","5","1"
"Knife or Cutting Instrument","7","5","8","2","4","2","5","10","6","4"
"Other Weapon","8","7","10","10","5","5","7","17","15","24"
"Hands  Fists  Feet","8","14","10","28","23","46","17","6","15","6"
"Property Crimes","555","535","350","374","357","339","365","347","331","316"
"Burglary","171","163","113","106","121","121","121","109","100","75"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","103","105","72","74","93","83","78","60","56","41"
"No Force","68","58","41","32","28","38","43","49","44","34"
"Location / Time","","","","","","","","","",""
"Residence","92","92","57","68","59","53","52","42","41","29"
"Night","27","24","21","12","16","17","16","15","17","12"
"Day","49","57","28","51","41","27","27","17","12","12"
"Unknown","16","11","8","5","2","9","9","10","12","5"
"Non-Residence","79","71","56","38","62","68","69","67","59","46"
"Night","30","18","12","10","23","28","37","28","21","17"
"Day","43","39","42","23","37","30","29","25","30","21"
"Unknown","6","14","2","5","2","10","3","14","8","8"
"Motor Vehicle Theft","53","54","33","38","26","39","39","56","45","52"
"Automotive","37","33","25","24","17","20","22","27","32","27"
"Trucks and Buses","6","7","4","7","3","4","4","16","6","16"
"Other","10","14","4","7","6","15","13","13","7","9"
"Larceny-Theft","331","318","204","230","210","179","205","182","186","189"
"Type","","","","","","","","","",""
"Pocket-Picking","0","1","0","0","0","0","0","0","0","1"
"Purse-Snatching","0","1","2","0","1","2","1","0","0","1"
"Shoplifting","10","3","9","8","10","4","10","8","9","11"
"From Motor Vehicle","95","90","41","48","43","71","62","50","65","62"
"Motor Vehicle Accessories","14","25","10","5","10","8","12","3","10","20"
"Bicycles","24","12","5","10","5","2","4","4","5","2"
"From Building","48","54","39","18","8","12","22","18","14","21"
"Coin Operated Machine","0","0","4","4","4","1","0","4","1","1"
"Other","140","132","94","137","129","79","94","95","82","70"
"Value","","","","","","","","","",""
"Over $400","138","140","96","90","89","88","87","74","84","null"
"$200 through $400","63","52","26","29","29","25","29","30","24","null"
"$50 through $199","60","62","32","41","33","28","36","41","30","30"
"Under $50","70","64","50","70","59","38","53","37","48","39"
"Arson","2","1","2","4","0","4","4","5","4","3"
"Structural Property","1","1","2","1","0","2","1","3","0","1"
"Mobile Property","0","0","0","1","0","0","1","1","2","2"
"Other Property","1","0","0","2","0","2","2","1","2","0"
