" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","4,383","3,961","3,650","3,788","3,895","3,830","3,880","4,138","3,870","4,001"
"Homicide","56","42","47","57","53","42","40","54","44","50"
"Rape (Forcible Rape prior to 2014)","169","148","236","240","309","294","263","320","283","252"
"Rape","156","137","212","214","283","274","253","299","264","245"
"Attempted Rape","13","11","24","26","26","20","10","21","19","7"
"Robbery","1,602","1,533","1,456","1,606","1,501","1,500","1,497","1,519","1,158","1,004"
"Weapon","","","","","","","","","",""
"Firearm","761","706","697","730","613","537","484","410","344","383"
"Knife or Cutting Instrument","77","61","88","94","85","89","71","97","90","63"
"Other Weapon","78","67","65","89","116","127","95","97","99","141"
"Strong-Arm","686","699","606","693","687","747","847","915","625","417"
"Location","","","","","","","","","",""
"Highway","576","562","506","536","344","347","426","400","300","233"
"Commercial","208","191","191","217","196","267","355","348","239","243"
"Gas Station","42","24","40","61","31","44","41","34","45","46"
"Convenience Store","120","68","93","107","95","111","121","164","129","89"
"Residence","163","145","156","121","143","118","164","179","145","144"
"Bank","19","32","26","28","27","31","23","19","30","20"
"Miscellaneous","474","511","444","536","665","582","367","375","270","229"
"Aggravated Assault","2,556","2,238","1,911","1,885","2,032","1,994","2,080","2,245","2,385","2,695"
"Weapon","","","","","","","","","",""
"Firearm","443","373","399","439","451","409","441","478","739","834"
"Knife or Cutting Instrument","225","223","263","275","223","236","234","287","322","334"
"Other Weapon","646","622","667","628","699","760","886","971","854","909"
"Hands  Fists  Feet","1,242","1,020","582","543","659","589","519","509","470","618"
"Property Crimes","32,787","31,351","32,232","32,394","28,939","29,735","27,551","28,555","23,698","22,571"
"Burglary","8,556","7,802","6,949","5,581","4,417","4,171","3,614","3,580","3,261","2,736"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","6,002","5,579","4,684","3,841","3,221","2,928","2,454","2,379","2,283","1,884"
"No Force","2,554","2,223","2,265","1,740","1,196","1,243","1,160","1,201","978","852"
"Location / Time","","","","","","","","","",""
"Residence","6,080","5,118","4,585","3,559","2,645","2,284","1,957","1,871","1,278","1,043"
"Night","1,287","1,030","991","796","626","659","510","570","435","388"
"Day","3,549","2,923","2,438","1,822","1,324","1,065","1,048","866","557","462"
"Unknown","1,244","1,165","1,156","941","695","560","399","435","286","193"
"Non-Residence","2,476","2,684","2,364","2,022","1,772","1,887","1,657","1,709","1,983","1,693"
"Night","1,059","1,170","993","870","810","910","788","884","1,067","816"
"Day","814","875","753","601","399","510","501","504","537","527"
"Unknown","603","639","618","551","563","467","368","321","379","350"
"Motor Vehicle Theft","7,258","6,726","6,568","6,802","6,634","5,836","4,881","4,599","5,147","4,323"
"Automotive","6,533","5,917","5,676","5,814","5,618","4,829","4,007","3,372","3,485","2,589"
"Trucks and Buses","497","609","665","690","667","745","672","953","1,325","1,266"
"Other","228","200","227","298","349","262","202","274","337","468"
"Larceny-Theft","16,973","16,823","18,715","20,011","17,888","19,728","19,056","20,376","15,290","15,512"
"Type","","","","","","","","","",""
"Pocket-Picking","63","62","89","82","66","126","119","157","74","79"
"Purse-Snatching","127","99","94","114","79","105","94","76","52","37"
"Shoplifting","2,304","2,538","2,823","3,188","3,182","3,593","3,509","3,176","2,211","2,546"
"From Motor Vehicle","6,805","6,705","8,201","9,489","7,902","8,759","9,024","10,027","5,898","5,615"
"Motor Vehicle Accessories","1,190","1,295","1,227","1,287","1,196","1,194","1,183","1,549","2,293","3,081"
"Bicycles","798","901","1,062","944","637","598","565","506","506","415"
"From Building","2,161","2,104","1,972","1,681","1,572","1,553","1,430","1,473","1,004","821"
"Coin Operated Machine","17","33","34","27","28","26","16","21","14","17"
"Other","3,508","3,086","3,213","3,199","3,226","3,774","3,116","3,391","3,238","2,901"
"Value","","","","","","","","","",""
"Over $400","6,576","6,695","7,534","8,360","7,682","8,111","7,995","8,784","6,811","null"
"$200 through $400","2,540","2,446","2,512","2,637","2,272","2,636","2,469","2,712","1,803","null"
"$50 through $199","3,558","3,559","3,912","3,982","3,511","3,759","3,356","3,421","2,425","2,117"
"Under $50","4,299","4,123","4,757","5,032","4,423","5,222","5,236","5,459","4,251","3,622"
"Arson","164","151","153","154","199","232","213","208","286","232"
"Structural Property","46","55","49","57","63","76","50","84","98","70"
"Mobile Property","47","60","58","52","80","96","97","71","106","57"
"Other Property","71","36","46","45","56","60","66","53","82","105"
