" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","155","175","165","142","168","151","137","109","199","230"
"Homicide","1","0","1","1","0","4","1","2","2","1"
"Rape (Forcible Rape prior to 2014)","22","20","28","26","32","29","22","13","54","44"
"Rape","20","20","24","25","32","29","22","12","53","42"
"Attempted Rape","2","0","4","1","0","0","0","1","1","2"
"Robbery","24","29","21","14","17","23","20","26","36","33"
"Weapon","","","","","","","","","",""
"Firearm","4","5","1","1","2","1","0","2","2","2"
"Knife or Cutting Instrument","4","3","0","2","2","4","1","1","0","1"
"Other Weapon","2","2","3","0","3","1","3","0","1","2"
"Strong-Arm","14","19","17","11","10","17","16","23","33","28"
"Location","","","","","","","","","",""
"Highway","2","5","5","1","2","5","2","2","3","2"
"Commercial","7","4","6","1","2","2","2","2","4","3"
"Gas Station","0","0","0","0","0","0","0","1","3","3"
"Convenience Store","2","1","0","0","2","0","0","0","3","1"
"Residence","4","7","1","2","2","2","1","1","1","5"
"Bank","1","3","0","0","0","0","0","0","0","1"
"Miscellaneous","8","9","9","10","9","14","15","20","22","18"
"Aggravated Assault","108","126","115","101","119","95","94","68","107","152"
"Weapon","","","","","","","","","",""
"Firearm","3","4","3","3","5","2","2","1","0","2"
"Knife or Cutting Instrument","12","11","6","8","8","1","4","2","11","6"
"Other Weapon","13","20","8","16","17","17","7","5","13","26"
"Hands  Fists  Feet","80","91","98","74","89","75","81","60","83","118"
"Property Crimes","687","589","649","592","608","692","595","804","637","570"
"Burglary","288","222","275","246","290","221","148","251","175","165"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","258","191","251","227","277","211","141","235","145","137"
"No Force","30","31","24","19","13","10","7","16","30","28"
"Location / Time","","","","","","","","","",""
"Residence","51","30","37","33","40","28","13","15","20","17"
"Night","4","4","6","8","9","5","3","0","9","7"
"Day","47","26","31","25","31","20","10","15","6","7"
"Unknown","0","0","0","0","0","3","0","0","5","3"
"Non-Residence","237","192","238","213","250","193","135","236","155","148"
"Night","70","72","73","45","66","47","42","75","50","52"
"Day","167","118","164","167","184","145","93","161","95","87"
"Unknown","0","2","1","1","0","1","0","0","10","9"
"Motor Vehicle Theft","116","133","121","74","130","96","46","47","42","93"
"Automotive","61","82","61","47","65","44","18","26","21","44"
"Trucks and Buses","32","32","32","15","40","30","17","8","11","30"
"Other","23","19","28","12","25","22","11","13","10","19"
"Larceny-Theft","283","234","253","272","188","375","401","506","420","312"
"Type","","","","","","","","","",""
"Pocket-Picking","3","0","0","0","0","0","0","0","0","0"
"Purse-Snatching","0","1","0","0","0","3","1","2","0","0"
"Shoplifting","68","84","76","65","43","62","77","106","101","63"
"From Motor Vehicle","22","13","17","12","12","53","31","52","48","41"
"Motor Vehicle Accessories","0","0","0","0","1","15","33","38","25","10"
"Bicycles","9","7","12","8","3","15","22","14","35","12"
"From Building","19","11","14","13","19","30","18","47","21","38"
"Coin Operated Machine","0","0","0","0","0","4","1","3","1","0"
"Other","162","118","134","174","110","193","218","244","189","148"
"Value","","","","","","","","","",""
"Over $400","86","56","73","82","65","88","92","169","148","null"
"$200 through $400","39","16","15","25","16","51","52","48","49","null"
"$50 through $199","56","55","65","70","43","63","68","102","91","44"
"Under $50","102","107","100","95","64","173","189","187","132","117"
"Arson","6","11","7","14","7","19","9","18","26","19"
"Structural Property","1","7","2","5","1","5","2","3","10","5"
"Mobile Property","1","3","4","4","1","8","1","0","0","0"
"Other Property","4","1","1","5","5","6","6","15","16","14"
