" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","444","390","409","338","389","294","475","323","372","531"
"Homicide","3","5","3","9","2","5","5","5","0","6"
"Rape (Forcible Rape prior to 2014)","26","37","48","54","71","55","81","59","66","98"
"Rape","25","35","44","50","68","52","74","56","63","95"
"Attempted Rape","1","2","4","4","3","3","7","3","3","3"
"Robbery","57","39","51","53","69","36","58","55","56","43"
"Weapon","","","","","","","","","",""
"Firearm","8","1","7","13","18","7","6","7","8","10"
"Knife or Cutting Instrument","10","5","5","8","4","4","7","10","2","3"
"Other Weapon","3","3","4","2","7","1","2","4","8","13"
"Strong-Arm","36","30","35","30","40","24","43","34","38","17"
"Location","","","","","","","","","",""
"Highway","11","2","7","4","5","1","7","5","6","7"
"Commercial","7","4","2","9","9","4","4","7","3","4"
"Gas Station","4","0","4","1","4","1","3","4","0","0"
"Convenience Store","6","2","8","4","10","9","9","9","7","1"
"Residence","10","11","9","17","8","5","10","8","11","13"
"Bank","4","3","0","3","9","2","3","2","4","4"
"Miscellaneous","15","17","21","15","24","14","22","20","25","14"
"Aggravated Assault","358","309","307","222","247","198","331","204","250","384"
"Weapon","","","","","","","","","",""
"Firearm","25","15","18","15","16","11","15","14","27","31"
"Knife or Cutting Instrument","45","33","32","28","31","25","39","30","40","49"
"Other Weapon","127","115","117","86","90","88","95","75","102","156"
"Hands  Fists  Feet","161","146","140","93","110","74","182","85","81","148"
"Property Crimes","2,951","3,272","3,138","3,151","3,042","2,934","2,864","2,559","2,561","2,318"
"Burglary","983","1,012","830","735","680","711","687","629","502","512"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","585","592","441","408","390","444","401","408","318","262"
"No Force","398","420","389","327","290","267","286","221","184","250"
"Location / Time","","","","","","","","","",""
"Residence","520","624","509","502","400","400","431","360","268","279"
"Night","112","111","99","108","107","127","122","93","71","86"
"Day","140","219","134","149","75","84","87","88","66","137"
"Unknown","268","294","276","245","218","189","222","179","131","56"
"Non-Residence","463","388","321","233","280","311","256","269","234","233"
"Night","197","202","159","136","157","193","138","130","137","83"
"Day","150","91","82","29","22","32","44","39","38","125"
"Unknown","116","95","80","68","101","86","74","100","59","25"
"Motor Vehicle Theft","209","301","300","240","205","238","202","146","133","162"
"Automotive","164","221","207","157","136","156","125","83","85","93"
"Trucks and Buses","20","20","19","40","28","36","36","21","15","36"
"Other","25","60","74","43","41","46","41","42","33","33"
"Larceny-Theft","1,759","1,959","2,008","2,176","2,157","1,985","1,975","1,784","1,926","1,644"
"Type","","","","","","","","","",""
"Pocket-Picking","7","8","8","6","6","9","8","12","12","15"
"Purse-Snatching","9","19","14","16","16","15","12","14","15","7"
"Shoplifting","222","251","278","287","252","233","293","203","164","127"
"From Motor Vehicle","369","455","453","547","656","561","602","516","490","443"
"Motor Vehicle Accessories","127","226","258","209","85","124","153","170","231","242"
"Bicycles","60","65","98","78","70","72","66","45","68","63"
"From Building","272","236","198","216","219","177","173","239","184","169"
"Coin Operated Machine","3","3","5","11","4","4","8","2","4","8"
"Other","690","696","696","806","849","790","660","583","758","570"
"Value","","","","","","","","","",""
"Over $400","714","758","711","833","892","802","851","814","906","null"
"$200 through $400","285","283","271","293","312","286","287","250","225","null"
"$50 through $199","318","320","376","382","375","331","374","259","279","241"
"Under $50","442","598","650","668","578","566","463","461","516","451"
"Arson","12","6","13","4","8","5","14","4","12","23"
"Structural Property","7","2","5","3","3","0","8","3","5","7"
"Mobile Property","2","1","1","0","1","0","2","1","3","1"
"Other Property","3","3","7","1","4","5","4","0","4","15"
