" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","5,104","4,868","4,547","5,228","5,981","5,745","5,889","4,737","5,940","7,405"
"Homicide","76","57","59","59","63","85","54","55","94","87"
"Rape (Forcible Rape prior to 2014)","170","163","183","316","314","336","350","267","302","406"
"Rape","157","146","163","284","291","319","323","231","262","382"
"Attempted Rape","13","17","20","32","23","17","27","36","40","24"
"Robbery","1,410","1,221","1,040","1,331","1,413","1,214","1,168","918","1,166","1,070"
"Weapon","","","","","","","","","",""
"Firearm","497","397","315","475","499","386","357","248","333","289"
"Knife or Cutting Instrument","134","132","119","123","129","104","105","80","106","86"
"Other Weapon","108","115","91","130","128","117","101","72","87","199"
"Strong-Arm","671","577","515","603","657","607","605","518","640","496"
"Location","","","","","","","","","",""
"Highway","773","697","587","697","747","563","491","369","505","245"
"Commercial","169","151","145","220","234","206","246","151","135","177"
"Gas Station","22","7","7","19","20","34","29","24","48","28"
"Convenience Store","76","59","63","83","86","80","80","64","97","88"
"Residence","210","184","148","181","204","162","201","157","203","267"
"Bank","27","8","3","14","11","8","5","10","7","12"
"Miscellaneous","133","115","87","117","111","161","116","143","171","253"
"Aggravated Assault","3,448","3,427","3,265","3,522","4,191","4,110","4,317","3,497","4,378","5,842"
"Weapon","","","","","","","","","",""
"Firearm","842","766","616","921","1,239","1,099","982","713","1,279","1,722"
"Knife or Cutting Instrument","607","564","514","611","618","578","575","334","414","371"
"Other Weapon","969","1,006","1,126","993","1,208","1,199","1,374","991","1,154","1,159"
"Hands  Fists  Feet","1,030","1,091","1,009","997","1,126","1,234","1,386","1,459","1,531","2,590"
"Property Crimes","41,853","36,698","32,535","33,447","31,784","30,354","27,313","23,195","24,607","25,108"
"Burglary","10,493","9,102","7,838","7,313","6,883","6,757","5,901","4,694","4,947","5,937"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","7,390","6,356","5,312","5,221","5,065","5,100","4,422","3,910","4,225","4,960"
"No Force","3,103","2,746","2,526","2,092","1,818","1,657","1,479","784","722","977"
"Location / Time","","","","","","","","","",""
"Residence","6,997","5,771","4,941","4,775","4,266","3,999","3,288","2,632","2,231","2,108"
"Night","1,981","1,714","1,438","1,400","1,392","1,300","1,140","1,037","968","999"
"Day","4,143","3,269","2,572","2,399","1,992","1,868","1,530","1,110","860","1,058"
"Unknown","873","788","931","976","882","831","618","485","403","51"
"Non-Residence","3,496","3,331","2,897","2,538","2,617","2,758","2,613","2,062","2,716","3,829"
"Night","1,880","1,743","1,493","1,409","1,419","1,547","1,448","1,238","1,687","2,137"
"Day","1,161","1,158","955","667","748","794","838","580","665","1,665"
"Unknown","455","430","449","462","450","417","327","244","364","27"
"Motor Vehicle Theft","6,909","6,339","4,834","4,784","5,185","4,385","3,977","3,483","4,056","4,994"
"Automotive","5,249","4,903","3,666","3,737","3,919","3,341","2,903","2,574","2,931","3,626"
"Trucks and Buses","958","937","758","631","794","677","680","664","794","976"
"Other","702","499","410","416","472","367","394","245","331","392"
"Larceny-Theft","24,451","21,257","19,863","21,350","19,716","19,212","17,435","15,018","15,604","14,177"
"Type","","","","","","","","","",""
"Pocket-Picking","26","40","42","27","54","41","40","32","30","35"
"Purse-Snatching","30","24","31","36","45","34","39","22","25","50"
"Shoplifting","3,472","3,947","3,817","4,239","3,301","2,646","2,452","2,543","2,389","1,872"
"From Motor Vehicle","8,599","5,906","6,205","7,611","7,406","6,929","6,077","4,555","5,587","3,988"
"Motor Vehicle Accessories","3,339","3,002","2,384","2,666","2,752","2,471","2,139","1,795","1,821","2,886"
"Bicycles","1,168","994","945","897","760","711","483","385","245","290"
"From Building","2,003","1,689","1,623","1,587","1,615","1,570","1,426","1,275","1,024","736"
"Coin Operated Machine","80","70","53","28","88","34","42","33","27","19"
"Other","5,734","5,585","4,763","4,259","3,695","4,776","4,737","4,378","4,456","4,301"
"Value","","","","","","","","","",""
"Over $400","8,968","7,412","6,736","7,024","6,583","6,347","5,646","4,760","5,222","null"
"$200 through $400","3,590","2,940","2,763","2,960","2,663","2,370","2,141","1,771","1,913","null"
"$50 through $199","5,806","4,895","4,792","5,513","4,734","4,298","3,804","3,197","3,198","2,253"
"Under $50","6,087","6,010","5,572","5,853","5,736","6,197","5,844","5,290","5,271","3,583"
"Arson","415","406","491","455","474","524","446","274","505","183"
"Structural Property","97","114","123","101","110","136","87","64","125","53"
"Mobile Property","205","159","171","179","199","181","183","137","175","36"
"Other Property","113","133","197","175","165","207","176","73","205","94"
