" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","78","151","125","106","103","117","80","91","152","115"
"Homicide","0","0","1","3","1","1","1","2","2","0"
"Rape (Forcible Rape prior to 2014)","2","14","25","8","7","9","12","12","16","15"
"Rape","1","14","23","8","7","9","12","11","16","15"
"Attempted Rape","1","0","2","0","0","0","0","1","0","0"
"Robbery","7","12","13","11","11","8","13","16","8","6"
"Weapon","","","","","","","","","",""
"Firearm","2","1","3","2","3","0","1","3","1","1"
"Knife or Cutting Instrument","1","2","1","1","0","0","1","0","0","0"
"Other Weapon","0","0","0","1","1","0","0","0","3","0"
"Strong-Arm","4","9","9","7","7","8","11","13","4","5"
"Location","","","","","","","","","",""
"Highway","5","4","3","4","2","1","1","3","1","1"
"Commercial","0","0","1","1","1","0","3","0","0","1"
"Gas Station","1","2","0","1","0","0","0","3","1","0"
"Convenience Store","1","1","1","1","0","2","2","1","4","0"
"Residence","0","3","6","2","3","5","5","1","0","2"
"Bank","0","0","0","0","0","0","0","1","0","0"
"Miscellaneous","0","2","2","2","5","0","2","7","2","2"
"Aggravated Assault","69","125","86","84","84","99","54","61","126","94"
"Weapon","","","","","","","","","",""
"Firearm","0","0","2","0","2","4","3","5","22","5"
"Knife or Cutting Instrument","8","8","9","8","9","7","4","7","2","2"
"Other Weapon","25","13","11","8","7","5","8","13","27","17"
"Hands  Fists  Feet","36","104","64","68","66","83","39","36","75","70"
"Property Crimes","732","714","527","514","559","503","603","526","446","352"
"Burglary","230","226","162","125","122","151","154","109","114","77"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","134","175","120","101","96","132","133","86","81","58"
"No Force","96","51","42","24","26","19","21","23","33","19"
"Location / Time","","","","","","","","","",""
"Residence","105","103","90","65","70","79","84","53","57","27"
"Night","17","21","19","15","21","16","20","23","25","8"
"Day","40","58","48","38","30","56","60","30","18","13"
"Unknown","48","24","23","12","19","7","4","0","14","6"
"Non-Residence","125","123","72","60","52","72","70","56","57","50"
"Night","51","52","23","24","19","33","31","29","23","17"
"Day","46","60","35","32","27","33","36","23","15","27"
"Unknown","28","11","14","4","6","6","3","4","19","6"
"Motor Vehicle Theft","102","64","58","67","70","90","78","83","85","70"
"Automotive","64","36","33","39","40","44","34","40","56","37"
"Trucks and Buses","18","7","13","16","13","18","9","13","13","21"
"Other","20","21","12","12","17","28","35","30","16","12"
"Larceny-Theft","400","424","307","322","367","262","371","334","247","205"
"Type","","","","","","","","","",""
"Pocket-Picking","0","2","0","0","0","0","1","0","3","2"
"Purse-Snatching","0","0","1","1","2","0","2","0","0","0"
"Shoplifting","23","30","25","40","44","27","42","38","39","31"
"From Motor Vehicle","72","38","44","24","62","30","57","61","38","42"
"Motor Vehicle Accessories","21","14","24","21","15","7","14","11","16","13"
"Bicycles","39","27","23","30","25","8","6","7","1","5"
"From Building","70","48","33","37","27","10","5","4","11","17"
"Coin Operated Machine","0","4","0","3","2","0","0","1","5","0"
"Other","175","261","157","166","190","180","244","212","134","95"
"Value","","","","","","","","","",""
"Over $400","133","114","112","94","110","95","122","113","71","null"
"$200 through $400","55","60","39","53","53","26","52","50","41","null"
"$50 through $199","113","133","74","71","91","59","77","56","47","49"
"Under $50","99","117","82","104","113","82","120","115","88","44"
"Arson","7","4","9","4","9","5","3","3","1","12"
"Structural Property","3","1","2","0","4","3","0","1","1","4"
"Mobile Property","1","1","4","0","4","0","2","0","0","4"
"Other Property","3","2","3","4","1","2","1","2","0","4"
