" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","389","474","485","539","682","646","571","626","630","670"
"Homicide","2","8","11","12","12","8","11","6","9","8"
"Rape (Forcible Rape prior to 2014)","39","47","59","55","62","74","67","66","61","91"
"Rape","38","46","56","53","55","70","64","66","61","91"
"Attempted Rape","1","1","3","2","7","4","3","0","0","0"
"Robbery","130","124","125","122","167","172","142","149","129","141"
"Weapon","","","","","","","","","",""
"Firearm","32","41","30","32","81","57","41","42","24","31"
"Knife or Cutting Instrument","16","14","27","19","16","21","10","20","18","17"
"Other Weapon","18","15","17","22","18","29","18","9","17","21"
"Strong-Arm","64","54","51","49","52","65","73","78","70","72"
"Location","","","","","","","","","",""
"Highway","38","45","38","38","26","45","30","38","23","35"
"Commercial","22","23","11","17","11","22","24","24","27","32"
"Gas Station","5","11","10","6","19","21","7","11","9","12"
"Convenience Store","6","2","5","3","12","4","10","2","3","4"
"Residence","35","20","30","26","37","29","33","38","27","21"
"Bank","3","3","3","2","6","2","2","1","6","4"
"Miscellaneous","21","20","28","30","56","49","36","35","34","33"
"Aggravated Assault","218","295","290","350","441","392","351","405","431","430"
"Weapon","","","","","","","","","",""
"Firearm","6","20","40","57","69","58","25","22","27","41"
"Knife or Cutting Instrument","45","57","53","61","73","65","71","51","63","49"
"Other Weapon","96","142","136","170","186","211","147","127","143","152"
"Hands  Fists  Feet","71","76","61","62","113","58","108","205","198","188"
"Property Crimes","4,850","4,984","4,787","4,400","4,001","4,196","3,957","3,926","3,464","3,783"
"Burglary","1,130","1,264","1,138","990","1,004","874","757","796","802","895"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","598","711","660","595","643","527","397","407","483","533"
"No Force","532","553","478","395","361","347","360","389","319","362"
"Location / Time","","","","","","","","","",""
"Residence","745","835","670","557","612","481","449","462","366","327"
"Night","163","178","142","139","138","135","129","137","103","106"
"Day","346","419","317","272","298","243","262","210","186","148"
"Unknown","236","238","211","146","176","103","58","115","77","73"
"Non-Residence","385","429","468","433","392","393","308","334","436","568"
"Night","103","119","169","140","131","140","127","148","203","249"
"Day","158","226","190","211","178","174","139","123","164","243"
"Unknown","124","84","109","82","83","79","42","63","69","76"
"Motor Vehicle Theft","508","560","537","616","704","827","600","535","479","708"
"Automotive","369","386","384","447","543","641","363","311","271","395"
"Trucks and Buses","72","93","101","97","96","128","168","166","139","236"
"Other","67","81","52","72","65","58","69","58","69","77"
"Larceny-Theft","3,212","3,160","3,112","2,794","2,293","2,495","2,600","2,595","2,183","2,180"
"Type","","","","","","","","","",""
"Pocket-Picking","28","18","12","13","15","10","12","9","5","4"
"Purse-Snatching","19","9","11","9","18","11","8","10","5","10"
"Shoplifting","538","665","631","537","430","547","581","460","269","221"
"From Motor Vehicle","1,097","1,119","923","894","726","806","948","993","985","1,037"
"Motor Vehicle Accessories","122","64","72","84","95","111","156","143","131","170"
"Bicycles","273","275","351","359","254","194","192","194","155","141"
"From Building","200","131","121","110","187","154","190","299","192","179"
"Coin Operated Machine","3","3","9","3","4","2","2","3","8","6"
"Other","932","876","982","785","564","660","511","484","433","412"
"Value","","","","","","","","","",""
"Over $400","941","954","864","834","728","783","829","902","869","null"
"$200 through $400","625","590","607","537","365","396","453","425","331","null"
"$50 through $199","752","736","793","712","511","563","613","529","415","339"
"Under $50","894","880","848","711","689","753","705","739","568","580"
"Arson","48","56","65","67","36","65","67","71","78","69"
"Structural Property","27","25","34","49","21","43","41","62","62","58"
"Mobile Property","9","7","13","5","2","6","3","1","2","0"
"Other Property","12","24","18","13","13","16","23","8","14","11"
