" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","500","517","583","723","676","628","645","589","582","560"
"Homicide","3","2","3","2","3","7","6","7","7","14"
"Rape (Forcible Rape prior to 2014)","21","29","33","27","34","45","40","28","32","23"
"Rape","18","23","31","19","28","33","37","25","25","18"
"Attempted Rape","3","6","2","8","6","12","3","3","7","5"
"Robbery","113","102","113","123","118","87","83","80","80","87"
"Weapon","","","","","","","","","",""
"Firearm","15","7","7","14","8","8","12","8","20","9"
"Knife or Cutting Instrument","12","19","22","20","24","11","12","10","10","19"
"Other Weapon","19","11","11","17","22","7","9","6","7","13"
"Strong-Arm","67","65","73","72","64","61","50","56","43","46"
"Location","","","","","","","","","",""
"Highway","44","43","54","46","52","32","30","23","20","25"
"Commercial","13","9","12","9","10","8","7","6","7","9"
"Gas Station","7","6","7","6","0","5","3","2","8","6"
"Convenience Store","2","5","1","0","1","1","2","3","4","6"
"Residence","6","13","3","11","8","3","8","12","2","4"
"Bank","1","1","1","3","0","2","1","0","0","2"
"Miscellaneous","40","25","35","48","47","36","32","34","39","35"
"Aggravated Assault","363","384","434","571","521","489","516","474","463","436"
"Weapon","","","","","","","","","",""
"Firearm","35","33","46","45","39","39","23","36","48","40"
"Knife or Cutting Instrument","42","35","35","35","46","30","28","33","26","18"
"Other Weapon","186","187","179","216","180","158","178","168","216","185"
"Hands  Fists  Feet","100","129","174","275","256","262","287","237","173","193"
"Property Crimes","6,313","5,698","5,536","6,039","5,195","4,836","4,293","3,476","3,384","3,208"
"Burglary","2,049","1,387","1,303","1,357","1,165","1,293","1,090","769","851","861"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","884","552","569","617","699","840","646","374","442","473"
"No Force","1,165","835","734","740","466","453","444","395","409","388"
"Location / Time","","","","","","","","","",""
"Residence","779","584","486","454","434","501","359","251","229","196"
"Night","190","159","130","120","109","123","110","70","73","56"
"Day","380","275","214","193","167","203","157","109","101","107"
"Unknown","209","150","142","141","158","175","92","72","55","33"
"Non-Residence","1,270","803","817","903","731","792","731","518","622","665"
"Night","349","213","221","269","182","246","228","167","194","213"
"Day","539","337","324","331","252","253","218","201","264","296"
"Unknown","382","253","272","303","297","293","285","150","164","156"
"Motor Vehicle Theft","716","552","625","608","547","526","477","471","448","538"
"Automotive","516","412","478","447","399","409","388","333","323","397"
"Trucks and Buses","132","85","93","84","64","53","37","67","55","54"
"Other","68","55","54","77","84","64","52","71","70","87"
"Larceny-Theft","3,548","3,759","3,608","4,074","3,483","3,017","2,726","2,236","2,085","1,809"
"Type","","","","","","","","","",""
"Pocket-Picking","4","2","2","4","9","5","3","4","1","0"
"Purse-Snatching","62","42","42","51","54","59","66","31","34","17"
"Shoplifting","337","528","456","573","599","587","542","441","274","224"
"From Motor Vehicle","360","339","419","355","461","483","436","338","363","264"
"Motor Vehicle Accessories","136","211","167","187","178","163","163","117","143","99"
"Bicycles","212","189","165","171","220","172","154","121","69","66"
"From Building","51","32","33","50","57","72","48","17","23","15"
"Coin Operated Machine","9","2","3","0","2","2","3","1","2","1"
"Other","2,377","2,414","2,321","2,683","1,903","1,474","1,311","1,166","1,176","1,123"
"Value","","","","","","","","","",""
"Over $400","510","513","417","490","463","569","640","545","545","null"
"$200 through $400","256","243","227","260","337","308","168","78","30","null"
"$50 through $199","369","374","429","470","512","527","550","405","311","179"
"Under $50","2,413","2,629","2,535","2,854","2,171","1,613","1,368","1,208","1,199","1,174"
"Arson","28","50","46","71","58","80","90","104","128","131"
"Structural Property","12","19","23","22","21","22","29","29","38","45"
"Mobile Property","5","5","6","8","13","13","6","11","16","12"
"Other Property","11","26","17","41","24","45","55","64","74","74"
