" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","83","75","106","97","114","128","122","94","127","121"
"Homicide","0","0","0","0","1","0","0","1","1","0"
"Rape (Forcible Rape prior to 2014)","4","7","14","9","8","16","12","18","9","11"
"Rape","4","7","14","9","8","16","12","18","9","11"
"Attempted Rape","0","0","0","0","0","0","0","0","0","0"
"Robbery","4","5","3","11","10","11","8","9","18","19"
"Weapon","","","","","","","","","",""
"Firearm","0","0","0","1","0","1","1","0","4","0"
"Knife or Cutting Instrument","1","2","0","0","2","0","2","0","0","1"
"Other Weapon","1","0","0","1","2","0","1","0","2","1"
"Strong-Arm","2","3","3","9","6","10","4","9","12","17"
"Location","","","","","","","","","",""
"Highway","1","1","1","4","1","3","1","2","1","1"
"Commercial","0","0","0","0","0","1","1","1","2","4"
"Gas Station","1","1","0","0","0","0","0","0","6","1"
"Convenience Store","0","0","0","0","0","0","0","0","1","0"
"Residence","1","2","2","4","4","7","5","4","4","7"
"Bank","0","0","0","0","0","0","0","0","1","0"
"Miscellaneous","1","1","0","3","5","0","1","2","3","6"
"Aggravated Assault","75","63","89","77","95","101","102","66","99","91"
"Weapon","","","","","","","","","",""
"Firearm","2","2","0","0","5","7","12","2","16","9"
"Knife or Cutting Instrument","6","6","6","12","9","15","13","6","9","8"
"Other Weapon","21","8","17","11","18","25","25","19","39","35"
"Hands  Fists  Feet","46","47","66","54","63","54","52","39","35","39"
"Property Crimes","325","308","303","240","334","514","394","393","321","337"
"Burglary","103","98","94","53","98","131","84","115","92","83"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","46","36","28","24","44","58","38","65","47","40"
"No Force","57","62","66","29","54","73","46","50","45","43"
"Location / Time","","","","","","","","","",""
"Residence","37","50","40","31","49","65","47","64","41","45"
"Night","8","12","13","11","13","12","20","16","20","11"
"Day","20","27","16","12","27","37","16","34","11","22"
"Unknown","9","11","11","8","9","16","11","14","10","12"
"Non-Residence","66","48","54","22","49","66","37","51","51","38"
"Night","23","22","13","1","11","27","9","19","21","12"
"Day","34","21","27","11","22","30","20","27","20","16"
"Unknown","9","5","14","10","16","9","8","5","10","10"
"Motor Vehicle Theft","11","18","15","31","33","56","24","18","30","51"
"Automotive","6","8","6","19","24","42","15","11","13","35"
"Trucks and Buses","4","7","2","2","4","4","4","3","7","12"
"Other","1","3","7","10","5","10","5","4","10","4"
"Larceny-Theft","211","192","194","156","203","327","286","260","199","203"
"Type","","","","","","","","","",""
"Pocket-Picking","1","0","0","1","1","3","0","0","0","0"
"Purse-Snatching","1","2","3","3","2","3","0","2","1","0"
"Shoplifting","12","3","10","9","18","57","77","24","15","15"
"From Motor Vehicle","32","46","39","27","43","41","32","37","46","38"
"Motor Vehicle Accessories","6","7","5","11","9","10","4","6","4","11"
"Bicycles","36","29","35","20","21","50","28","19","13","20"
"From Building","49","34","42","32","42","61","64","62","47","42"
"Coin Operated Machine","4","1","1","0","0","2","0","2","2","0"
"Other","70","70","59","53","67","100","81","108","71","77"
"Value","","","","","","","","","",""
"Over $400","57","76","79","53","69","102","78","83","73","null"
"$200 through $400","38","36","24","32","39","62","38","30","36","null"
"$50 through $199","57","31","42","36","37","67","54","47","30","37"
"Under $50","59","49","49","35","58","96","116","100","60","62"
"Arson","0","1","2","0","1","3","3","0","3","5"
"Structural Property","0","1","2","0","0","2","2","0","2","5"
"Mobile Property","0","0","0","0","0","1","0","0","0","0"
"Other Property","0","0","0","0","1","0","1","0","1","0"
