" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","4,976","4,969","4,465","4,908","5,128","4,989","5,289","5,567","6,216","6,718"
"Homicide","65","61","59","64","88","89","101","84","116","124"
"Rape (Forcible Rape prior to 2014)","174","171","181","284","307","307","382","455","331","355"
"Rape","166","165","178","271","302","287","342","429","298","326"
"Attempted Rape","8","6","3","13","5","20","40","26","33","29"
"Robbery","1,313","1,285","1,106","1,149","1,166","1,297","1,365","1,238","1,190","1,249"
"Weapon","","","","","","","","","",""
"Firearm","305","238","219","256","327","358","407","364","315","398"
"Knife or Cutting Instrument","157","171","146","171","150","147","203","141","116","153"
"Other Weapon","169","145","132","152","166","137","157","129","141","165"
"Strong-Arm","682","731","609","570","523","655","598","604","618","533"
"Location","","","","","","","","","",""
"Highway","589","561","509","431","421","386","412","327","312","306"
"Commercial","200","229","206","257","255","238","245","248","207","241"
"Gas Station","20","18","13","29","29","43","43","49","50","52"
"Convenience Store","76","87","57","82","92","117","151","138","146","130"
"Residence","203","194","157","165","155","143","135","141","156","180"
"Bank","14","18","7","10","11","10","9","5","11","6"
"Miscellaneous","211","178","157","175","203","360","370","330","308","334"
"Aggravated Assault","3,424","3,452","3,119","3,411","3,567","3,296","3,441","3,790","4,579","4,990"
"Weapon","","","","","","","","","",""
"Firearm","396","422","459","482","570","523","452","456","704","1,072"
"Knife or Cutting Instrument","614","525","519","569","547","489","512","449","498","482"
"Other Weapon","1,406","1,537","1,480","1,639","1,634","1,051","1,039","1,085","1,408","1,400"
"Hands  Fists  Feet","1,008","968","661","721","816","1,233","1,438","1,800","1,969","2,036"
"Property Crimes","34,761","33,382","28,283","30,342","32,570","28,933","30,268","29,604","27,890","29,208"
"Burglary","10,931","10,728","8,546","8,419","8,351","7,429","7,993","7,595","6,358","5,507"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","5,988","5,844","4,551","4,400","4,332","5,085","5,878","5,728","4,915","4,290"
"No Force","4,943","4,884","3,995","4,019","4,019","2,344","2,115","1,867","1,443","1,217"
"Location / Time","","","","","","","","","",""
"Residence","7,032","6,864","5,301","5,044","4,713","3,459","3,475","3,058","2,157","1,668"
"Night","1,553","1,601","1,149","1,236","1,182","844","861","741","606","502"
"Day","4,126","3,964","3,062","2,804","2,584","1,392","1,344","1,106","723","547"
"Unknown","1,353","1,299","1,090","1,004","947","1,223","1,270","1,211","828","619"
"Non-Residence","3,899","3,864","3,245","3,375","3,638","3,970","4,518","4,537","4,201","3,839"
"Night","1,414","1,297","1,055","1,116","1,416","1,682","1,891","1,721","1,682","1,350"
"Day","1,374","1,424","1,205","1,086","1,121","794","774","823","714","641"
"Unknown","1,111","1,143","985","1,173","1,101","1,494","1,853","1,993","1,805","1,848"
"Motor Vehicle Theft","6,246","5,802","4,745","5,328","6,477","5,899","6,054","5,883","7,537","8,843"
"Automotive","4,322","4,226","3,312","3,604","4,523","4,278","4,348","4,192","5,098","5,600"
"Trucks and Buses","1,440","1,215","1,036","1,301","1,538","1,204","1,223","1,223","1,770","2,564"
"Other","484","361","397","423","416","417","483","468","669","679"
"Larceny-Theft","17,584","16,852","14,992","16,595","17,742","15,605","16,221","16,126","13,995","14,858"
"Type","","","","","","","","","",""
"Pocket-Picking","92","113","78","46","54","101","76","71","61","56"
"Purse-Snatching","112","72","57","33","47","54","61","85","57","34"
"Shoplifting","2,405","2,585","2,874","3,286","2,596","2,331","2,522","2,484","1,900","2,116"
"From Motor Vehicle","6,111","5,639","4,611","4,999","6,788","6,089","6,380","6,097","5,152","4,135"
"Motor Vehicle Accessories","1,600","1,534","1,484","1,702","1,905","1,523","1,394","1,311","1,451","1,411"
"Bicycles","472","547","511","517","478","392","373","290","206","170"
"From Building","1,716","1,365","1,175","1,199","1,087","833","904","744","537","496"
"Coin Operated Machine","30","133","18","32","45","97","41","28","19","17"
"Other","5,046","4,864","4,184","4,781","4,742","4,185","4,470","5,016","4,612","6,423"
"Value","","","","","","","","","",""
"Over $400","6,566","6,071","5,061","5,841","6,365","5,829","6,294","6,938","6,297","null"
"$200 through $400","2,748","2,610","2,329","2,436","2,531","2,159","2,212","2,317","1,936","null"
"$50 through $199","3,450","3,318","3,110","3,342","3,310","2,845","2,890","2,780","2,136","1,819"
"Under $50","4,820","4,853","4,492","4,976","5,536","4,772","4,825","4,091","3,626","3,253"
"Arson","589","545","646","714","695","692","715","843","1,008","468"
"Structural Property","238","230","302","326","316","316","324","412","442","163"
"Mobile Property","203","219","210","217","227","224","253","252","309","210"
"Other Property","148","96","134","171","152","152","138","179","257","95"
