" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","767","725","696","694","639","754","784","757","777","686"
"Homicide","4","6","7","5","11","9","5","4","11","11"
"Rape (Forcible Rape prior to 2014)","55","35","65","62","72","88","81","71","63","79"
"Rape","54","30","57","60","70","78","79","69","59","71"
"Attempted Rape","1","5","8","2","2","10","2","2","4","8"
"Robbery","106","123","72","103","80","104","86","88","91","79"
"Weapon","","","","","","","","","",""
"Firearm","13","14","10","23","19","23","14","17","21","16"
"Knife or Cutting Instrument","11","9","7","10","10","10","4","6","10","6"
"Other Weapon","5","14","8","6","8","9","8","5","7","12"
"Strong-Arm","77","86","47","64","43","62","60","60","53","45"
"Location","","","","","","","","","",""
"Highway","39","45","22","34","25","30","23","19","18","14"
"Commercial","13","17","13","17","16","19","15","18","23","2"
"Gas Station","2","3","1","1","1","9","4","3","3","4"
"Convenience Store","6","4","2","9","1","8","7","1","5","4"
"Residence","25","21","19","16","18","18","14","25","18","19"
"Bank","0","2","1","2","0","2","2","0","1","0"
"Miscellaneous","21","31","14","24","19","18","21","22","23","36"
"Aggravated Assault","602","561","552","524","476","553","612","594","612","517"
"Weapon","","","","","","","","","",""
"Firearm","33","48","35","58","48","44","46","87","98","77"
"Knife or Cutting Instrument","60","66","89","82","64","54","77","41","74","55"
"Other Weapon","164","150","145","115","106","140","179","149","159","208"
"Hands  Fists  Feet","345","297","283","269","258","315","310","317","281","177"
"Property Crimes","3,440","3,723","3,475","3,901","3,167","2,935","2,701","2,466","2,506","2,324"
"Burglary","813","858","702","797","699","620","505","410","451","442"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","451","453","352","434","417","361","276","250","275","242"
"No Force","362","405","350","363","282","259","229","160","176","200"
"Location / Time","","","","","","","","","",""
"Residence","596","562","494","576","474","417","350","237","242","227"
"Night","146","165","160","153","116","110","90","78","68","57"
"Day","310","257","232","289","219","171","158","103","113","80"
"Unknown","140","140","102","134","139","136","102","56","61","90"
"Non-Residence","217","296","208","221","225","203","155","173","209","215"
"Night","84","112","73","70","76","59","57","60","76","68"
"Day","76","103","81","69","80","67","39","59","84","67"
"Unknown","57","81","54","82","69","77","59","54","49","80"
"Motor Vehicle Theft","405","452","411","541","537","529","419","394","557","517"
"Automotive","286","280","263","346","301","290","227","194","269","297"
"Trucks and Buses","85","116","117","134","112","156","150","148","174","141"
"Other","34","56","31","61","124","83","42","52","114","79"
"Larceny-Theft","2,222","2,413","2,362","2,563","1,931","1,786","1,777","1,662","1,498","1,365"
"Type","","","","","","","","","",""
"Pocket-Picking","6","14","2","1","3","2","2","9","4","2"
"Purse-Snatching","10","8","14","9","13","11","11","7","4","1"
"Shoplifting","309","449","408","463","343","308","304","265","190","85"
"From Motor Vehicle","730","669","702","795","520","506","505","489","444","342"
"Motor Vehicle Accessories","97","106","89","143","128","134","91","113","126","150"
"Bicycles","91","148","156","136","82","53","58","39","73","20"
"From Building","445","361","355","292","244","254","289","263","234","112"
"Coin Operated Machine","23","13","7","16","6","4","3","4","3","5"
"Other","511","645","629","708","592","514","514","473","420","648"
"Value","","","","","","","","","",""
"Over $400","632","637","624","719","587","584","581","594","540","null"
"$200 through $400","379","439","389","456","345","263","284","255","249","null"
"$50 through $199","604","652","638","683","444","427","475","399","333","172"
"Under $50","607","685","711","705","555","512","437","414","376","544"
"Arson","34","29","19","27","21","31","17","27","17","14"
"Structural Property","22","13","13","17","15","25","9","17","11","3"
"Mobile Property","6","5","1","5","3","2","5","4","3","2"
"Other Property","6","11","5","5","3","4","3","6","3","9"
