" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","376","356","307","346","379","396","338","347","351","392"
"Homicide","3","4","6","8","3","7","8","5","1","5"
"Rape (Forcible Rape prior to 2014)","33","31","36","25","39","46","30","43","30","51"
"Rape","30","22","32","22","38","41","30","41","26","48"
"Attempted Rape","3","9","4","3","1","5","0","2","4","3"
"Robbery","60","51","29","53","66","53","46","62","46","41"
"Weapon","","","","","","","","","",""
"Firearm","24","20","2","13","17","11","8","13","11","7"
"Knife or Cutting Instrument","3","4","4","8","9","9","4","5","5","1"
"Other Weapon","5","5","4","3","6","6","3","6","4","3"
"Strong-Arm","28","22","19","29","34","27","31","38","26","30"
"Location","","","","","","","","","",""
"Highway","17","11","5","11","13","19","13","20","10","10"
"Commercial","4","5","7","8","18","4","8","7","7","4"
"Gas Station","0","1","0","1","2","0","0","1","2","0"
"Convenience Store","1","1","1","0","3","2","0","2","1","0"
"Residence","24","22","8","23","17","16","12","19","18","16"
"Bank","1","3","0","1","0","0","0","0","1","0"
"Miscellaneous","13","8","8","9","13","12","13","13","7","11"
"Aggravated Assault","280","270","236","260","271","290","254","237","274","295"
"Weapon","","","","","","","","","",""
"Firearm","19","27","28","24","29","32","32","18","44","52"
"Knife or Cutting Instrument","22","39","32","25","44","37","41","20","24","28"
"Other Weapon","83","75","77","90","95","85","60","88","101","118"
"Hands  Fists  Feet","156","129","99","121","103","136","121","111","105","97"
"Property Crimes","1,925","1,833","1,832","1,887","1,746","1,628","1,341","1,228","1,166","1,188"
"Burglary","766","742","658","642","627","557","515","379","366","334"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","363","334","256","350","283","253","259","161","184","164"
"No Force","403","408","402","292","344","304","256","218","182","170"
"Location / Time","","","","","","","","","",""
"Residence","462","440","343","421","381","338","327","227","233","184"
"Night","86","74","48","81","75","71","75","61","71","47"
"Day","229","218","166","196","206","150","136","122","117","96"
"Unknown","147","148","129","144","100","117","116","44","45","41"
"Non-Residence","304","302","315","221","246","219","188","152","133","150"
"Night","93","100","88","75","69","76","64","54","43","59"
"Day","142","148","154","86","118","89","83","76","60","61"
"Unknown","69","54","73","60","59","54","41","22","30","30"
"Motor Vehicle Theft","201","211","224","284","340","330","254","266","283","314"
"Automotive","139","151","151","195","213","182","147","155","181","177"
"Trucks and Buses","28","21","26","31","31","76","65","62","61","72"
"Other","34","39","47","58","96","72","42","49","41","65"
"Larceny-Theft","958","880","950","961","779","741","572","583","517","540"
"Type","","","","","","","","","",""
"Pocket-Picking","2","2","4","3","0","8","4","1","3","5"
"Purse-Snatching","7","7","7","8","8","8","6","9","7","7"
"Shoplifting","155","120","173","133","108","109","83","77","49","62"
"From Motor Vehicle","205","196","164","153","107","101","82","89","84","109"
"Motor Vehicle Accessories","27","26","33","45","31","53","36","41","55","48"
"Bicycles","40","24","10","18","11","10","10","8","11","7"
"From Building","200","143","205","187","128","108","91","85","62","92"
"Coin Operated Machine","2","6","5","8","3","3","3","2","4","1"
"Other","320","356","349","406","383","341","257","271","242","209"
"Value","","","","","","","","","",""
"Over $400","269","277","267","312","242","255","186","195","224","null"
"$200 through $400","153","157","118","149","101","106","68","68","55","null"
"$50 through $199","205","164","232","181","160","108","103","94","91","77"
"Under $50","331","282","333","319","276","272","215","226","147","164"
"Arson","25","21","22","19","21","31","17","16","36","22"
"Structural Property","25","17","21","17","20","31","15","14","31","20"
"Mobile Property","0","0","0","0","0","0","0","0","0","1"
"Other Property","0","4","1","2","1","0","2","2","5","1"
