" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","132","127","140","220","225","270","254","274","210","80"
"Homicide","1","2","2","0","1","1","0","0","0","0"
"Rape (Forcible Rape prior to 2014)","8","10","6","10","13","15","14","15","4","13"
"Rape","8","9","6","9","13","15","13","15","4","12"
"Attempted Rape","0","1","0","1","0","0","1","0","0","1"
"Robbery","11","11","12","13","13","13","14","10","14","6"
"Weapon","","","","","","","","","",""
"Firearm","4","2","5","4","1","5","5","2","4","1"
"Knife or Cutting Instrument","1","3","1","1","1","1","2","1","3","0"
"Other Weapon","1","1","1","1","2","2","0","2","0","2"
"Strong-Arm","5","5","5","7","9","5","7","5","7","3"
"Location","","","","","","","","","",""
"Highway","1","0","1","0","0","0","1","0","1","2"
"Commercial","0","0","1","0","0","0","1","0","0","0"
"Gas Station","4","0","0","1","0","0","0","2","1","0"
"Convenience Store","0","0","0","0","1","0","0","1","0","0"
"Residence","3","2","7","4","3","5","4","2","7","3"
"Bank","0","0","0","0","1","0","1","0","0","0"
"Miscellaneous","3","9","3","8","8","8","7","5","5","1"
"Aggravated Assault","112","104","120","197","198","241","226","249","192","61"
"Weapon","","","","","","","","","",""
"Firearm","5","10","10","14","7","7","18","7","17","14"
"Knife or Cutting Instrument","13","9","6","16","13","15","11","18","12","11"
"Other Weapon","62","43","41","62","73","81","72","101","95","19"
"Hands  Fists  Feet","32","42","63","105","105","138","125","123","68","17"
"Property Crimes","531","576","521","591","513","598","531","419","354","379"
"Burglary","166","223","175","160","155","209","193","145","100","107"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","79","94","89","71","77","121","105","84","55","42"
"No Force","87","129","86","89","78","88","88","61","45","65"
"Location / Time","","","","","","","","","",""
"Residence","98","113","86","90","75","125","99","78","50","61"
"Night","5","7","8","8","4","7","9","1","6","12"
"Day","16","13","9","8","6","15","6","2","3","32"
"Unknown","77","93","69","74","65","103","84","75","41","17"
"Non-Residence","68","110","89","70","80","84","94","67","50","46"
"Night","6","6","4","4","5","6","6","0","6","10"
"Day","5","7","4","2","4","5","13","6","6","30"
"Unknown","57","97","81","64","71","73","75","61","38","6"
"Motor Vehicle Theft","31","36","30","39","43","63","40","42","45","61"
"Automotive","23","25","19","29","30","47","31","26","30","34"
"Trucks and Buses","5","6","3","6","9","6","3","4","4","8"
"Other","3","5","8","4","4","10","6","12","11","19"
"Larceny-Theft","334","317","316","392","315","326","298","232","209","211"
"Type","","","","","","","","","",""
"Pocket-Picking","3","1","0","4","4","0","2","1","1","0"
"Purse-Snatching","5","5","5","6","3","1","3","3","1","1"
"Shoplifting","27","33","42","75","44","43","46","33","39","11"
"From Motor Vehicle","93","77","57","101","59","84","58","56","48","44"
"Motor Vehicle Accessories","10","6","11","13","18","13","8","10","12","10"
"Bicycles","13","26","11","24","19","11","11","11","10","10"
"From Building","71","62","70","64","66","63","64","38","27","25"
"Coin Operated Machine","0","1","2","1","0","2","0","0","0","0"
"Other","112","106","118","104","102","109","106","80","71","110"
"Value","","","","","","","","","",""
"Over $400","103","98","91","107","92","90","89","67","50","null"
"$200 through $400","48","51","41","66","50","49","36","24","31","null"
"$50 through $199","72","69","73","89","69","79","51","46","42","25"
"Under $50","111","99","111","130","104","108","122","95","86","67"
"Arson","9","9","4","9","4","10","10","1","11","4"
"Structural Property","5","5","3","6","1","6","3","1","7","3"
"Mobile Property","3","1","1","0","1","0","5","0","2","0"
"Other Property","1","3","0","3","2","4","2","0","2","1"
