" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","44,556","40,384","42,725","50,466","56,351","59,924","58,567","56,416","54,600","58,177"
"Homicide","600","543","526","592","622","580","570","508","677","841"
"Rape (Forcible Rape prior to 2014)","1,976","1,752","2,224","3,913","4,153","4,302","4,489","4,169","3,756","3,918"
"Rape","1,720","1,556","2,009","3,649","3,913","4,060","4,289","3,969","3,585","3,749"
"Attempted Rape","256","196","215","264","240","242","200","200","171","169"
"Robbery","18,923","16,783","16,191","17,682","20,147","21,089","19,480","18,607","15,221","15,642"
"Weapon","","","","","","","","","",""
"Firearm","4,837","4,294","3,880","4,518","5,410","5,457","4,750","4,443","3,956","4,518"
"Knife or Cutting Instrument","1,745","1,586","1,552","1,698","1,953","1,937","1,876","1,792","1,546","1,602"
"Other Weapon","1,631","1,596","1,608","1,857","2,158","2,439","2,433","2,276","2,030","2,241"
"Strong-Arm","10,710","9,307","9,151","9,609","10,626","11,256","10,421","10,096","7,689","7,281"
"Location","","","","","","","","","",""
"Highway","9,662","8,257","8,537","8,980","9,884","10,502","9,370","8,808","7,157","7,133"
"Commercial","3,073","2,772","2,903","3,539","4,335","4,561","4,258","4,282","3,392","3,785"
"Gas Station","274","271","232","349","323","384","386","325","328","409"
"Convenience Store","525","420","521","667","770","788","787","814","755","766"
"Residence","1,198","1,105","951","939","1,254","1,198","1,164","1,098","1,092","1,080"
"Bank","125","147","143","162","164","174","171","102","83","83"
"Miscellaneous","4,066","3,811","2,904","3,046","3,417","3,482","3,344","3,178","2,414","2,386"
"Aggravated Assault","23,057","21,306","23,784","28,279","31,429","33,953","34,028","33,132","34,946","37,776"
"Weapon","","","","","","","","","",""
"Firearm","5,820","5,138","5,223","6,814","8,036","7,415","7,054","6,785","9,232","10,769"
"Knife or Cutting Instrument","4,361","4,166","4,555","5,807","6,398","6,570","6,590","6,562","6,876","7,279"
"Other Weapon","6,750","6,184","7,669","8,497","9,529","10,494","10,745","9,891","10,579","10,854"
"Hands  Fists  Feet","6,126","5,818","6,337","7,161","7,466","9,474","9,639","9,894","8,259","8,874"
"Property Crimes","232,266","228,419","217,493","240,050","252,224","248,714","237,814","224,192","213,377","227,695"
"Burglary","49,107","48,172","44,224","45,396","46,918","46,972","42,552","37,987","36,725","35,811"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","33,386","33,193","30,427","32,573","34,144","34,817","31,973","28,659","28,102","27,185"
"No Force","15,721","14,979","13,797","12,823","12,774","12,155","10,579","9,328","8,623","8,626"
"Location / Time","","","","","","","","","",""
"Residence","33,312","32,740","29,209","28,659","27,738","26,540","23,557","19,136","14,294","14,595"
"Night","7,170","7,504","5,558","6,397","6,821","6,982","6,214","5,321","4,744","5,049"
"Day","17,736","16,903","12,837","13,221","12,255","11,449","10,115","8,167","5,331","5,528"
"Unknown","8,406","8,333","10,814","9,041","8,662","8,109","7,228","5,648","4,219","4,018"
"Non-Residence","15,795","15,432","15,015","16,737","19,180","20,432","18,995","18,851","22,431","21,216"
"Night","5,351","5,556","5,419","6,768","8,571","9,205","8,749","8,516","9,637","9,499"
"Day","5,555","5,091","3,437","4,356","4,592","4,856","4,840","5,215","6,694","6,904"
"Unknown","4,889","4,785","6,159","5,613","6,017","6,371","5,406","5,120","6,100","4,813"
"Motor Vehicle Theft","40,555","38,935","36,586","43,889","47,496","47,406","41,412","37,429","49,554","58,224"
"Automotive","30,402","28,624","28,772","36,091","38,560","32,917","27,341","23,338","28,271","32,661"
"Trucks and Buses","8,030","7,908","6,052","5,860","6,723","11,810","11,827","11,826","17,690","21,566"
"Other","2,123","2,403","1,762","1,938","2,213","2,679","2,244","2,265","3,593","3,997"
"Larceny-Theft","142,604","141,312","136,683","150,765","157,810","154,336","153,850","148,776","127,098","133,660"
"Type","","","","","","","","","",""
"Pocket-Picking","371","395","417","508","553","817","948","1,142","792","1,116"
"Purse-Snatching","625","812","755","657","590","606","503","538","327","272"
"Shoplifting","20,924","19,836","21,806","24,178","24,597","22,037","21,240","23,095","14,714","14,282"
"From Motor Vehicle","53,041","51,991","41,733","47,760","54,703","55,252","53,031","48,511","42,357","40,992"
"Motor Vehicle Accessories","9,610","10,548","16,397","19,810","20,698","19,903","20,641","20,669","25,561","32,336"
"Bicycles","6,464","6,019","5,934","7,016","6,735","5,962","5,798","5,283","4,972","4,879"
"From Building","25,877","25,334","31,115","25,532","24,203","24,165","25,336","24,110","15,916","16,945"
"Coin Operated Machine","222","275","297","362","502","410","352","334","187","167"
"Other","25,470","26,102","18,229","24,942","25,229","25,184","26,001","25,094","22,272","22,671"
"Value","","","","","","","","","",""
"Over $400","60,914","61,844","57,996","64,365","66,520","66,896","69,544","68,658","59,014","null"
"$200 through $400","22,954","21,778","21,388","22,737","23,271","21,733","21,382","20,560","15,879","null"
"$50 through $199","27,121","26,562","26,321","28,005","28,402","25,694","25,357","23,980","18,221","15,264"
"Under $50","31,615","31,128","30,978","35,658","39,617","40,013","37,567","35,578","33,984","32,583"
"Arson","2,334","2,261","1,968","2,079","2,360","2,529","2,684","2,711","4,271","4,810"
"Structural Property","517","506","431","511","558","602","557","564","777","885"
"Mobile Property","589","491","494","558","570","545","497","463","662","638"
"Other Property","1,228","1,264","1,043","1,010","1,232","1,382","1,630","1,684","2,832","3,287"
