" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","934","1,017","888","858","1,024","891","896","830","578","1,022"
"Homicide","2","13","9","4","7","7","12","3","9","5"
"Rape (Forcible Rape prior to 2014)","35","59","38","38","51","56","70","68","61","118"
"Rape","29","46","36","31","41","48","60","61","59","116"
"Attempted Rape","6","13","2","7","10","8","10","7","2","2"
"Robbery","139","132","99","124","124","145","113","94","105","55"
"Weapon","","","","","","","","","",""
"Firearm","30","36","23","26","21","45","24","15","22","15"
"Knife or Cutting Instrument","18","16","7","11","13","8","12","13","8","9"
"Other Weapon","15","26","12","5","8","10","9","10","5","7"
"Strong-Arm","76","54","57","82","82","82","68","56","70","24"
"Location","","","","","","","","","",""
"Highway","18","13","10","7","7","13","13","5","10","13"
"Commercial","10","3","7","2","6","17","14","18","14","7"
"Gas Station","1","1","1","6","8","4","3","6","7","3"
"Convenience Store","10","7","1","5","10","16","4","4","2","3"
"Residence","10","13","11","21","18","17","18","11","15","18"
"Bank","1","1","0","1","1","1","2","4","1","1"
"Miscellaneous","89","94","69","82","74","77","59","46","56","10"
"Aggravated Assault","758","813","742","692","842","683","701","665","403","844"
"Weapon","","","","","","","","","",""
"Firearm","56","66","45","60","76","71","54","60","87","74"
"Knife or Cutting Instrument","65","71","57","63","95","56","81","64","48","74"
"Other Weapon","119","147","131","108","108","140","147","125","99","329"
"Hands  Fists  Feet","518","529","509","461","563","416","419","416","169","367"
"Property Crimes","4,017","3,934","3,380","3,703","3,705","3,484","2,969","2,693","2,132","2,500"
"Burglary","1,654","1,454","1,116","1,110","978","941","794","682","353","422"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","1,121","950","719","713","660","639","524","444","219","312"
"No Force","533","504","397","397","318","302","270","238","134","110"
"Location / Time","","","","","","","","","",""
"Residence","1,060","946","678","579","543","533","402","289","159","215"
"Night","228","173","160","151","144","149","123","82","60","71"
"Day","540","507","289","200","199","194","128","92","53","137"
"Unknown","292","266","229","228","200","190","151","115","46","7"
"Non-Residence","594","508","438","531","435","408","392","393","194","207"
"Night","308","211","211","270","187","227","187","189","90","93"
"Day","154","158","130","148","125","88","95","102","74","105"
"Unknown","132","139","97","113","123","93","110","102","30","9"
"Motor Vehicle Theft","648","550","445","532","572","713","447","416","450","509"
"Automotive","598","496","384","466","468","585","375","303","359","420"
"Trucks and Buses","9","6","6","47","51","68","32","68","39","20"
"Other","41","48","55","19","53","60","40","45","52","69"
"Larceny-Theft","1,715","1,930","1,819","2,061","2,155","1,830","1,728","1,595","1,329","1,569"
"Type","","","","","","","","","",""
"Pocket-Picking","22","35","20","2","6","7","2","5","5","2"
"Purse-Snatching","16","20","17","15","13","13","10","13","5","3"
"Shoplifting","168","144","158","259","222","211","223","181","167","157"
"From Motor Vehicle","255","327","325","411","603","461","410","334","341","371"
"Motor Vehicle Accessories","85","75","89","99","100","70","63","67","60","166"
"Bicycles","32","60","52","71","76","73","66","63","43","24"
"From Building","125","96","143","204","200","241","226","176","78","58"
"Coin Operated Machine","5","10","8","4","5","13","14","3","2","10"
"Other","1,007","1,163","1,007","996","930","741","714","753","628","778"
"Value","","","","","","","","","",""
"Over $400","599","773","641","706","645","598","664","643","569","null"
"$200 through $400","211","207","256","239","336","278","255","239","187","null"
"$50 through $199","283","303","353","369","461","384","382","316","242","199"
"Under $50","622","647","569","747","713","570","427","397","331","376"
"Arson","11","11","24","15","17","32","27","24","26","30"
"Structural Property","8","4","9","8","6","9","17","10","7","8"
"Mobile Property","2","3","7","6","3","8","7","6","12","5"
"Other Property","1","4","8","1","8","15","3","8","7","17"
