" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","490","491","454","518","475","463","528","516","623","348"
"Homicide","0","2","5","6","3","4","5","1","1","1"
"Rape (Forcible Rape prior to 2014)","30","48","40","57","52","46","64","44","52","36"
"Rape","28","44","36","50","46","43","59","41","48","33"
"Attempted Rape","2","4","4","7","6","3","5","3","4","3"
"Robbery","156","136","111","148","168","149","167","145","123","102"
"Weapon","","","","","","","","","",""
"Firearm","37","20","25","35","25","22","29","19","14","17"
"Knife or Cutting Instrument","18","11","15","15","18","13","17","18","17","11"
"Other Weapon","7","11","5","17","20","14","7","7","9","8"
"Strong-Arm","94","94","66","81","105","100","114","101","83","66"
"Location","","","","","","","","","",""
"Highway","53","55","46","71","68","53","54","51","47","33"
"Commercial","14","20","11","23","22","31","53","37","27","25"
"Gas Station","8","3","2","2","4","5","4","4","6","2"
"Convenience Store","2","1","2","4","1","4","6","5","9","8"
"Residence","24","13","14","9","23","11","11","10","5","9"
"Bank","9","17","2","3","4","4","2","3","5","3"
"Miscellaneous","46","27","34","36","46","41","37","35","24","22"
"Aggravated Assault","304","305","298","307","252","264","292","326","447","209"
"Weapon","","","","","","","","","",""
"Firearm","24","24","31","17","8","12","16","13","28","26"
"Knife or Cutting Instrument","47","57","52","52","55","45","60","61","64","39"
"Other Weapon","115","134","111","131","101","113","115","93","101","81"
"Hands  Fists  Feet","118","90","104","107","88","94","101","159","254","63"
"Property Crimes","5,091","5,012","4,565","5,286","4,975","5,006","4,694","5,443","5,273","3,807"
"Burglary","1,253","1,354","1,072","1,087","991","941","822","1,001","798","502"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","482","565","455","468","482","469","361","538","445","284"
"No Force","771","789","617","619","509","472","461","463","353","218"
"Location / Time","","","","","","","","","",""
"Residence","696","770","548","547","467","414","324","378","330","230"
"Night","119","109","87","89","93","86","67","91","96","64"
"Day","298","421","293","297","251","220","168","194","154","112"
"Unknown","279","240","168","161","123","108","89","93","80","54"
"Non-Residence","557","584","524","540","524","527","498","623","468","272"
"Night","168","195","191","169","167","210","200","249","192","108"
"Day","244","230","225","243","262","239","237","292","204","134"
"Unknown","145","159","108","128","95","78","61","82","72","30"
"Motor Vehicle Theft","584","649","541","675","540","475","556","420","787","489"
"Automotive","459","487","400","488","358","313","345","270","494","246"
"Trucks and Buses","94","98","107","145","136","136","182","105","252","199"
"Other","31","64","34","42","46","26","29","45","41","44"
"Larceny-Theft","3,254","3,009","2,952","3,524","3,444","3,590","3,316","4,022","3,688","2,816"
"Type","","","","","","","","","",""
"Pocket-Picking","22","23","22","20","20","20","24","26","9","11"
"Purse-Snatching","21","25","17","30","27","41","38","25","11","16"
"Shoplifting","391","294","261","441","500","502","371","334","286","263"
"From Motor Vehicle","1,120","936","1,005","1,317","1,192","1,485","1,298","2,001","1,389","905"
"Motor Vehicle Accessories","142","140","160","135","139","154","126","226","478","527"
"Bicycles","366","431","370","319","401","310","338","324","468","364"
"From Building","510","512","434","509","460","412","473","408","244","226"
"Coin Operated Machine","10","7","9","13","6","9","4","8","2","5"
"Other","672","641","674","740","699","657","644","670","801","499"
"Value","","","","","","","","","",""
"Over $400","1,359","1,361","1,267","1,537","1,484","1,632","1,564","1,990","2,003","null"
"$200 through $400","494","448","421","514","486","479","439","489","426","null"
"$50 through $199","555","459","452","512","543","539","461","511","480","281"
"Under $50","846","741","812","961","931","940","852","1,032","779","591"
"Arson","42","45","50","36","23","27","30","18","51","32"
"Structural Property","19","18","15","17","7","16","13","8","25","24"
"Mobile Property","1","0","1","2","1","0","2","2","2","0"
"Other Property","22","27","34","17","15","11","15","8","24","8"
