" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","358","472","512","578","606","480","369","336","371","473"
"Homicide","6","4","6","6","8","4","13","3","6","8"
"Rape (Forcible Rape prior to 2014)","27","31","24","81","64","51","53","45","28","53"
"Rape","23","29","21","73","55","43","47","38","24","43"
"Attempted Rape","4","2","3","8","9","8","6","7","4","10"
"Robbery","46","39","53","46","56","49","50","51","32","33"
"Weapon","","","","","","","","","",""
"Firearm","9","5","9","6","9","18","19","10","7","4"
"Knife or Cutting Instrument","4","1","4","3","1","0","0","2","5","0"
"Other Weapon","3","3","4","1","0","2","2","1","1","2"
"Strong-Arm","30","30","36","36","46","29","29","38","19","27"
"Location","","","","","","","","","",""
"Highway","16","7","15","8","6","16","9","18","6","3"
"Commercial","1","4","6","8","11","9","5","8","6","4"
"Gas Station","1","1","0","1","0","2","2","3","1","0"
"Convenience Store","0","1","4","1","2","2","4","5","1","11"
"Residence","12","10","15","10","17","10","16","9","12","2"
"Bank","2","0","0","1","2","1","1","0","0","1"
"Miscellaneous","14","16","13","17","18","9","13","8","6","12"
"Aggravated Assault","279","398","429","445","478","376","253","237","305","379"
"Weapon","","","","","","","","","",""
"Firearm","9","13","13","11","18","14","22","22","22","31"
"Knife or Cutting Instrument","32","27","26","23","29","19","34","15","14","16"
"Other Weapon","99","112","78","108","88","101","98","95","87","136"
"Hands  Fists  Feet","139","246","312","303","343","242","99","105","182","196"
"Property Crimes","1,734","1,851","1,546","1,449","1,444","1,274","1,199","1,255","1,412","1,216"
"Burglary","563","599","489","411","419","315","325","357","348","312"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","245","269","182","195","237","178","155","174","193","187"
"No Force","318","330","307","216","182","137","170","183","155","125"
"Location / Time","","","","","","","","","",""
"Residence","231","266","190","203","207","134","135","156","161","132"
"Night","56","50","40","50","62","41","35","45","125","121"
"Day","74","77","60","80","67","40","48","49","20","10"
"Unknown","101","139","90","73","78","53","52","62","16","1"
"Non-Residence","332","333","299","208","212","181","190","201","187","180"
"Night","137","136","115","112","109","84","82","107","115","55"
"Day","105","87","101","42","43","33","47","36","41","104"
"Unknown","90","110","83","54","60","64","61","58","31","21"
"Motor Vehicle Theft","190","193","186","214","199","210","206","162","163","178"
"Automotive","147","122","126","149","150","180","183","138","138","125"
"Trucks and Buses","19","40","31","37","13","14","9","10","7","35"
"Other","24","31","29","28","36","16","14","14","18","18"
"Larceny-Theft","981","1,059","871","824","826","749","668","736","901","726"
"Type","","","","","","","","","",""
"Pocket-Picking","3","5","3","6","3","1","1","3","2","3"
"Purse-Snatching","7","5","3","10","5","3","6","4","9","17"
"Shoplifting","225","232","199","296","225","234","223","238","154","120"
"From Motor Vehicle","183","196","159","129","133","108","86","131","90","66"
"Motor Vehicle Accessories","24","39","27","26","38","50","46","36","29","27"
"Bicycles","45","55","46","37","45","60","45","33","24","24"
"From Building","119","104","72","61","76","63","55","41","33","31"
"Coin Operated Machine","2","2","1","2","10","15","12","2","1","7"
"Other","373","421","361","257","291","215","194","248","559","431"
"Value","","","","","","","","","",""
"Over $400","294","290","244","217","277","233","175","233","255","null"
"$200 through $400","153","151","135","110","129","114","84","97","109","null"
"$50 through $199","189","209","209","225","199","168","163","123","185","115"
"Under $50","345","409","283","272","221","234","246","283","352","286"
"Arson","38","33","26","22","8","26","49","44","73","34"
"Structural Property","29","21","11","10","4","12","22","20","26","14"
"Mobile Property","6","8","7","7","1","2","8","8","7","2"
"Other Property","3","4","8","5","3","12","19","16","40","18"
