" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","1,833","1,555","1,485","1,668","1,488","1,557","1,548","1,520","1,660","1,833"
"Homicide","23","27","29","27","6","19","9","12","24","27"
"Rape (Forcible Rape prior to 2014)","54","78","43","80","79","64","74","82","84","101"
"Rape","53","76","41","78","76","60","72","82","84","98"
"Attempted Rape","1","2","2","2","3","4","2","0","0","3"
"Robbery","331","231","241","260","238","274","232","202","252","228"
"Weapon","","","","","","","","","",""
"Firearm","104","69","69","72","72","58","50","40","64","70"
"Knife or Cutting Instrument","23","19","19","26","25","32","25","20","17","20"
"Other Weapon","23","29","36","31","31","36","41","23","41","24"
"Strong-Arm","181","114","117","131","110","148","116","119","130","114"
"Location","","","","","","","","","",""
"Highway","97","59","65","55","82","86","69","71","53","63"
"Commercial","50","32","27","49","36","60","44","41","38","32"
"Gas Station","8","6","9","7","7","6","5","7","14","19"
"Convenience Store","23","18","12","24","15","32","20","16","30","26"
"Residence","59","33","32","30","41","37","36","28","41","31"
"Bank","0","2","1","3","2","1","1","1","1","3"
"Miscellaneous","94","81","95","92","55","52","57","38","75","54"
"Aggravated Assault","1,425","1,219","1,172","1,301","1,165","1,200","1,233","1,224","1,300","1,477"
"Weapon","","","","","","","","","",""
"Firearm","239","215","181","198","186","158","151","132","178","134"
"Knife or Cutting Instrument","129","128","111","112","99","82","86","77","84","99"
"Other Weapon","261","225","230","259","254","278","250","223","253","308"
"Hands  Fists  Feet","796","651","650","732","626","682","746","792","785","936"
"Property Crimes","10,091","8,096","7,126","7,928","7,658","7,148","6,761","6,898","5,951","7,200"
"Burglary","2,686","2,097","1,754","1,842","1,830","1,607","1,412","1,418","1,285","1,304"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","1,834","1,409","1,158","1,300","1,258","1,102","892","952","937","959"
"No Force","852","688","596","542","572","505","520","466","348","345"
"Location / Time","","","","","","","","","",""
"Residence","1,752","1,277","991","1,029","1,044","899","786","706","576","506"
"Night","389","278","267","309","290","261","220","234","207","163"
"Day","666","465","397","381","404","357","300","218","193","192"
"Unknown","697","534","327","339","350","281","266","254","176","151"
"Non-Residence","934","820","763","813","786","708","626","712","709","798"
"Night","464","371","359","429","427","393","337","358","339","365"
"Day","210","221","227","176","151","146","141","200","208","248"
"Unknown","260","228","177","208","208","169","148","154","162","185"
"Motor Vehicle Theft","1,358","1,342","1,015","1,516","1,433","1,158","1,299","1,391","1,346","1,466"
"Automotive","1,137","1,081","818","1,280","1,170","921","985","1,047","936","979"
"Trucks and Buses","133","171","129","146","144","134","206","247","321","341"
"Other","88","90","68","90","119","103","108","97","89","146"
"Larceny-Theft","6,047","4,657","4,357","4,570","4,395","4,383","4,050","4,089","3,320","4,430"
"Type","","","","","","","","","",""
"Pocket-Picking","11","10","9","11","2","23","17","15","7","13"
"Purse-Snatching","22","22","19","25","23","22","16","19","20","13"
"Shoplifting","1,005","940","863","884","817","961","840","705","501","691"
"From Motor Vehicle","1,845","1,397","1,116","1,324","1,455","1,418","1,270","1,327","950","1,066"
"Motor Vehicle Accessories","547","273","377","270","273","187","210","324","373","947"
"Bicycles","353","216","242","302","246","176","160","100","95","132"
"From Building","481","370","359","362","316","373","305","283","265","376"
"Coin Operated Machine","23","13","11","8","10","10","5","9","5","11"
"Other","1,760","1,416","1,361","1,384","1,253","1,213","1,227","1,307","1,104","1,181"
"Value","","","","","","","","","",""
"Over $400","1,651","1,263","1,248","1,324","1,307","1,388","1,383","1,432","1,251","null"
"$200 through $400","1,035","754","674","705","650","630","640","567","452","null"
"$50 through $199","1,539","1,139","1,032","1,077","1,004","1,026","850","868","677","680"
"Under $50","1,822","1,501","1,403","1,464","1,434","1,339","1,177","1,222","940","941"
"Arson","83","125","63","113","117","132","100","89","157","191"
"Structural Property","42","49","30","48","49","58","40","41","91","83"
"Mobile Property","15","7","7","19","18","16","14","14","14","24"
"Other Property","26","69","26","46","50","58","46","34","52","84"
