" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","69","69","49","69","41","58","51","43","37","13"
"Homicide","1","2","4","0","1","2","0","0","1","0"
"Rape (Forcible Rape prior to 2014)","12","12","3","14","8","2","3","4","4","4"
"Rape","11","12","3","14","8","2","3","4","4","3"
"Attempted Rape","1","0","0","0","0","0","0","0","0","1"
"Robbery","3","3","1","2","1","3","4","2","2","0"
"Weapon","","","","","","","","","",""
"Firearm","0","1","0","0","0","1","1","0","1","0"
"Knife or Cutting Instrument","0","1","0","0","0","0","2","1","1","0"
"Other Weapon","1","0","0","0","0","0","0","1","0","0"
"Strong-Arm","2","1","1","2","1","2","1","0","0","0"
"Location","","","","","","","","","",""
"Highway","0","1","0","1","0","0","2","0","0","0"
"Commercial","0","0","0","0","0","0","0","0","0","0"
"Gas Station","1","0","0","0","1","0","0","0","0","0"
"Convenience Store","0","0","0","0","0","0","0","0","0","0"
"Residence","1","1","1","1","0","2","1","1","2","0"
"Bank","0","0","0","0","0","0","0","0","0","0"
"Miscellaneous","1","1","0","0","0","1","1","1","0","0"
"Aggravated Assault","53","52","41","53","31","51","44","37","30","9"
"Weapon","","","","","","","","","",""
"Firearm","2","4","2","1","3","0","1","2","2","0"
"Knife or Cutting Instrument","6","6","3","0","4","5","4","2","0","0"
"Other Weapon","22","13","10","11","18","30","15","6","13","5"
"Hands  Fists  Feet","23","29","26","41","6","16","24","27","15","4"
"Property Crimes","152","168","166","122","163","179","132","66","78","56"
"Burglary","58","57","62","27","43","40","42","20","25","15"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","37","39","32","23","20","20","19","14","15","7"
"No Force","21","18","30","4","23","20","23","6","10","8"
"Location / Time","","","","","","","","","",""
"Residence","38","37","43","19","28","26","31","18","15","11"
"Night","10","8","11","3","5","1","7","6","3","2"
"Day","5","7","8","2","10","9","8","8","3","4"
"Unknown","23","22","24","14","13","16","16","4","9","5"
"Non-Residence","20","20","19","8","15","14","11","2","10","4"
"Night","8","3","5","0","5","5","2","0","4","0"
"Day","5","5","5","5","7","5","3","1","0","1"
"Unknown","7","12","9","3","3","4","6","1","6","3"
"Motor Vehicle Theft","4","14","9","11","11","15","21","8","8","11"
"Automotive","1","7","5","6","6","10","18","6","6","11"
"Trucks and Buses","2","1","2","1","3","3","0","2","2","0"
"Other","1","6","2","4","2","2","3","0","0","0"
"Larceny-Theft","90","97","95","84","109","124","69","38","45","30"
"Type","","","","","","","","","",""
"Pocket-Picking","0","0","0","0","0","0","0","0","0","1"
"Purse-Snatching","0","0","0","2","0","0","0","0","0","1"
"Shoplifting","2","2","2","7","5","2","1","4","3","3"
"From Motor Vehicle","6","12","8","11","20","18","8","2","6","2"
"Motor Vehicle Accessories","5","3","6","2","5","6","6","3","0","2"
"Bicycles","2","9","6","3","2","10","1","0","0","0"
"From Building","29","35","27","31","49","37","21","18","18","2"
"Coin Operated Machine","2","0","0","0","0","0","0","0","0","0"
"Other","44","36","46","28","28","51","32","11","18","19"
"Value","","","","","","","","","",""
"Over $400","35","38","30","26","44","37","18","14","19","null"
"$200 through $400","16","15","15","9","15","24","12","5","5","null"
"$50 through $199","14","23","22","25","22","38","15","3","2","6"
"Under $50","25","21","28","24","28","25","24","16","19","16"
"Arson","5","2","1","4","0","2","2","0","1","3"
"Structural Property","3","0","0","4","0","1","2","0","1","1"
"Mobile Property","0","0","0","0","0","0","0","0","0","0"
"Other Property","2","2","1","0","0","1","0","0","0","2"
