" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","44","29","36","29","37","43","41","67","42","33"
"Homicide","0","0","0","0","2","0","0","0","2","1"
"Rape (Forcible Rape prior to 2014)","4","0","2","3","7","6","8","18","7","7"
"Rape","4","0","2","3","5","6","8","16","7","7"
"Attempted Rape","0","0","0","0","2","0","0","2","0","0"
"Robbery","9","5","4","3","4","5","3","1","6","1"
"Weapon","","","","","","","","","",""
"Firearm","0","1","0","0","1","0","0","0","0","1"
"Knife or Cutting Instrument","1","0","0","0","0","0","0","0","0","0"
"Other Weapon","0","0","0","1","1","1","0","0","0","0"
"Strong-Arm","8","4","4","2","2","4","3","1","6","0"
"Location","","","","","","","","","",""
"Highway","3","0","1","0","2","1","1","0","0","0"
"Commercial","2","0","0","0","0","2","0","0","0","1"
"Gas Station","0","0","1","0","0","0","0","0","0","0"
"Convenience Store","0","0","0","0","0","0","0","0","0","0"
"Residence","2","0","0","1","1","2","0","1","2","0"
"Bank","0","3","0","0","0","0","0","0","0","0"
"Miscellaneous","2","2","2","2","1","0","2","0","4","0"
"Aggravated Assault","31","24","30","23","24","32","30","48","27","24"
"Weapon","","","","","","","","","",""
"Firearm","4","2","1","1","2","0","2","4","2","1"
"Knife or Cutting Instrument","2","3","1","1","3","3","4","4","1","2"
"Other Weapon","5","7","10","4","9","9","10","19","8","9"
"Hands  Fists  Feet","20","12","18","17","10","20","14","21","16","12"
"Property Crimes","258","221","184","185","162","211","133","187","161","107"
"Burglary","86","53","43","41","39","36","17","38","54","24"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","26","9","15","17","10","13","5","13","18","11"
"No Force","60","44","28","24","29","23","12","25","36","13"
"Location / Time","","","","","","","","","",""
"Residence","20","16","11","3","6","11","3","9","15","15"
"Night","3","5","2","0","2","4","0","3","10","6"
"Day","9","6","6","2","2","1","1","4","1","7"
"Unknown","8","5","3","1","2","6","2","2","4","2"
"Non-Residence","66","37","32","38","33","25","14","29","39","9"
"Night","20","4","13","9","10","7","6","8","12","2"
"Day","32","23","17","9","14","12","4","16","17","6"
"Unknown","14","10","2","20","9","6","4","5","10","1"
"Motor Vehicle Theft","2","9","8","12","12","21","4","11","10","12"
"Automotive","0","6","4","6","5","10","3","5","4","7"
"Trucks and Buses","1","3","2","4","5","5","1","2","4","1"
"Other","1","0","2","2","2","6","0","4","2","4"
"Larceny-Theft","170","159","133","132","111","154","112","138","97","71"
"Type","","","","","","","","","",""
"Pocket-Picking","2","3","3","0","1","1","0","1","1","1"
"Purse-Snatching","1","2","0","3","1","4","1","1","0","2"
"Shoplifting","5","5","6","11","11","8","11","26","12","7"
"From Motor Vehicle","33","29","22","25","21","25","15","26","21","20"
"Motor Vehicle Accessories","1","2","1","4","3","3","7","1","3","1"
"Bicycles","14","10","8","9","5","12","9","8","6","5"
"From Building","43","28","29","25","18","41","29","29","6","14"
"Coin Operated Machine","0","1","0","3","0","2","0","0","0","0"
"Other","71","79","64","52","51","58","40","46","48","21"
"Value","","","","","","","","","",""
"Over $400","72","79","62","57","53","75","47","57","39","null"
"$200 through $400","38","28","30","26","21","30","14","22","15","null"
"$50 through $199","33","28","20","22","17","30","20","25","19","9"
"Under $50","27","24","21","27","20","19","31","34","24","11"
"Arson","1","1","0","0","0","0","2","3","1","2"
"Structural Property","0","1","0","0","0","0","2","3","0","2"
"Mobile Property","0","0","0","0","0","0","0","0","1","0"
"Other Property","1","0","0","0","0","0","0","0","0","0"
