" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","1,866","1,794","1,833","1,927","1,822","1,802","1,750","1,433","1,480","2,035"
"Homicide","45","47","34","60","56","43","27","15","14","35"
"Rape (Forcible Rape prior to 2014)","94","82","125","160","162","168","197","139","175","186"
"Rape","84","76","113","145","156","159","191","135","171","181"
"Attempted Rape","10","6","12","15","6","9","6","4","4","5"
"Robbery","706","655","587","557","506","547","483","368","342","381"
"Weapon","","","","","","","","","",""
"Firearm","319","324","248","248","234","237","198","115","70","101"
"Knife or Cutting Instrument","71","64","62","57","57","56","46","36","48","47"
"Other Weapon","37","40","36","32","31","24","26","24","29","44"
"Strong-Arm","279","227","241","220","184","230","213","193","195","189"
"Location","","","","","","","","","",""
"Highway","352","334","312","275","222","246","222","187","182","148"
"Commercial","135","106","92","98","95","94","78","62","49","65"
"Gas Station","23","21","10","18","24","19","18","11","5","11"
"Convenience Store","64","62","85","59","54","74","58","37","28","33"
"Residence","38","49","32","35","37","31","34","20","26","37"
"Bank","17","6","1","6","2","1","9","0","0","3"
"Miscellaneous","77","77","55","66","72","82","64","51","52","84"
"Aggravated Assault","1,021","1,010","1,087","1,150","1,098","1,044","1,043","911","949","1,433"
"Weapon","","","","","","","","","",""
"Firearm","168","191","164","271","221","246","164","149","205","264"
"Knife or Cutting Instrument","114","129","137","154","143","150","173","112","130","161"
"Other Weapon","259","241","316","245","318","275","274","264","288","413"
"Hands  Fists  Feet","480","449","470","480","416","373","432","386","326","595"
"Property Crimes","10,298","10,940","10,577","9,535","10,396","10,043","9,030","7,735","7,728","7,154"
"Burglary","2,912","2,706","2,594","1,812","1,666","1,937","1,767","1,524","1,463","1,454"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","1,636","1,594","1,607","1,071","997","1,208","1,017","909","923","948"
"No Force","1,276","1,112","987","741","669","729","750","615","540","506"
"Location / Time","","","","","","","","","",""
"Residence","1,920","1,796","1,805","1,065","914","1,026","896","698","725","609"
"Night","316","356","294","204","209","226","228","179","196","178"
"Day","1,154","969","1,121","556","488","540","438","336","356","333"
"Unknown","450","471","390","305","217","260","230","183","173","98"
"Non-Residence","992","910","789","747","752","911","871","826","738","845"
"Night","397","351","376","324","341","449","432","455","388","428"
"Day","339","254","211","256","235","273","257","230","212","322"
"Unknown","256","305","202","167","176","189","182","141","138","95"
"Motor Vehicle Theft","1,774","2,198","2,388","2,831","2,518","2,080","1,847","1,649","1,529","1,211"
"Automotive","1,498","1,878","1,960","2,365","2,010","1,519","1,414","1,229","1,103","858"
"Trucks and Buses","189","238","316","363","387","412","313","330","321","250"
"Other","87","82","112","103","121","149","120","90","105","103"
"Larceny-Theft","5,612","6,036","5,595","4,892","6,212","6,026","5,416","4,562","4,736","4,489"
"Type","","","","","","","","","",""
"Pocket-Picking","16","27","29","17","21","28","24","12","11","13"
"Purse-Snatching","22","19","12","22","17","20","19","14","15","13"
"Shoplifting","1,112","1,219","1,192","970","826","805","768","768","615","518"
"From Motor Vehicle","1,619","1,853","1,877","1,706","2,786","2,502","2,000","1,602","1,831","1,624"
"Motor Vehicle Accessories","608","704","522","447","542","764","643","608","567","870"
"Bicycles","209","313","344","244","259","310","295","232","395","224"
"From Building","524","589","502","385","487","455","495","414","271","254"
"Coin Operated Machine","4","12","11","17","5","35","12","8","8","5"
"Other","1,498","1,300","1,106","1,084","1,269","1,107","1,160","904","1,023","968"
"Value","","","","","","","","","",""
"Over $400","1,879","2,035","1,862","1,687","2,298","2,312","2,151","1,799","1,918","null"
"$200 through $400","864","932","872","759","908","785","727","596","623","null"
"$50 through $199","1,193","1,232","1,215","989","1,155","1,058","915","825","865","564"
"Under $50","1,676","1,837","1,646","1,457","1,851","1,871","1,623","1,342","1,330","1,322"
"Arson","64","60","82","56","42","58","55","71","63","67"
"Structural Property","19","16","27","21","19","27","18","32","18","25"
"Mobile Property","17","14","36","24","15","17","21","21","19","15"
"Other Property","28","30","19","11","8","14","16","18","26","27"
