" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","485","417","534","587","598","597","683","753","539","589"
"Homicide","2","2","5","3","1","1","1","1","1","0"
"Rape (Forcible Rape prior to 2014)","30","37","45","62","62","60","84","90","65","80"
"Rape","28","37","44","59","61","60","78","87","64","81"
"Attempted Rape","2","0","1","3","1","0","6","3","1","-1"
"Robbery","71","83","59","55","72","61","67","70","59","66"
"Weapon","","","","","","","","","",""
"Firearm","10","10","5","8","13","12","14","9","15","9"
"Knife or Cutting Instrument","8","4","8","3","6","4","8","4","4","8"
"Other Weapon","4","10","7","5","7","7","9","14","4","5"
"Strong-Arm","49","59","39","39","46","38","36","43","36","44"
"Location","","","","","","","","","",""
"Highway","15","33","15","12","24","13","17","19","14","20"
"Commercial","26","23","17","19","17","19","16","20","17","14"
"Gas Station","1","1","2","0","2","4","1","2","0","1"
"Convenience Store","2","2","1","1","8","5","3","6","4","4"
"Residence","10","10","14","9","6","5","5","8","8","7"
"Bank","3","3","2","2","3","2","0","1","1","1"
"Miscellaneous","14","11","8","12","12","13","25","14","15","19"
"Aggravated Assault","382","295","425","467","463","475","531","592","414","443"
"Weapon","","","","","","","","","",""
"Firearm","11","11","13","31","46","27","34","23","50","54"
"Knife or Cutting Instrument","45","54","45","52","62","40","44","52","62","71"
"Other Weapon","90","86","94","105","93","111","81","82","70","74"
"Hands  Fists  Feet","236","144","273","279","262","297","372","435","232","244"
"Property Crimes","2,863","2,574","2,385","2,586","2,524","2,225","2,033","2,162","2,306","1,927"
"Burglary","658","605","566","598","655","560","405","395","522","286"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","193","146","159","162","139","114","82","111","194","97"
"No Force","465","459","407","436","516","446","323","284","328","189"
"Location / Time","","","","","","","","","",""
"Residence","407","323","283","261","229","201","127","129","190","114"
"Night","89","57","63","64","44","35","21","23","41","21"
"Day","199","145","137","118","106","108","62","56","70","61"
"Unknown","119","121","83","79","79","58","44","50","79","32"
"Non-Residence","251","282","283","337","426","359","278","266","332","172"
"Night","85","74","68","83","105","104","93","72","93","48"
"Day","89","115","134","149","221","194","135","122","139","93"
"Unknown","77","93","81","105","100","61","50","72","100","31"
"Motor Vehicle Theft","310","237","213","236","222","281","241","189","273","244"
"Automotive","224","150","133","156","144","162","136","89","142","121"
"Trucks and Buses","68","61","61","61","69","100","94","95","106","110"
"Other","18","26","19","19","9","19","11","5","25","13"
"Larceny-Theft","1,895","1,732","1,606","1,752","1,647","1,384","1,387","1,578","1,511","1,397"
"Type","","","","","","","","","",""
"Pocket-Picking","17","8","6","11","6","4","5","2","1","22"
"Purse-Snatching","16","12","8","32","22","16","9","4","5","6"
"Shoplifting","485","374","358","372","224","171","285","247","198","196"
"From Motor Vehicle","552","510","455","562","541","426","385","669","551","446"
"Motor Vehicle Accessories","48","66","85","37","67","73","65","54","137","243"
"Bicycles","107","96","99","145","156","107","99","106","145","67"
"From Building","181","180","130","135","115","122","86","112","67","68"
"Coin Operated Machine","5","6","8","4","9","4","4","8","5","5"
"Other","484","480","457","454","507","461","449","376","402","344"
"Value","","","","","","","","","",""
"Over $400","614","578","562","674","661","551","586","732","756","null"
"$200 through $400","303","295","223","268","247","215","191","220","178","null"
"$50 through $199","402","370","381","395","335","265","281","256","210","173"
"Under $50","576","489","440","415","404","353","329","370","367","289"
"Arson","11","21","3","9","11","6","32","50","14","12"
"Structural Property","5","8","2","5","5","2","6","13","6","2"
"Mobile Property","3","5","1","1","3","1","4","7","1","1"
"Other Property","3","8","0","3","3","3","22","30","7","9"
