" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","243","433","308","289","212","280","250","238","224","238"
"Homicide","1","2","3","0","6","5","2","3","5","4"
"Rape (Forcible Rape prior to 2014)","19","18","12","17","8","17","22","16","16","27"
"Rape","15","16","13","17","8","17","22","15","16","27"
"Attempted Rape","4","2","-1","0","0","0","0","1","0","0"
"Robbery","19","21","19","20","15","23","24","17","30","18"
"Weapon","","","","","","","","","",""
"Firearm","2","5","4","9","5","6","7","6","9","8"
"Knife or Cutting Instrument","2","3","1","1","2","4","2","3","3","1"
"Other Weapon","3","1","1","1","0","2","1","1","2","2"
"Strong-Arm","12","12","13","9","8","11","14","7","16","7"
"Location","","","","","","","","","",""
"Highway","2","0","1","2","0","2","4","1","1","0"
"Commercial","2","1","3","5","2","1","5","1","1","2"
"Gas Station","0","0","1","0","2","1","0","2","2","0"
"Convenience Store","2","0","1","3","1","2","3","1","4","0"
"Residence","6","6","7","5","5","6","5","6","4","6"
"Bank","1","0","1","1","2","1","2","0","0","2"
"Miscellaneous","6","14","5","4","3","10","5","6","18","8"
"Aggravated Assault","204","392","274","252","183","235","202","202","173","189"
"Weapon","","","","","","","","","",""
"Firearm","9","3","11","8","8","4","6","10","8","24"
"Knife or Cutting Instrument","14","22","15","21","15","17","14","21","20","28"
"Other Weapon","43","70","55","51","57","80","54","63","57","73"
"Hands  Fists  Feet","138","297","193","172","103","134","128","108","88","64"
"Property Crimes","1,843","1,788","1,591","1,715","1,806","1,765","1,289","1,191","1,032","891"
"Burglary","617","587","528","569","468","482","357","329","257","247"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","319","323","271","330","272","288","231","181","149","147"
"No Force","298","264","257","239","196","194","126","148","108","100"
"Location / Time","","","","","","","","","",""
"Residence","367","339","289","346","260","227","172","150","107","109"
"Night","71","54","55","51","46","48","46","29","28","22"
"Day","115","118","87","127","80","63","55","43","27","36"
"Unknown","181","167","147","168","134","116","71","78","52","51"
"Non-Residence","250","248","239","223","208","255","185","179","150","138"
"Night","132","121","119","108","101","128","90","83","72","67"
"Day","42","44","50","54","44","53","46","48","27","29"
"Unknown","76","83","70","61","63","74","49","48","51","42"
"Motor Vehicle Theft","155","177","150","157","218","292","171","177","188","130"
"Automotive","109","109","95","101","145","209","108","107","113","80"
"Trucks and Buses","23","30","19","28","29","33","25","34","34","21"
"Other","23","38","36","28","44","50","38","36","41","29"
"Larceny-Theft","1,071","1,024","913","989","1,120","991","761","685","587","514"
"Type","","","","","","","","","",""
"Pocket-Picking","4","5","1","5","10","24","7","6","1","14"
"Purse-Snatching","1","8","4","6","8","8","2","11","6","2"
"Shoplifting","173","206","173","159","158","187","170","120","93","70"
"From Motor Vehicle","388","267","226","275","258","242","196","159","147","124"
"Motor Vehicle Accessories","51","46","33","25","23","25","37","25","18","32"
"Bicycles","20","37","30","28","46","52","23","28","29","12"
"From Building","110","117","116","130","152","134","98","79","51","58"
"Coin Operated Machine","0","4","2","3","1","1","2","3","3","1"
"Other","324","334","328","358","464","318","226","254","239","201"
"Value","","","","","","","","","",""
"Over $400","391","321","282","328","383","327","275","259","253","null"
"$200 through $400","147","160","122","144","138","153","102","108","83","null"
"$50 through $199","215","247","205","201","228","205","154","151","101","86"
"Under $50","318","296","304","316","371","306","230","167","150","160"
"Arson","14","9","9","18","13","10","4","4","7","8"
"Structural Property","9","3","4","6","4","5","1","1","1","3"
"Mobile Property","1","0","1","1","2","1","0","0","2","1"
"Other Property","4","6","4","11","7","4","3","3","4","4"
