" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","6,789","6,042","6,257","7,220","7,275","7,627","7,362","6,797","7,340","8,144"
"Homicide","51","51","61","57","57","62","49","57","59","71"
"Rape (Forcible Rape prior to 2014)","398","424","650","776","810","830","977","894","777","902"
"Rape","363","386","620","721","769","782","923","820","730","846"
"Attempted Rape","35","38","30","55","41","48","54","74","47","56"
"Robbery","2,132","1,993","1,949","2,236","2,136","2,495","2,203","2,209","2,134","1,912"
"Weapon","","","","","","","","","",""
"Firearm","422","428","408","466","465","608","431","442","430","355"
"Knife or Cutting Instrument","307","270","244","312","287","312","269","305","302","255"
"Other Weapon","238","211","218","301","332","347","318","275","287","287"
"Strong-Arm","1,165","1,084","1,079","1,157","1,052","1,228","1,185","1,187","1,115","1,015"
"Location","","","","","","","","","",""
"Highway","1,010","926","746","811","699","706","692","747","702","586"
"Commercial","445","418","446","519","467","601","503","432","381","412"
"Gas Station","51","51","41","64","64","86","87","79","104","85"
"Convenience Store","94","98","128","126","143","176","183","190","215","154"
"Residence","174","157","177","175","140","163","167","164","200","218"
"Bank","79","40","73","53","34","31","25","19","20","22"
"Miscellaneous","279","303","338","488","589","732","546","578","512","435"
"Aggravated Assault","4,208","3,574","3,597","4,151","4,272","4,240","4,133","3,637","4,370","5,259"
"Weapon","","","","","","","","","",""
"Firearm","485","430","431","630","713","642","540","462","697","789"
"Knife or Cutting Instrument","839","718","740","903","828","840","725","683","872","921"
"Other Weapon","1,555","1,310","1,307","1,573","1,716","1,643","1,496","1,459","1,706","1,897"
"Hands  Fists  Feet","1,329","1,116","1,119","1,045","1,015","1,115","1,372","1,033","1,095","1,652"
"Property Crimes","67,821","61,650","54,754","68,237","66,054","65,638","61,590","59,186","61,066","58,821"
"Burglary","11,819","10,416","9,255","10,498","11,025","10,196","9,485","8,529","9,427","9,090"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","7,223","6,457","5,507","6,548","7,356","7,008","6,457","5,909","6,626","6,381"
"No Force","4,596","3,959","3,748","3,950","3,669","3,188","3,028","2,620","2,801","2,709"
"Location / Time","","","","","","","","","",""
"Residence","7,481","6,400","5,648","5,913","5,753","4,953","4,585","3,790","3,303","3,293"
"Night","1,403","1,291","1,223","1,239","1,268","1,133","1,082","973","936","1,040"
"Day","3,496","2,973","2,548","2,590","2,345","1,929","1,711","1,452","930","1,052"
"Unknown","2,582","2,136","1,877","2,084","2,140","1,891","1,792","1,365","1,437","1,201"
"Non-Residence","4,338","4,016","3,607","4,585","5,272","5,243","4,900","4,739","6,124","5,797"
"Night","1,439","1,544","1,246","1,689","2,218","2,189","1,983","1,893","2,396","2,405"
"Day","1,009","870","861","992","984","988","1,139","1,037","1,198","1,497"
"Unknown","1,890","1,602","1,500","1,904","2,070","2,066","1,778","1,809","2,530","1,895"
"Motor Vehicle Theft","7,103","7,233","6,298","8,670","8,522","8,835","7,579","6,701","9,040","8,480"
"Automotive","5,216","5,654","5,083","6,805","6,637","6,699","5,682","4,873","6,058","5,437"
"Trucks and Buses","1,485","1,121","852","1,341","1,386","1,580","1,379","1,268","2,251","2,272"
"Other","402","458","363","524","499","556","518","560","731","771"
"Larceny-Theft","48,899","44,001","39,201","49,069","46,507","46,607","44,526","43,956","42,599","41,251"
"Type","","","","","","","","","",""
"Pocket-Picking","484","444","476","576","565","594","555","599","875","806"
"Purse-Snatching","106","118","127","125","122","117","131","115","80","85"
"Shoplifting","8,323","7,886","7,653","8,525","8,269","7,948","7,787","8,180","5,798","5,357"
"From Motor Vehicle","18,695","15,457","13,241","19,394","18,640","19,624","18,055","17,674","17,413","14,840"
"Motor Vehicle Accessories","3,853","3,452","2,910","3,338","2,550","2,786","2,925","2,957","4,703","7,659"
"Bicycles","3,652","3,038","2,682","3,206","2,664","2,645","2,113","2,035","2,537","2,070"
"From Building","4,568","4,819","4,281","4,482","3,745","3,491","3,798","3,635","2,461","2,359"
"Coin Operated Machine","173","113","100","109","111","170","84","57","56","50"
"Other","9,045","8,674","7,731","9,314","9,841","9,232","9,078","8,704","8,676","8,025"
"Value","","","","","","","","","",""
"Over $400","18,917","17,218","15,347","19,264","18,006","18,389","18,547","18,787","18,508","null"
"$200 through $400","8,459","7,439","6,367","7,772","7,113","7,052","6,640","6,197","6,039","null"
"$50 through $199","9,725","8,481","7,599","9,431","8,683","8,430","7,691","7,480","6,590","5,069"
"Under $50","11,798","10,863","9,888","12,602","12,705","12,736","11,648","11,492","11,462","10,621"
"Arson","298","268","221","237","269","328","300","263","349","360"
"Structural Property","99","85","76","80","87","94","111","92","84","97"
"Mobile Property","51","42","46","47","53","52","58","43","48","38"
"Other Property","148","141","99","110","129","182","131","128","217","225"
