" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","680","660","596","675","622","703","688","597","638","740"
"Homicide","2","2","2","4","3","7","4","7","7","4"
"Rape (Forcible Rape prior to 2014)","50","54","58","70","83","107","84","94","78","103"
"Rape","49","51","56","67","83","106","84","92","78","99"
"Attempted Rape","1","3","2","3","0","1","0","2","0","4"
"Robbery","140","114","105","156","156","160","201","131","140","126"
"Weapon","","","","","","","","","",""
"Firearm","34","27","23","39","33","35","27","16","15","18"
"Knife or Cutting Instrument","6","8","4","9","9","13","16","3","11","10"
"Other Weapon","17","12","14","26","28","19","22","16","16","16"
"Strong-Arm","83","67","64","82","86","93","136","96","98","82"
"Location","","","","","","","","","",""
"Highway","15","21","12","15","19","17","20","13","17","15"
"Commercial","44","39","41","55","38","48","62","34","39","40"
"Gas Station","6","5","0","3","4","12","7","6","6","6"
"Convenience Store","6","7","7","6","10","7","12","19","10","11"
"Residence","30","12","21","19","19","20","28","12","14","8"
"Bank","4","6","4","12","12","4","20","1","2","1"
"Miscellaneous","35","24","20","46","54","52","52","46","52","45"
"Aggravated Assault","488","490","431","445","380","429","399","365","413","507"
"Weapon","","","","","","","","","",""
"Firearm","8","16","10","24","22","53","24","21","25","23"
"Knife or Cutting Instrument","38","28","28","38","35","43","28","35","31","52"
"Other Weapon","181","168","145","179","150","159","169","159","175","181"
"Hands  Fists  Feet","261","278","248","204","173","174","178","150","182","251"
"Property Crimes","6,875","7,209","6,643","7,227","7,080","6,969","6,324","6,138","5,841","5,852"
"Burglary","1,601","1,672","1,427","1,326","1,258","1,146","1,090","992","843","823"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","744","828","650","621","635","573","599","607","495","455"
"No Force","857","844","777","705","623","573","491","385","348","368"
"Location / Time","","","","","","","","","",""
"Residence","914","926","784","808","703","683","551","484","397","349"
"Night","202","196","154","188","180","177","158","140","139","113"
"Day","298","305","272","295","239","209","154","163","117","125"
"Unknown","414","425","358","325","284","297","239","181","141","111"
"Non-Residence","687","746","643","518","555","463","539","508","446","474"
"Night","248","230","231","189","228","186","257","244","232","190"
"Day","177","182","151","131","121","97","103","92","87","113"
"Unknown","262","334","261","198","206","180","179","172","127","171"
"Motor Vehicle Theft","578","555","493","621","642","658","597","541","619","773"
"Automotive","272","304","287","441","501","484","434","377","410","519"
"Trucks and Buses","220","144","102","96","69","83","86","98","84","128"
"Other","86","107","104","84","72","91","77","66","125","126"
"Larceny-Theft","4,696","4,982","4,723","5,280","5,180","5,165","4,637","4,605","4,379","4,256"
"Type","","","","","","","","","",""
"Pocket-Picking","15","22","13","27","19","20","21","43","16","21"
"Purse-Snatching","8","9","5","9","38","33","46","40","32","35"
"Shoplifting","844","1,059","1,080","1,108","1,068","996","908","847","721","549"
"From Motor Vehicle","1,575","1,706","1,545","1,914","2,047","2,002","1,811","1,873","1,867","1,688"
"Motor Vehicle Accessories","397","288","316","314","192","233","184","225","406","643"
"Bicycles","135","205","190","184","162","151","130","139","133","106"
"From Building","682","625","758","818","575","592","595","562","409","393"
"Coin Operated Machine","12","13","6","16","14","9","10","7","8","8"
"Other","1,028","1,055","810","890","1,065","1,129","932","869","787","813"
"Value","","","","","","","","","",""
"Over $400","1,905","1,762","1,748","2,061","2,131","2,184","2,143","2,059","2,255","null"
"$200 through $400","739","807","797","816","825","728","673","668","588","null"
"$50 through $199","933","1,065","927","1,110","1,152","1,058","854","857","635","525"
"Under $50","1,119","1,348","1,251","1,293","1,072","1,195","967","1,021","901","800"
"Arson","37","46","35","24","33","53","38","41","31","58"
"Structural Property","12","19","15","11","13","33","18","28","14","34"
"Mobile Property","4","5","4","0","7","3","3","3","4","5"
"Other Property","21","22","16","13","13","17","17","10","13","19"
