" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","108","92","91","82","120","146","130","128","159","178"
"Homicide","0","1","1","1","2","0","0","1","1","0"
"Rape (Forcible Rape prior to 2014)","15","12","7","12","10","23","14","9","18","15"
"Rape","15","12","7","12","10","23","14","9","18","15"
"Attempted Rape","0","0","0","0","0","0","0","0","0","0"
"Robbery","1","2","0","4","6","7","4","5","0","4"
"Weapon","","","","","","","","","",""
"Firearm","0","0","0","1","3","4","0","1","0","0"
"Knife or Cutting Instrument","0","0","0","0","0","0","0","0","0","0"
"Other Weapon","1","0","0","0","0","1","3","2","0","2"
"Strong-Arm","0","2","0","3","3","2","1","2","0","2"
"Location","","","","","","","","","",""
"Highway","1","2","0","1","0","2","1","1","0","1"
"Commercial","0","0","0","0","1","4","0","1","0","1"
"Gas Station","0","0","0","0","0","0","0","0","0","1"
"Convenience Store","0","0","0","1","1","0","0","0","0","0"
"Residence","0","0","0","1","3","0","3","3","0","1"
"Bank","0","0","0","1","0","0","0","0","0","0"
"Miscellaneous","0","0","0","0","1","1","0","0","0","0"
"Aggravated Assault","92","77","83","65","102","116","112","113","140","159"
"Weapon","","","","","","","","","",""
"Firearm","11","13","7","0","11","2","2","5","17","8"
"Knife or Cutting Instrument","12","13","8","8","3","10","16","14","21","4"
"Other Weapon","39","33","33","27","62","47","58","51","63","47"
"Hands  Fists  Feet","30","18","35","30","26","57","36","43","39","100"
"Property Crimes","437","390","312","298","359","304","341","314","294","269"
"Burglary","143","141","113","111","120","140","139","116","92","81"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","62","67","59","66","64","68","92","64","41","42"
"No Force","81","74","54","45","56","72","47","52","51","39"
"Location / Time","","","","","","","","","",""
"Residence","62","69","51","68","81","67","61","68","49","41"
"Night","12","16","5","11","10","11","14","15","16","8"
"Day","48","53","46","57","71","56","47","53","33","33"
"Unknown","2","0","0","0","0","0","0","0","0","0"
"Non-Residence","81","72","62","43","39","73","78","48","43","40"
"Night","10","8","13","15","6","19","7","3","4","10"
"Day","71","64","49","28","33","54","71","45","39","30"
"Unknown","0","0","0","0","0","0","0","0","0","0"
"Motor Vehicle Theft","23","14","25","20","20","6","25","23","13","22"
"Automotive","20","11","16","16","14","4","24","17","9","10"
"Trucks and Buses","1","0","0","0","0","0","1","4","2","2"
"Other","2","3","9","4","6","2","0","2","2","10"
"Larceny-Theft","271","235","174","167","219","158","177","175","189","166"
"Type","","","","","","","","","",""
"Pocket-Picking","2","3","0","1","1","7","2","0","2","7"
"Purse-Snatching","3","1","0","0","1","0","1","0","0","1"
"Shoplifting","14","11","12","12","4","9","10","14","9","12"
"From Motor Vehicle","49","59","21","15","19","26","22","22","18","23"
"Motor Vehicle Accessories","14","13","6","9","19","9","13","10","7","6"
"Bicycles","18","21","12","15","23","14","12","8","11","4"
"From Building","40","34","21","30","24","22","26","26","20","31"
"Coin Operated Machine","0","1","0","3","0","0","0","0","0","0"
"Other","131","92","102","82","128","71","91","95","122","82"
"Value","","","","","","","","","",""
"Over $400","106","102","63","54","82","66","60","73","80","null"
"$200 through $400","36","0","22","37","49","26","36","24","16","null"
"$50 through $199","57","66","35","38","45","31","35","31","43","30"
"Under $50","72","67","54","38","43","35","46","47","50","30"
"Arson","0","2","1","0","1","6","3","3","2","4"
"Structural Property","0","2","0","0","0","1","0","1","0","2"
"Mobile Property","0","0","1","0","0","1","1","1","1","2"
"Other Property","0","0","0","0","1","4","2","1","1","0"
