" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","6,989","6,203","6,260","7,020","7,447","7,308","7,360","7,511","7,243","7,201"
"Homicide","76","94","93","87","99","81","94","118","154","111"
"Rape (Forcible Rape prior to 2014)","322","341","442","472","500","550","540","496","487","531"
"Rape","284","291","409","431","457","495","492","447","443","483"
"Attempted Rape","38","50","33","41","43","55","48","49","44","48"
"Robbery","2,349","2,103","1,961","2,198","2,276","2,226","2,216","2,149","1,805","1,607"
"Weapon","","","","","","","","","",""
"Firearm","599","540","472","567","533","564","589","568","459","375"
"Knife or Cutting Instrument","205","181","199","223","223","230","204","166","156","131"
"Other Weapon","669","584","541","590","680","648","615","567","554","574"
"Strong-Arm","876","798","749","818","840","784","808","848","636","527"
"Location","","","","","","","","","",""
"Highway","723","684","575","579","608","553","606","543","461","420"
"Commercial","481","435","448","496","545","563","553","387","273","277"
"Gas Station","90","80","76","97","106","94","118","108","114","125"
"Convenience Store","188","145","130","175","182","193","189","191","189","155"
"Residence","325","301","280","283","257","283","218","250","219","194"
"Bank","73","33","35","33","29","39","18","29","26","19"
"Miscellaneous","469","425","417","535","549","501","514","641","523","417"
"Aggravated Assault","4,242","3,665","3,764","4,263","4,572","4,451","4,510","4,748","4,797","4,952"
"Weapon","","","","","","","","","",""
"Firearm","618","498","658","703","708","835","776","808","1,085","900"
"Knife or Cutting Instrument","706","636","634","676","689","676","606","656","743","667"
"Other Weapon","1,840","1,439","1,488","1,601","1,714","1,627","1,591","1,654","1,612","1,947"
"Hands  Fists  Feet","1,078","1,092","984","1,283","1,461","1,313","1,537","1,630","1,357","1,438"
"Property Crimes","68,176","65,134","61,434","65,616","65,333","61,826","60,306","57,986","52,786","50,113"
"Burglary","19,105","16,622","14,411","12,950","12,764","11,647","10,585","10,289","9,046","8,363"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","11,842","10,538","8,922","8,948","8,933","8,089","7,440","7,348","6,616","6,055"
"No Force","7,263","6,084","5,489","4,002","3,831","3,558","3,145","2,941","2,430","2,308"
"Location / Time","","","","","","","","","",""
"Residence","12,544","10,380","8,555","8,119","7,745","6,635","5,712","5,268","3,832","3,295"
"Night","2,599","2,289","1,969","1,851","1,805","1,630","1,444","1,328","1,110","1,010"
"Day","4,722","4,091","3,357","3,013","2,762","2,252","1,881","1,776","1,269","1,203"
"Unknown","5,223","4,000","3,229","3,255","3,178","2,753","2,387","2,164","1,453","1,082"
"Non-Residence","6,561","6,242","5,856","4,831","5,019","5,012","4,873","5,021","5,214","5,068"
"Night","2,396","2,346","2,226","2,065","2,300","2,331","2,325","2,296","2,445","2,196"
"Day","2,059","2,171","2,069","899","882","938","935","992","1,259","1,456"
"Unknown","2,106","1,725","1,561","1,867","1,837","1,743","1,613","1,733","1,510","1,416"
"Motor Vehicle Theft","9,191","9,885","9,267","10,920","11,610","10,291","11,185","10,248","11,317","10,385"
"Automotive","6,377","7,032","6,736","7,622","8,049","6,602","6,825","6,262","6,789","5,984"
"Trucks and Buses","1,886","1,865","1,726","2,187","2,348","2,462","3,010","2,659","3,088","2,965"
"Other","928","988","805","1,111","1,213","1,227","1,350","1,327","1,440","1,436"
"Larceny-Theft","39,880","38,627","37,756","41,746","40,959","39,888","38,536","37,449","32,423","31,365"
"Type","","","","","","","","","",""
"Pocket-Picking","103","115","130","161","399","603","311","348","44","56"
"Purse-Snatching","113","82","100","113","91","121","78","108","63","49"
"Shoplifting","5,925","5,946","6,010","6,865","5,943","5,447","5,559","5,645","4,065","3,913"
"From Motor Vehicle","14,602","13,813","12,393","15,241","14,749","14,638","14,380","13,116","12,147","11,347"
"Motor Vehicle Accessories","1,964","1,684","1,676","1,945","1,668","1,668","1,836","1,777","2,179","2,752"
"Bicycles","1,273","1,247","1,470","1,378","1,293","1,153","1,042","826","732","763"
"From Building","5,837","5,610","5,929","6,535","6,074","5,849","5,340","5,449","3,846","3,320"
"Coin Operated Machine","85","60","47","63","55","60","73","86","53","49"
"Other","9,978","10,070","10,001","9,445","10,687","10,349","9,917","10,094","9,294","9,116"
"Value","","","","","","","","","",""
"Over $400","14,620","13,915","13,413","14,154","14,153","13,992","14,143","14,089","12,064","null"
"$200 through $400","6,222","5,979","5,649","6,175","5,480","5,427","5,221","4,943","4,137","null"
"$50 through $199","8,072","7,679","7,884","8,809","8,291","7,600","7,415","7,182","5,875","4,825"
"Under $50","10,966","11,054","10,810","12,608","13,035","12,869","11,757","11,235","10,347","8,610"
"Arson","241","213","255","234","209","229","244","276","306","234"
"Structural Property","70","54","79","50","52","76","82","86","84","66"
"Mobile Property","80","48","50","61","48","57","41","51","61","43"
"Other Property","91","111","126","123","109","96","121","139","161","125"
