" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","8,017","7,515","7,452","8,264","7,734","7,412","6,917","6,765","7,314","7,914"
"Homicide","79","78","80","92","87","78","71","78","100","107"
"Rape (Forcible Rape prior to 2014)","383","307","365","379","369","387","446","407","432","436"
"Rape","342","254","340","364","355","369","431","394","413","421"
"Attempted Rape","41","53","25","15","14","18","15","13","19","15"
"Robbery","2,562","2,521","2,261","2,560","2,326","2,206","1,981","2,035","1,711","1,798"
"Weapon","","","","","","","","","",""
"Firearm","943","827","725","854","826","709","551","476","397","421"
"Knife or Cutting Instrument","183","176","153","215","160","137","119","140","140","135"
"Other Weapon","329","309","299","354","247","272","293","256","239","273"
"Strong-Arm","1,107","1,209","1,084","1,137","1,093","1,088","1,018","1,163","935","969"
"Location","","","","","","","","","",""
"Highway","902","868","770","862","783","736","684","694","509","607"
"Commercial","547","537","506","615","492","483","463","529","439","517"
"Gas Station","71","80","61","82","70","73","57","57","65","63"
"Convenience Store","102","101","87","128","103","111","101","80","113","85"
"Residence","380","344","330","369","431","395","310","268","278","300"
"Bank","52","45","33","48","45","23","23","30","26","25"
"Miscellaneous","508","546","474","456","402","385","343","377","281","201"
"Aggravated Assault","4,993","4,609","4,746","5,233","4,952","4,741","4,419","4,245","5,071","5,573"
"Weapon","","","","","","","","","",""
"Firearm","1,284","1,189","1,084","1,328","1,348","1,264","1,045","902","1,423","1,549"
"Knife or Cutting Instrument","796","748","759","802","699","651","646","622","655","747"
"Other Weapon","1,774","1,584","1,557","1,669","1,608","1,697","1,534","1,615","1,943","1,989"
"Hands  Fists  Feet","1,139","1,088","1,346","1,434","1,297","1,129","1,194","1,106","1,050","1,288"
"Property Crimes","48,501","44,326","40,246","42,018","39,105","36,588","35,430","36,224","32,822","34,567"
"Burglary","11,400","10,183","9,004","9,153","7,750","6,942","6,300","6,611","6,440","5,465"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","7,949","7,213","6,261","6,304","5,175","4,642","4,183","4,452","4,499","3,694"
"No Force","3,451","2,970","2,743","2,849","2,575","2,300","2,117","2,159","1,941","1,771"
"Location / Time","","","","","","","","","",""
"Residence","7,966","7,020","6,121","6,120","4,937","4,224","3,585","3,517","2,612","2,501"
"Night","2,095","1,982","1,859","1,811","1,615","1,387","1,148","1,133","1,009","842"
"Day","4,787","3,892","3,383","3,351","2,558","2,077","1,710","1,756","1,149","942"
"Unknown","1,084","1,146","879","958","764","760","727","628","454","717"
"Non-Residence","3,434","3,163","2,883","3,033","2,813","2,718","2,715","3,094","3,828","2,964"
"Night","1,726","1,651","1,507","1,594","1,503","1,398","1,444","1,685","2,045","1,320"
"Day","1,295","1,158","1,039","1,070","972","906","881","1,009","1,359","995"
"Unknown","413","354","337","369","338","414","390","400","424","649"
"Motor Vehicle Theft","8,416","6,990","6,335","7,061","6,873","6,203","6,255","5,397","5,037","6,306"
"Automotive","7,166","5,835","5,220","5,895","5,688","4,884","4,824","4,025","3,782","4,630"
"Trucks and Buses","776","753","708","749","815","908","1,057","993","882","1,182"
"Other","474","402","407","417","370","411","374","379","373","494"
"Larceny-Theft","28,685","27,153","24,907","25,804","24,482","23,443","22,875","24,216","21,345","22,796"
"Type","","","","","","","","","",""
"Pocket-Picking","62","51","54","62","53","35","25","31","25","22"
"Purse-Snatching","87","69","75","96","85","73","65","66","45","68"
"Shoplifting","3,935","3,984","4,282","4,204","3,328","2,791","2,517","2,215","1,590","1,728"
"From Motor Vehicle","9,409","8,770","7,523","7,997","7,891","7,695","8,362","9,271","7,466","6,227"
"Motor Vehicle Accessories","3,586","3,129","3,117","3,275","3,230","3,162","3,146","3,530","4,145","5,006"
"Bicycles","1,511","1,615","1,419","1,527","1,268","1,195","1,061","957","785","572"
"From Building","2,371","2,352","1,963","2,188","1,982","1,654","1,177","1,275","1,000","1,018"
"Coin Operated Machine","66","85","65","77","69","40","33","21","32","11"
"Other","7,658","7,098","6,409","6,378","6,576","6,798","6,489","6,850","6,257","8,144"
"Value","","","","","","","","","",""
"Over $400","11,603","10,831","9,736","9,841","9,503","9,579","9,676","10,890","10,032","null"
"$200 through $400","4,480","4,203","3,791","3,673","3,559","3,407","3,213","3,334","2,713","null"
"$50 through $199","5,204","5,224","4,961","4,933","4,531","4,153","3,803","3,678","2,841","2,490"
"Under $50","7,398","6,895","6,419","7,357","6,889","6,304","6,183","6,314","5,759","5,799"
"Arson","244","272","266","200","281","315","261","278","406","317"
"Structural Property","135","128","136","83","126","133","108","101","143","121"
"Mobile Property","48","47","35","31","49","58","51","60","78","54"
"Other Property","61","97","95","86","106","124","102","117","185","142"
