" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","217","245","196","179","155","183","149","147","164","292"
"Homicide","1","4","4","1","1","2","1","1","3","1"
"Rape (Forcible Rape prior to 2014)","15","21","17","20","18","28","17","22","20","39"
"Rape","9","16","16","18","15","25","15","21","19","39"
"Attempted Rape","6","5","1","2","3","3","2","1","1","0"
"Robbery","33","31","24","23","29","39","24","29","19","34"
"Weapon","","","","","","","","","",""
"Firearm","7","8","3","6","7","15","6","4","3","13"
"Knife or Cutting Instrument","6","2","5","2","0","1","2","2","3","2"
"Other Weapon","2","4","3","3","7","4","4","4","3","10"
"Strong-Arm","18","17","13","12","15","19","12","19","10","9"
"Location","","","","","","","","","",""
"Highway","5","4","5","5","7","9","4","7","1","6"
"Commercial","4","2","4","3","2","6","2","1","1","6"
"Gas Station","1","0","1","1","1","0","1","2","2","4"
"Convenience Store","9","9","2","5","6","13","5","5","3","5"
"Residence","5","4","3","1","4","1","2","2","3","5"
"Bank","0","1","0","0","1","0","1","1","0","0"
"Miscellaneous","9","11","9","8","8","10","9","11","9","8"
"Aggravated Assault","168","189","151","135","107","114","107","95","122","218"
"Weapon","","","","","","","","","",""
"Firearm","17","11","13","3","7","5","18","9","20","23"
"Knife or Cutting Instrument","14","16","17","16","14","16","8","12","11","18"
"Other Weapon","46","47","43","45","34","33","33","26","30","88"
"Hands  Fists  Feet","91","115","78","71","52","60","48","48","61","89"
"Property Crimes","1,023","792","736","725","543","556","667","472","573","562"
"Burglary","357","247","272","174","138","121","124","96","105","103"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","202","139","134","119","83","74","84","67","70","73"
"No Force","155","108","138","55","55","47","40","29","35","30"
"Location / Time","","","","","","","","","",""
"Residence","135","116","149","101","79","66","68","52","42","40"
"Night","31","30","29","19","14","17","17","18","11","13"
"Day","61","51","66","49","33","31","30","19","13","26"
"Unknown","43","35","54","33","32","18","21","15","18","1"
"Non-Residence","222","131","123","73","59","55","56","44","63","63"
"Night","137","73","53","29","20","30","26","30","25","26"
"Day","45","35","50","11","12","13","12","10","8","36"
"Unknown","40","23","20","33","27","12","18","4","30","1"
"Motor Vehicle Theft","104","93","92","128","110","101","121","93","132","87"
"Automotive","71","70","70","100","74","64","83","64","59","56"
"Trucks and Buses","15","10","11","11","14","17","19","14","28","21"
"Other","18","13","11","17","22","20","19","15","45","10"
"Larceny-Theft","562","452","372","423","295","334","422","283","336","372"
"Type","","","","","","","","","",""
"Pocket-Picking","0","1","6","1","4","3","3","3","10","0"
"Purse-Snatching","2","0","3","2","5","0","5","3","3","1"
"Shoplifting","85","64","81","99","70","83","106","59","55","46"
"From Motor Vehicle","174","165","103","127","79","95","136","71","105","109"
"Motor Vehicle Accessories","48","34","27","22","32","33","22","26","38","56"
"Bicycles","15","13","15","14","7","8","10","8","13","11"
"From Building","59","33","30","29","32","28","34","17","15","23"
"Coin Operated Machine","1","0","1","1","1","0","0","2","0","0"
"Other","178","142","106","128","65","84","106","94","97","126"
"Value","","","","","","","","","",""
"Over $400","207","168","141","164","110","124","162","118","143","null"
"$200 through $400","93","66","52","61","47","40","60","34","43","null"
"$50 through $199","108","91","74","92","75","76","83","73","64","44"
"Under $50","154","127","105","106","63","94","117","58","86","90"
"Arson","12","7","4","4","6","6","2","5","22","15"
"Structural Property","2","4","3","3","1","4","1","1","14","4"
"Mobile Property","5","3","0","0","1","0","1","0","2","3"
"Other Property","5","0","1","1","4","2","0","4","6","8"
