" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","9,032","8,434","8,281","9,947","10,469","10,217","10,577","12,219","12,811","12,736"
"Homicide","102","125","110","109","129","128","126","147","181","177"
"Rape (Forcible Rape prior to 2014)","422","417","474","625","703","846","939","890","809","854"
"Rape","386","390","426","557","656","803","873","813","744","802"
"Attempted Rape","36","27","48","68","47","43","66","77","65","52"
"Robbery","2,923","2,633","2,435","2,878","2,910","2,982","3,090","3,103","2,476","2,173"
"Weapon","","","","","","","","","",""
"Firearm","943","827","732","848","912","902","948","945","746","703"
"Knife or Cutting Instrument","240","234","222","288","262","275","248","266","235","172"
"Other Weapon","221","212","190","257","290","303","327","289","244","219"
"Strong-Arm","1,519","1,360","1,291","1,485","1,446","1,502","1,567","1,603","1,251","1,079"
"Location","","","","","","","","","",""
"Highway","851","786","768","863","848","805","884","858","741","622"
"Commercial","492","538","457","667","704","780","779","766","507","523"
"Gas Station","85","93","68","96","130","107","174","129","138","136"
"Convenience Store","218","219","187","228","242","288","291","241","192","159"
"Residence","359","318","325","370","333","328","314","361","352","339"
"Bank","30","10","16","26","34","18","15","21","21","28"
"Miscellaneous","888","669","614","628","619","656","633","727","525","366"
"Aggravated Assault","5,585","5,259","5,262","6,335","6,727","6,261","6,422","8,079","9,345","9,532"
"Weapon","","","","","","","","","",""
"Firearm","850","658","778","1,030","1,270","1,085","1,144","1,564","2,210","2,306"
"Knife or Cutting Instrument","983","893","908","1,088","1,093","1,047","1,049","1,160","1,145","1,200"
"Other Weapon","1,959","1,982","2,026","2,321","2,564","2,462","2,538","2,389","2,773","2,869"
"Hands  Fists  Feet","1,793","1,726","1,550","1,896","1,800","1,667","1,691","2,966","3,217","3,157"
"Property Crimes","63,099","57,598","54,778","59,592","54,937","52,007","52,072","47,416","39,521","38,777"
"Burglary","18,788","16,950","15,504","15,073","13,440","11,711","11,096","9,979","8,094","6,935"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","12,840","11,461","9,653","10,558","9,588","8,405","8,187","7,367","5,941","5,027"
"No Force","5,948","5,489","5,851","4,515","3,852","3,306","2,909","2,612","2,153","1,908"
"Location / Time","","","","","","","","","",""
"Residence","12,489","10,440","9,137","9,765","8,374","6,680","6,094","4,691","3,183","2,554"
"Night","2,399","2,203","1,944","2,147","1,797","1,407","1,266","1,072","965","791"
"Day","4,978","4,160","3,429","3,935","3,205","2,543","2,185","1,639","894","765"
"Unknown","5,112","4,077","3,764","3,683","3,372","2,730","2,643","1,980","1,324","998"
"Non-Residence","6,299","6,510","6,367","5,308","5,066","5,031","5,002","5,288","4,911","4,381"
"Night","2,291","2,309","2,134","1,911","1,937","1,969","1,896","2,222","2,299","1,999"
"Day","2,164","2,428","2,412","1,333","1,146","1,105","970","1,078","866","952"
"Unknown","1,844","1,773","1,821","2,064","1,983","1,957","2,136","1,988","1,746","1,430"
"Motor Vehicle Theft","11,509","11,591","10,426","11,997","11,657","10,308","10,434","9,081","8,905","8,690"
"Automotive","8,778","9,075","8,113","9,674","8,983","7,790","7,613","6,910","6,733","6,333"
"Trucks and Buses","1,692","1,561","1,515","1,641","1,980","1,793","2,087","1,597","1,585","1,839"
"Other","1,039","955","798","682","694","725","734","574","587","518"
"Larceny-Theft","32,802","29,057","28,848","32,522","29,840","29,988","30,542","28,356","22,522","23,152"
"Type","","","","","","","","","",""
"Pocket-Picking","122","106","87","101","107","119","226","346","64","314"
"Purse-Snatching","184","161","126","103","98","75","72","117","64","70"
"Shoplifting","5,346","5,267","5,368","7,054","5,829","5,502","6,531","6,344","3,894","3,640"
"From Motor Vehicle","10,822","9,704","9,878","11,077","10,779","10,726","11,184","9,770","7,854","7,042"
"Motor Vehicle Accessories","2,744","2,096","2,195","2,197","1,973","2,829","2,848","2,532","2,861","5,080"
"Bicycles","872","770","710","792","497","456","486","481","365","326"
"From Building","3,071","2,975","3,207","3,405","3,166","2,566","2,384","2,053","1,280","1,098"
"Coin Operated Machine","78","59","24","34","54","40","41","57","37","45"
"Other","9,563","7,919","7,253","7,759","7,337","7,675","6,770","6,656","6,103","5,537"
"Value","","","","","","","","","",""
"Over $400","12,319","10,904","11,026","12,159","11,015","11,019","11,659","11,241","9,671","null"
"$200 through $400","4,522","3,946","4,012","4,671","4,238","4,239","4,384","3,921","2,961","null"
"$50 through $199","5,999","5,296","5,532","6,329","5,580","5,069","5,698","4,894","3,328","2,814"
"Under $50","9,962","8,911","8,278","9,363","9,007","9,661","8,801","8,300","6,562","5,622"
"Arson","367","411","433","405","392","410","461","416","467","515"
"Structural Property","164","165","181","171","153","170","157","159","164","151"
"Mobile Property","99","126","111","114","121","118","128","108","127","140"
"Other Property","104","120","141","120","118","122","176","149","176","224"
