" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","11,839","11,173","10,585","10,943","10,959","11,288","11,379","11,409","11,517","12,286"
"Homicide","107","71","74","84","101","80","85","86","114","113"
"Rape (Forcible Rape prior to 2014)","692","668","763","1,100","1,088","1,098","1,159","1,106","967","896"
"Rape","537","515","596","923","935","974","973","988","895","876"
"Attempted Rape","155","153","167","177","153","124","186","118","72","20"
"Robbery","3,200","3,054","2,705","2,798","2,777","3,013","2,971","2,891","2,527","2,440"
"Weapon","","","","","","","","","",""
"Firearm","625","555","472","388","504","544","444","427","444","417"
"Knife or Cutting Instrument","330","337","283","287","291","322","301","312","306","302"
"Other Weapon","309","319","277","324","297","366","336","449","431","385"
"Strong-Arm","1,936","1,843","1,673","1,799","1,685","1,781","1,890","1,703","1,346","1,336"
"Location","","","","","","","","","",""
"Highway","1,578","1,421","1,227","1,331","1,377","1,495","1,489","1,281","1,137","596"
"Commercial","680","713","663","736","626","684","688","770","644","746"
"Gas Station","79","78","54","45","86","99","103","81","78","74"
"Convenience Store","171","163","150","116","118","153","129","194","252","223"
"Residence","256","235","189","217","200","216","204","220","196","19"
"Bank","79","92","96","48","50","48","44","51","30","36"
"Miscellaneous","357","352","326","305","320","318","314","294","190","746"
"Aggravated Assault","7,840","7,380","7,043","6,961","6,993","7,097","7,164","7,326","7,909","8,837"
"Weapon","","","","","","","","","",""
"Firearm","915","773","711","830","941","829","832","888","1,258","1,493"
"Knife or Cutting Instrument","1,476","1,429","1,501","1,582","1,446","1,461","1,494","1,470","1,525","1,703"
"Other Weapon","3,171","2,954","2,954","2,856","2,807","2,971","2,807","2,699","2,839","2,982"
"Hands  Fists  Feet","2,278","2,224","1,877","1,693","1,799","1,836","2,031","2,269","2,287","2,659"
"Property Crimes","69,624","70,276","59,050","63,444","61,356","56,797","56,495","55,233","49,471","54,262"
"Burglary","14,076","13,970","10,959","10,737","10,382","9,120","8,267","7,694","7,301","7,618"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","6,480","6,424","4,978","4,895","5,126","4,658","4,127","4,369","4,490","4,513"
"No Force","7,596","7,546","5,981","5,842","5,256","4,462","4,140","3,325","2,811","3,105"
"Location / Time","","","","","","","","","",""
"Residence","9,375","8,659","6,846","6,996","6,435","5,267","4,682","3,934","3,260","216"
"Night","1,482","1,358","1,288","1,319","1,059","1,027","1,012","905","852","117"
"Day","3,639","3,253","2,475","2,433","2,442","1,634","1,372","1,185","921","97"
"Unknown","4,254","4,048","3,083","3,244","2,934","2,606","2,298","1,844","1,487","2"
"Non-Residence","4,701","5,311","4,113","3,741","3,947","3,853","3,585","3,760","4,041","7,402"
"Night","1,455","1,737","1,282","1,208","1,458","1,438","1,349","1,559","1,711","3,890"
"Day","1,162","1,189","992","721","714","708","636","645","706","3,501"
"Unknown","2,084","2,385","1,839","1,812","1,775","1,707","1,600","1,556","1,624","11"
"Motor Vehicle Theft","12,136","11,272","9,461","9,906","11,019","9,731","9,586","9,681","9,307","11,712"
"Automotive","10,220","9,447","7,860","7,889","8,768","7,338","7,384","7,601","7,312","9,717"
"Trucks and Buses","1,144","910","751","997","1,041","1,161","1,248","1,060","1,072","113"
"Other","772","915","850","1,020","1,210","1,232","954","1,020","923","1,882"
"Larceny-Theft","43,412","45,034","38,630","42,801","39,955","37,946","38,642","37,858","32,863","34,932"
"Type","","","","","","","","","",""
"Pocket-Picking","76","93","80","70","81","79","60","110","55","118"
"Purse-Snatching","160","160","179","209","170","159","151","180","193","139"
"Shoplifting","7,168","7,434","7,579","7,856","6,607","5,318","4,919","5,243","3,656","3,796"
"From Motor Vehicle","16,554","16,861","12,805","14,630","15,256","15,022","15,799","14,163","13,083","15,266"
"Motor Vehicle Accessories","1,833","1,978","1,581","1,857","1,441","1,387","1,387","1,979","1,800","3,014"
"Bicycles","3,088","3,858","3,275","3,468","2,728","2,648","3,141","2,502","2,584","2,420"
"From Building","9,021","8,995","8,438","9,610","9,183","9,112","8,961","9,394","8,081","1,624"
"Coin Operated Machine","90","69","56","70","94","46","34","31","28","41"
"Other","5,422","5,586","4,637","5,031","4,395","4,175","4,190","4,256","3,383","8,514"
"Value","","","","","","","","","",""
"Over $400","17,984","18,835","15,572","17,326","16,861","16,107","17,362","17,292","15,518","null"
"$200 through $400","7,607","7,942","6,465","6,859","6,245","5,981","6,084","5,820","5,088","null"
"$50 through $199","8,331","8,654","7,747","8,632","7,520","6,951","6,667","6,587","5,584","5,089"
"Under $50","9,490","9,603","8,846","9,984","9,329","8,907","8,529","8,159","6,673","5,610"
"Arson","346","366","392","341","420","347","362","280","521","426"
"Structural Property","182","165","176","140","194","151","121","90","118","128"
"Mobile Property","86","84","92","79","84","69","98","52","82","75"
"Other Property","78","117","124","122","142","127","143","138","321","223"
