" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","5,874","7,164","6,822","6,789","6,269","6,410","6,290","6,092","4,922","4,966"
"Homicide","69","48","45","53","58","56","47","40","49","56"
"Rape (Forcible Rape prior to 2014)","110","163","356","348","346","373","358","330","202","208"
"Rape","95","154","339","328","332","319","298","275","156","141"
"Attempted Rape","15","9","17","20","14","54","60","55","46","67"
"Robbery","3,554","4,278","3,259","3,645","3,221","3,281","3,267","3,173","2,490","2,297"
"Weapon","","","","","","","","","",""
"Firearm","708","855","679","620","571","582","452","368","376","464"
"Knife or Cutting Instrument","234","286","273","342","298","317","281","213","188","188"
"Other Weapon","262","253","240","340","269","317","319","314","256","250"
"Strong-Arm","2,350","2,884","2,067","2,343","2,083","2,065","2,215","2,278","1,670","1,395"
"Location","","","","","","","","","",""
"Highway","1,938","1,879","1,318","1,290","980","862","793","691","455","442"
"Commercial","105","146","118","139","153","187","149","124","124","88"
"Gas Station","7","22","12","19","19","8","7","4","8","7"
"Convenience Store","80","103","121","170","222","251","263","182","164","149"
"Residence","57","67","66","46","49","51","63","41","44","58"
"Bank","34","46","62","46","22","26","22","18","19","20"
"Miscellaneous","1,333","2,015","1,562","1,935","1,776","1,896","1,970","2,113","1,676","1,533"
"Aggravated Assault","2,141","2,675","3,162","2,743","2,644","2,700","2,618","2,549","2,181","2,405"
"Weapon","","","","","","","","","",""
"Firearm","179","163","379","264","310","296","205","204","287","334"
"Knife or Cutting Instrument","410","490","519","395","340","331","330","291","318","291"
"Other Weapon","891","1,128","1,236","1,164","1,096","1,203","1,186","1,156","1,007","1,074"
"Hands  Fists  Feet","661","894","1,028","920","898","870","897","898","569","706"
"Property Crimes","40,038","49,438","45,936","53,955","48,437","55,253","50,356","50,012","39,403","45,265"
"Burglary","5,401","6,030","5,309","5,251","5,084","4,993","5,389","4,685","7,513","7,313"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","2,518","2,777","2,323","2,478","2,383","2,499","2,734","2,329","4,393","4,414"
"No Force","2,883","3,253","2,986","2,773","2,701","2,494","2,655","2,356","3,120","2,899"
"Location / Time","","","","","","","","","",""
"Residence","2,867","2,857","2,584","2,255","2,066","2,019","1,930","1,720","2,670","2,858"
"Night","1,072","1,009","1,000","831","856","811","812","773","1,601","1,609"
"Day","1,691","1,467","1,582","1,275","1,139","1,206","1,114","945","1,068","1,249"
"Unknown","104","381","2","149","71","2","4","2","1","0"
"Non-Residence","2,534","3,173","2,725","2,996","3,018","2,974","3,459","2,965","4,843","4,455"
"Night","1,392","1,686","1,591","1,757","1,904","1,870","2,164","1,910","3,240","3,022"
"Day","1,028","1,097","1,111","1,041","1,000","1,088","1,285","1,051","1,600","1,426"
"Unknown","114","390","23","198","114","16","10","4","3","7"
"Motor Vehicle Theft","5,381","5,905","6,165","6,978","5,487","4,875","4,252","4,284","5,989","6,091"
"Automotive","3,968","3,977","4,349","5,744","4,364","3,803","3,267","3,075","4,158","4,306"
"Trucks and Buses","1,002","1,399","1,250","441","450","422","423","398","773","973"
"Other","411","529","566","793","673","650","562","811","1,058","812"
"Larceny-Theft","29,256","37,503","34,462","41,726","37,866","45,385","40,715","41,043","25,901","31,861"
"Type","","","","","","","","","",""
"Pocket-Picking","776","838","868","1,097","866","841","1,090","1,161","330","252"
"Purse-Snatching","65","56","62","119","39","46","30","34","14","15"
"Shoplifting","1,867","2,214","2,023","2,469","1,922","2,208","2,322","2,341","1,525","2,695"
"From Motor Vehicle","12,221","17,408","19,862","23,039","20,816","29,851","24,606","24,693","14,284","20,153"
"Motor Vehicle Accessories","273","79","93","148","6","93","79","177","374","678"
"Bicycles","782","958","849","1,240","936","790","619","547","486","447"
"From Building","3,352","3,333","3,028","3,215","2,849","2,876","2,631","2,537","1,814","1,543"
"Coin Operated Machine","24","25","16","20","7","8","11","12","3","7"
"Other","9,896","12,592","7,661","10,379","10,425","8,672","9,327","9,541","7,071","6,071"
"Value","","","","","","","","","",""
"Over $400","2,205","2,532","2,782","2,551","2,772","21,382","28,004","28,648","16,665","null"
"$200 through $400","574","573","538","1,210","453","3,387","4,527","4,314","2,972","null"
"$50 through $199","273","269","230","1,135","373","3,213","4,279","4,135","3,083","3,486"
"Under $50","26,204","34,129","30,912","36,830","34,268","17,403","3,905","3,946","3,181","3,923"
"Arson","211","227","242","272","256","303","288","277","381","380"
"Structural Property","87","97","69","57","71","74","101","86","119","188"
"Mobile Property","77","65","83","78","74","95","70","78","114","155"
"Other Property","47","65","90","137","111","134","117","113","148","37"
