" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","6,249","4,980","5,346","5,756","6,005","5,991","5,950","5,952","5,517","5,371"
"Homicide","89","47","67","64","62","68","52","50","84","63"
"Rape (Forcible Rape prior to 2014)","152","135","175","198","220","247","288","301","264","278"
"Rape","133","113","150","171","198","230","272","281","237","262"
"Attempted Rape","19","22","25","27","22","17","16","20","27","16"
"Robbery","1,992","1,477","1,487","1,540","1,624","1,671","1,656","1,560","1,281","1,046"
"Weapon","","","","","","","","","",""
"Firearm","737","531","553","544","559","548","479","396","360","294"
"Knife or Cutting Instrument","121","88","113","105","109","114","117","129","73","85"
"Other Weapon","204","177","185","197","210","249","287","257","229","163"
"Strong-Arm","930","681","636","694","746","760","773","778","619","504"
"Location","","","","","","","","","",""
"Highway","805","509","559","519","528","181","127","89","87","226"
"Commercial","212","234","182","183","219","293","327","377","243","160"
"Gas Station","38","25","25","43","25","41","44","38","35","32"
"Convenience Store","161","160","142","199","225","173","144","142","160","108"
"Residence","285","234","224","227","266","235","209","186","157","167"
"Bank","55","29","15","29","30","25","15","13","9","11"
"Miscellaneous","436","286","340","340","331","723","790","715","590","342"
"Aggravated Assault","4,016","3,321","3,617","3,954","4,099","4,005","3,954","4,041","3,888","3,984"
"Weapon","","","","","","","","","",""
"Firearm","1,460","916","961","924","1,115","1,039","919","942","891","1,465"
"Knife or Cutting Instrument","352","306","317","389","330","333","302","334","324","336"
"Other Weapon","1,346","1,184","1,341","1,543","1,535","1,536","1,608","1,643","1,630","1,631"
"Hands  Fists  Feet","858","915","998","1,098","1,119","1,097","1,125","1,122","1,043","552"
"Property Crimes","29,264","28,603","25,092","25,031","22,629","21,751","22,123","21,409","17,805","17,515"
"Burglary","8,019","7,538","5,685","5,251","4,239","3,925","4,231","3,771","2,817","2,745"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","5,385","5,116","3,687","3,547","2,894","2,620","2,917","2,672","2,015","1,915"
"No Force","2,634","2,422","1,998","1,704","1,345","1,305","1,314","1,099","802","830"
"Location / Time","","","","","","","","","",""
"Residence","5,832","5,320","3,865","3,378","2,613","2,286","2,111","1,631","1,137","979"
"Night","977","854","734","753","601","518","525","419","285","309"
"Day","2,820","2,626","1,648","1,368","1,060","971","816","640","424","432"
"Unknown","2,035","1,840","1,483","1,257","952","797","770","572","428","238"
"Non-Residence","2,187","2,218","1,820","1,873","1,626","1,639","2,120","2,140","1,680","1,766"
"Night","801","826","653","730","691","720","915","887","741","810"
"Day","560","607","551","477","379","435","487","485","457","586"
"Unknown","826","785","616","666","556","484","718","768","482","370"
"Motor Vehicle Theft","4,398","3,996","3,829","4,037","3,542","3,861","3,729","3,078","2,897","2,700"
"Automotive","3,247","2,811","2,745","2,975","2,447","2,589","2,385","1,879","1,707","1,993"
"Trucks and Buses","954","963","860","828","846","1,027","1,087","946","892","490"
"Other","197","222","224","234","249","245","257","253","298","217"
"Larceny-Theft","16,847","17,069","15,578","15,743","14,848","13,965","14,163","14,560","12,091","12,070"
"Type","","","","","","","","","",""
"Pocket-Picking","35","25","30","21","23","17","17","33","23","33"
"Purse-Snatching","40","57","54","30","19","21","35","39","41","44"
"Shoplifting","2,991","3,056","2,859","3,547","2,872","2,434","2,530","3,065","2,653","2,700"
"From Motor Vehicle","5,743","5,749","5,480","5,335","5,695","5,966","5,601","5,437","3,559","2,882"
"Motor Vehicle Accessories","1,897","1,834","1,378","1,283","1,360","1,269","1,684","1,843","1,991","2,986"
"Bicycles","499","470","546","609","443","358","313","234","174","137"
"From Building","1,082","1,265","1,156","1,187","1,066","950","996","844","573","822"
"Coin Operated Machine","11","143","60","28","31","41","9","21","30","2"
"Other","4,549","4,470","4,015","3,703","3,339","2,909","2,978","3,044","3,047","2,464"
"Value","","","","","","","","","",""
"Over $400","5,871","6,036","5,475","5,450","5,297","5,038","5,434","5,524","4,734","null"
"$200 through $400","2,368","2,256","2,002","2,130","2,022","1,902","2,030","2,067","1,551","null"
"$50 through $199","3,578","3,349","3,222","3,345","2,881","2,591","2,501","2,777","1,977","1,562"
"Under $50","5,030","5,428","4,879","4,818","4,648","4,434","4,198","4,192","3,829","3,246"
"Arson","158","157","146","194","132","270","259","203","275","285"
"Structural Property","76","71","64","87","68","133","92","92","128","98"
"Mobile Property","31","43","23","40","19","44","73","29","41","76"
"Other Property","51","43","59","67","45","93","94","82","106","111"
