" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","1,764","1,776","1,561","1,707","1,634","1,928","1,797","1,837","1,754","1,687"
"Homicide","10","11","11","14","9","7","12","10","16","18"
"Rape (Forcible Rape prior to 2014)","106","132","222","219","254","325","301","322","283","292"
"Rape","97","123","210","214","244","318","292","308","275","284"
"Attempted Rape","9","9","12","5","10","7","9","14","8","8"
"Robbery","508","502","487","538","465","567","564","552","520","522"
"Weapon","","","","","","","","","",""
"Firearm","153","123","122","121","97","104","107","79","95","127"
"Knife or Cutting Instrument","35","39","38","38","42","64","32","48","46","41"
"Other Weapon","38","33","40","41","37","43","47","29","29","47"
"Strong-Arm","282","307","287","338","289","356","378","396","350","307"
"Location","","","","","","","","","",""
"Highway","224","205","183","194","164","167","174","162","172","145"
"Commercial","73","94","97","122","112","156","142","156","118","147"
"Gas Station","12","13","10","16","16","15","17","10","18","20"
"Convenience Store","18","16","27","27","22","21","24","29","33","39"
"Residence","74","56","47","64","29","45","42","44","56","66"
"Bank","11","19","20","6","14","10","11","5","7","5"
"Miscellaneous","96","99","103","109","108","153","154","146","116","100"
"Aggravated Assault","1,140","1,131","841","936","906","1,029","920","953","935","855"
"Weapon","","","","","","","","","",""
"Firearm","268","263","72","80","59","66","84","62","104","100"
"Knife or Cutting Instrument","127","101","104","144","117","136","115","147","127","110"
"Other Weapon","357","343","320","297","288","353","301","316","291","272"
"Hands  Fists  Feet","388","424","345","415","442","474","420","428","413","373"
"Property Crimes","14,433","14,751","14,186","15,548","14,893","15,142","14,439","16,272","15,604","15,291"
"Burglary","3,273","3,107","3,113","3,305","3,017","2,481","2,419","2,222","2,155","2,219"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","1,658","1,524","1,485","1,816","1,700","1,302","1,358","1,294","1,104","1,083"
"No Force","1,615","1,583","1,628","1,489","1,317","1,179","1,061","928","1,051","1,136"
"Location / Time","","","","","","","","","",""
"Residence","1,941","1,724","1,618","1,608","1,358","984","919","814","899","975"
"Night","352","335","379","458","401","306","327","288","381","408"
"Day","1,276","1,107","1,009","972","839","578","518","439","418","431"
"Unknown","313","282","230","178","118","100","74","87","100","136"
"Non-Residence","1,332","1,383","1,495","1,697","1,659","1,497","1,500","1,408","1,256","1,244"
"Night","436","488","566","737","671","686","700","710","547","525"
"Day","639","587","726","772","785","681","676","589","560","534"
"Unknown","257","308","203","188","203","130","124","109","149","185"
"Motor Vehicle Theft","1,566","1,627","1,683","1,913","1,627","1,606","1,639","1,522","2,199","2,320"
"Automotive","1,236","1,292","1,317","1,430","1,245","1,230","1,179","1,138","1,443","1,423"
"Trucks and Buses","219","234","229","285","231","230","284","246","493","631"
"Other","111","101","137","198","151","146","176","138","263","266"
"Larceny-Theft","9,594","10,017","9,390","10,330","10,249","11,055","10,381","12,528","11,250","10,752"
"Type","","","","","","","","","",""
"Pocket-Picking","54","57","35","60","89","94","110","132","59","52"
"Purse-Snatching","63","44","46","31","53","55","65","60","26","44"
"Shoplifting","1,477","1,348","1,344","1,698","1,681","1,546","1,799","1,736","1,221","1,417"
"From Motor Vehicle","3,409","3,949","3,687","4,279","4,162","4,968","3,948","5,614","4,635","4,137"
"Motor Vehicle Accessories","454","413","350","400","384","441","462","721","1,343","1,590"
"Bicycles","618","657","633","747","692","618","626","714","837","569"
"From Building","1,245","1,241","1,256","1,114","1,034","1,093","1,178","1,192","1,043","945"
"Coin Operated Machine","20","24","24","23","17","23","16","29","25","13"
"Other","2,254","2,284","2,015","1,978","2,137","2,217","2,177","2,330","2,061","1,985"
"Value","","","","","","","","","",""
"Over $400","3,823","4,296","3,762","4,318","4,501","4,916","4,545","5,965","5,015","null"
"$200 through $400","1,519","1,567","1,506","1,659","1,592","1,691","1,604","1,707","1,469","null"
"$50 through $199","1,801","1,769","1,777","2,015","1,868","2,027","1,865","1,947","1,704","1,433"
"Under $50","2,451","2,385","2,345","2,338","2,288","2,421","2,367","2,909","3,062","2,616"
"Arson","84","109","79","78","78","92","72","70","103","99"
"Structural Property","44","58","46","46","47","58","48","40","57","45"
"Mobile Property","19","13","7","5","4","3","6","3","2","7"
"Other Property","21","38","26","27","27","31","18","27","44","47"
