" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","1,643","1,416","1,294","1,356","1,527","1,532","1,493","1,529","1,824","1,726"
"Homicide","6","6","16","18","13","8","11","17","8","18"
"Rape (Forcible Rape prior to 2014)","146","153","167","185","244","257","229","211","227","221"
"Rape","130","139","152","176","233","237","209","200","202","214"
"Attempted Rape","16","14","15","9","11","20","20","11","25","7"
"Robbery","311","285","263","277","325","327","322","295","341","271"
"Weapon","","","","","","","","","",""
"Firearm","54","43","60","41","31","51","61","63","83","51"
"Knife or Cutting Instrument","49","40","36","42","45","45","53","32","47","39"
"Other Weapon","37","31","21","41","34","32","47","51","45","41"
"Strong-Arm","171","171","146","153","215","199","161","149","166","140"
"Location","","","","","","","","","",""
"Highway","178","141","113","107","134","128","162","98","116","81"
"Commercial","31","29","23","45","62","45","49","36","34","46"
"Gas Station","4","6","4","7","4","7","6","11","8","10"
"Convenience Store","10","23","26","25","17","26","18","19","30","39"
"Residence","31","19","38","27","51","43","31","46","31","32"
"Bank","6","6","3","5","4","5","3","2","6","1"
"Miscellaneous","51","61","56","61","53","73","53","83","116","62"
"Aggravated Assault","1,180","972","848","876","945","940","931","1,006","1,248","1,216"
"Weapon","","","","","","","","","",""
"Firearm","53","30","52","58","68","70","69","110","147","279"
"Knife or Cutting Instrument","177","236","174","184","189","205","197","161","246","194"
"Other Weapon","256","227","269","300","291","271","274","285","349","402"
"Hands  Fists  Feet","694","479","353","334","397","394","391","450","506","341"
"Property Crimes","10,164","9,824","9,088","9,122","9,779","8,742","7,633","7,307","8,827","9,642"
"Burglary","2,430","2,249","2,020","1,794","1,868","1,663","1,322","1,269","1,178","1,787"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","910","842","816","929","978","864","646","727","725","1,176"
"No Force","1,520","1,407","1,204","865","890","799","676","542","453","611"
"Location / Time","","","","","","","","","",""
"Residence","1,297","1,194","1,060","910","996","939","785","622","464","532"
"Night","350","325","295","242","251","268","206","156","143","171"
"Day","512","426","336","351","393","385","316","277","188","240"
"Unknown","435","443","429","317","352","286","263","189","133","121"
"Non-Residence","1,133","1,055","960","884","872","724","537","647","714","1,255"
"Night","324","312","298","287","279","235","176","197","292","549"
"Day","487","417","388","277","246","236","184","216","210","443"
"Unknown","322","326","274","320","347","253","177","234","212","263"
"Motor Vehicle Theft","801","1,146","1,204","1,028","1,220","1,254","1,108","1,046","1,837","1,800"
"Automotive","634","1,010","1,093","887","980","1,038","887","743","1,187","1,314"
"Trucks and Buses","62","47","38","56","120","94","113","114","228","240"
"Other","105","89","73","85","120","122","108","189","422","246"
"Larceny-Theft","6,933","6,429","5,864","6,300","6,691","5,825","5,203","4,992","5,812","6,055"
"Type","","","","","","","","","",""
"Pocket-Picking","25","32","34","17","16","30","30","16","29","27"
"Purse-Snatching","34","21","15","22","10","22","24","20","33","24"
"Shoplifting","727","681","652","870","974","780","768","701","599","616"
"From Motor Vehicle","1,431","1,151","1,098","1,251","1,621","1,248","1,073","1,243","1,903","1,776"
"Motor Vehicle Accessories","543","514","436","405","347","337","302","276","415","813"
"Bicycles","929","800","685","683","724","651","671","649","789","974"
"From Building","732","603","536","428","488","499","447","322","367","322"
"Coin Operated Machine","29","14","8","9","19","13","11","18","14","8"
"Other","2,483","2,613","2,400","2,615","2,492","2,245","1,877","1,747","1,663","1,495"
"Value","","","","","","","","","",""
"Over $400","2,170","2,096","1,888","2,040","2,215","1,984","1,778","1,771","2,414","null"
"$200 through $400","1,271","1,126","946","926","986","847","724","676","812","null"
"$50 through $199","1,376","1,230","1,115","1,173","1,250","935","850","843","989","814"
"Under $50","2,116","1,977","1,915","2,161","2,240","2,059","1,851","1,702","1,597","1,400"
"Arson","54","60","49","52","49","54","59","54","85","79"
"Structural Property","11","27","21","22","13","30","37","26","27","18"
"Mobile Property","20","12","11","6","9","7","7","10","18","14"
"Other Property","23","21","17","24","27","17","15","18","40","47"
