" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","4,942","4,538","4,676","4,801","5,423","5,995","6,155","6,361","6,141","6,800"
"Homicide","55","53","40","44","57","46","32","45","53","57"
"Rape (Forcible Rape prior to 2014)","402","393","474","566","640","799","852","918","806","980"
"Rape","372","381","455","546","610","780","837","901","796","967"
"Attempted Rape","30","12","19","20","30","19","15","17","10","13"
"Robbery","1,639","1,502","1,544","1,562","1,616","1,892","2,111","1,836","1,704","1,759"
"Weapon","","","","","","","","","",""
"Firearm","453","407","413","398","374","504","515","364","369","422"
"Knife or Cutting Instrument","185","181","176","191","200","229","209","208","199","159"
"Other Weapon","146","133","125","143","172","173","196","164","181","182"
"Strong-Arm","855","781","830","830","870","986","1,191","1,100","955","996"
"Location","","","","","","","","","",""
"Highway","529","595","617","655","713","752","942","709","659","648"
"Commercial","465","317","337","405","376","482","498","485","374","408"
"Gas Station","68","43","25","35","23","53","44","35","47","46"
"Convenience Store","115","80","112","111","121","171","136","132","185","208"
"Residence","199","149","153","119","146","131","163","173","165","198"
"Bank","39","65","35","19","29","22","30","19","22","40"
"Miscellaneous","224","253","265","218","208","281","298","283","252","211"
"Aggravated Assault","2,846","2,590","2,618","2,629","3,110","3,258","3,160","3,562","3,578","4,004"
"Weapon","","","","","","","","","",""
"Firearm","485","436","429","412","498","596","632","573","682","796"
"Knife or Cutting Instrument","708","631","626","668","736","656","629","728","757","728"
"Other Weapon","1,102","957","1,050","1,056","1,207","1,305","1,208","1,554","1,568","1,821"
"Hands  Fists  Feet","551","566","513","493","669","701","691","707","571","659"
"Property Crimes","47,992","44,475","43,084","45,140","42,797","44,954","45,406","47,606","43,690","41,997"
"Burglary","8,940","8,713","8,891","8,516","7,523","6,851","7,416","6,827","7,233","7,190"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","6,142","5,708","6,105","5,958","5,349","4,853","5,453","4,955","5,312","5,305"
"No Force","2,798","3,005","2,786","2,558","2,174","1,998","1,963","1,872","1,921","1,885"
"Location / Time","","","","","","","","","",""
"Residence","6,173","5,987","5,857","5,407","4,504","3,859","3,918","3,337","2,702","2,579"
"Night","893","859","892","1,029","940","669","722","840","855","862"
"Day","3,320","3,329","3,230","2,460","1,894","1,817","1,868","1,291","721","793"
"Unknown","1,960","1,799","1,735","1,918","1,670","1,373","1,328","1,206","1,126","924"
"Non-Residence","2,767","2,726","3,034","3,109","3,019","2,992","3,498","3,490","4,531","4,611"
"Night","960","946","1,104","1,183","1,225","1,234","1,490","1,567","2,221","2,099"
"Day","550","589","615","494","469","488","544","579","735","903"
"Unknown","1,257","1,191","1,315","1,432","1,325","1,270","1,464","1,344","1,575","1,609"
"Motor Vehicle Theft","10,997","10,176","9,756","9,205","9,956","10,330","10,199","8,084","9,926","9,136"
"Automotive","9,471","8,324","8,220","6,923","7,641","7,422","6,763","5,311","6,491","5,745"
"Trucks and Buses","949","1,084","1,188","1,884","1,919","2,391","2,851","2,310","2,819","2,866"
"Other","577","768","348","398","396","517","585","463","616","525"
"Larceny-Theft","28,055","25,586","24,437","27,419","25,318","27,773","27,791","32,695","26,531","25,671"
"Type","","","","","","","","","",""
"Pocket-Picking","73","125","140","202","163","157","133","206","82","115"
"Purse-Snatching","121","188","188","258","179","175","140","150","77","84"
"Shoplifting","4,120","3,899","3,859","4,192","3,953","3,807","2,913","3,039","2,247","2,271"
"From Motor Vehicle","10,413","9,806","9,994","11,376","9,817","12,664","13,103","17,166","10,837","9,533"
"Motor Vehicle Accessories","2,719","2,039","1,985","2,012","1,913","2,097","2,039","2,557","3,894","4,636"
"Bicycles","3,116","2,557","2,218","2,828","2,757","2,493","2,269","2,212","2,356","1,954"
"From Building","2,928","1,966","1,938","1,976","1,956","1,734","1,954","1,884","1,606","1,535"
"Coin Operated Machine","59","77","51","80","28","33","18","32","34","28"
"Other","4,506","4,929","4,064","4,495","4,552","4,613","5,222","5,449","5,398","5,515"
"Value","","","","","","","","","",""
"Over $400","10,711","11,227","10,920","12,621","11,653","13,857","13,994","17,543","12,824","null"
"$200 through $400","4,286","3,960","3,708","4,030","3,660","3,718","3,570","3,922","3,261","null"
"$50 through $199","5,023","4,508","4,341","4,750","4,148","4,154","3,872","4,079","3,510","2,967"
"Under $50","8,035","5,891","5,468","6,018","5,857","6,044","6,355","7,151","6,936","6,590"
"Arson","312","241","230","193","248","266","208","253","389","459"
"Structural Property","126","115","100","72","108","117","80","110","171","184"
"Mobile Property","57","53","49","36","51","43","40","35","48","63"
"Other Property","129","73","81","85","89","106","88","108","170","212"
