" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","1,041","1,002","1,139","1,171","1,101","1,056","989","1,106","970","1,052"
"Homicide","10","11","9","6","5","3","5","6","12","12"
"Rape (Forcible Rape prior to 2014)","76","78","110","118","120","156","103","137","104","113"
"Rape","63","65","83","102","103","134","92","119","91","99"
"Attempted Rape","13","13","27","16","17","22","11","18","13","14"
"Robbery","220","199","236","279","209","232","173","182","172","192"
"Weapon","","","","","","","","","",""
"Firearm","59","60","45","66","51","53","45","25","29","42"
"Knife or Cutting Instrument","40","29","31","51","35","39","24","34","27","30"
"Other Weapon","15","20","22","25","21","28","10","22","18","19"
"Strong-Arm","106","90","138","137","102","112","94","101","98","101"
"Location","","","","","","","","","",""
"Highway","46","22","25","35","33","28","30","22","28","23"
"Commercial","9","4","4","14","11","6","10","7","9","11"
"Gas Station","5","8","13","8","9","11","4","4","9","17"
"Convenience Store","26","25","21","29","9","23","18","19","13","33"
"Residence","22","14","17","24","19","21","14","21","20","25"
"Bank","11","7","8","11","5","4","1","2","2","2"
"Miscellaneous","101","119","148","158","123","139","96","107","91","81"
"Aggravated Assault","735","714","784","768","767","665","708","781","682","735"
"Weapon","","","","","","","","","",""
"Firearm","35","46","57","68","90","80","55","57","79","56"
"Knife or Cutting Instrument","128","88","99","91","125","128","140","106","118","122"
"Other Weapon","212","222","232","260","269","231","234","273","275","297"
"Hands  Fists  Feet","360","358","396","349","283","226","279","345","210","260"
"Property Crimes","8,709","8,140","8,121","9,282","9,485","8,947","7,530","7,005","6,155","5,478"
"Burglary","1,633","1,640","1,369","1,463","1,221","1,235","1,064","1,039","905","780"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","723","774","637","795","720","734","658","657","551","498"
"No Force","910","866","732","668","501","501","406","382","354","282"
"Location / Time","","","","","","","","","",""
"Residence","1,032","962","791","894","680","584","526","411","379","256"
"Night","244","239","172","270","230","251","155","143","122","86"
"Day","456","421","367","323","224","187","188","130","104","90"
"Unknown","332","302","252","301","226","146","183","138","153","80"
"Non-Residence","601","678","578","569","541","651","538","628","526","524"
"Night","263","313","273","284","347","375","296","344","282","249"
"Day","164","190","164","89","90","117","117","99","103","135"
"Unknown","174","175","141","196","104","159","125","185","141","140"
"Motor Vehicle Theft","972","1,023","1,083","1,164","1,454","1,267","957","828","998","723"
"Automotive","734","792","855","901","1,115","964","716","623","700","460"
"Trucks and Buses","143","114","118","152","201","187","151","140","173","174"
"Other","95","117","110","111","138","116","90","65","125","89"
"Larceny-Theft","6,104","5,477","5,669","6,655","6,810","6,445","5,509","5,138","4,252","3,975"
"Type","","","","","","","","","",""
"Pocket-Picking","27","25","24","22","17","20","10","14","10","23"
"Purse-Snatching","46","33","19","21","20","34","17","9","20","19"
"Shoplifting","1,166","1,034","1,094","1,132","1,145","902","716","727","477","486"
"From Motor Vehicle","2,135","1,649","1,975","2,681","2,881","2,858","2,321","2,237","1,807","1,452"
"Motor Vehicle Accessories","333","302","279","363","406","445","500","390","488","583"
"Bicycles","754","745","626","845","698","607","532","397","339","303"
"From Building","400","429","352","433","478","427","337","360","314","273"
"Coin Operated Machine","5","16","14","26","17","28","18","17","12","8"
"Other","1,238","1,244","1,286","1,132","1,148","1,124","1,058","987","785","828"
"Value","","","","","","","","","",""
"Over $400","2,158","1,877","2,098","2,620","2,659","2,666","2,191","2,197","1,920","null"
"$200 through $400","1,023","932","930","1,082","1,083","1,021","816","764","605","null"
"$50 through $199","1,181","1,118","1,091","1,306","1,315","1,125","1,031","938","677","592"
"Under $50","1,742","1,550","1,550","1,647","1,753","1,633","1,471","1,239","1,050","968"
"Arson","43","60","52","49","38","69","84","54","75","74"
"Structural Property","28","30","21","25","19","37","27","16","26","24"
"Mobile Property","9","16","16","6","12","7","7","5","8","7"
"Other Property","6","14","15","18","7","25","50","33","41","43"
