" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","1,298","1,150","1,275","1,400","1,333","1,225","1,163","623","977","27"
"Homicide","7","10","8","5","12","6","13","6","12","0"
"Rape (Forcible Rape prior to 2014)","97","84","111","123","150","118","137","63","99","1"
"Rape","91","73","103","116","141","115","134","61","96","1"
"Attempted Rape","6","11","8","7","9","3","3","2","3","0"
"Robbery","165","184","171","181","172","177","127","77","126","0"
"Weapon","","","","","","","","","",""
"Firearm","35","37","40","41","31","33","15","5","2","0"
"Knife or Cutting Instrument","27","28","28","20","29","22","9","2","0","0"
"Other Weapon","24","20","13","30","22","20","42","52","123","0"
"Strong-Arm","79","99","90","90","90","102","61","18","1","0"
"Location","","","","","","","","","",""
"Highway","31","34","39","66","58","68","35","15","10","0"
"Commercial","33","40","37","16","15","8","3","10","0","0"
"Gas Station","3","5","9","11","9","6","4","1","1","0"
"Convenience Store","12","28","28","46","47","46","37","2","0","0"
"Residence","23","37","24","16","22","29","11","2","0","0"
"Bank","2","1","0","2","4","3","0","1","1","0"
"Miscellaneous","61","39","34","24","17","17","37","46","114","0"
"Aggravated Assault","1,029","872","985","1,091","999","924","886","477","740","26"
"Weapon","","","","","","","","","",""
"Firearm","108","152","114","143","137","116","120","32","34","2"
"Knife or Cutting Instrument","116","137","163","172","174","182","107","21","10","1"
"Other Weapon","282","301","390","413","363","381","401","337","554","10"
"Hands  Fists  Feet","523","282","318","363","325","245","258","87","142","13"
"Property Crimes","6,280","5,894","5,705","5,851","5,561","5,645","5,131","2,413","3,430","380"
"Burglary","1,754","1,395","1,331","1,252","1,217","1,249","1,182","630","936","18"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","918","715","823","709","733","745","752","518","690","15"
"No Force","836","680","508","543","484","504","430","112","246","3"
"Location / Time","","","","","","","","","",""
"Residence","944","864","806","754","782","778","631","423","444","10"
"Night","316","266","205","136","164","170","98","81","89","2"
"Day","319","304","232","209","216","215","209","179","131","1"
"Unknown","309","294","369","409","402","393","324","163","224","7"
"Non-Residence","810","531","525","498","435","471","551","207","492","8"
"Night","406","250","211","164","132","190","183","49","139","0"
"Day","209","123","80","57","54","61","166","96","100","4"
"Unknown","195","158","234","277","249","220","202","62","253","4"
"Motor Vehicle Theft","903","1,103","863","819","872","1,221","929","581","466","245"
"Automotive","625","688","548","521","554","841","610","463","314","112"
"Trucks and Buses","158","272","204","187","212","260","217","86","117","94"
"Other","120","143","111","111","106","120","102","32","35","39"
"Larceny-Theft","3,623","3,396","3,511","3,780","3,472","3,175","3,020","1,202","2,028","117"
"Type","","","","","","","","","",""
"Pocket-Picking","3","9","1","6","1","6","3","1","0","0"
"Purse-Snatching","6","5","7","3","6","5","3","2","0","0"
"Shoplifting","656","675","892","894","744","557","405","161","99","0"
"From Motor Vehicle","1,496","1,196","1,238","1,586","1,528","1,397","1,385","342","351","18"
"Motor Vehicle Accessories","214","305","237","258","278","351","267","124","94","32"
"Bicycles","116","143","166","169","112","113","76","19","24","2"
"From Building","652","543","379","352","300","286","219","26","0","0"
"Coin Operated Machine","3","24","16","15","9","1","3","0","0","1"
"Other","477","496","575","497","494","459","659","527","1,460","64"
"Value","","","","","","","","","",""
"Over $400","1,146","1,116","1,105","1,302","1,239","1,095","1,113","384","345","null"
"$200 through $400","513","488","549","561","458","411","321","112","125","null"
"$50 through $199","782","697","725","789","692","577","519","167","141","6"
"Under $50","1,182","1,095","1,132","1,128","1,083","1,092","1,067","539","1,417","50"
"Arson","35","73","38","36","37","61","53","14","14","0"
"Structural Property","4","7","9","4","13","11","9","5","5","0"
"Mobile Property","1","4","0","2","1","0","0","2","0","0"
"Other Property","30","62","29","30","23","50","44","7","9","0"
