" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","104","116","137","135","161","176","180","181","225","259"
"Homicide","5","1","1","4","3","6","3","6","2","4"
"Rape (Forcible Rape prior to 2014)","12","8","6","14","11","15","14","13","18","23"
"Rape","11","7","6","14","11","13","13","13","18","23"
"Attempted Rape","1","1","0","0","0","2","1","0","0","0"
"Robbery","13","8","10","16","10","8","8","9","5","14"
"Weapon","","","","","","","","","",""
"Firearm","3","1","3","6","3","1","2","2","4","9"
"Knife or Cutting Instrument","2","1","1","1","0","0","2","1","0","1"
"Other Weapon","0","0","0","3","1","1","0","1","0","0"
"Strong-Arm","8","6","6","6","6","6","4","5","1","4"
"Location","","","","","","","","","",""
"Highway","0","0","1","1","1","1","1","1","0","4"
"Commercial","1","0","2","3","0","0","1","3","0","0"
"Gas Station","0","1","1","2","1","1","1","1","0","0"
"Convenience Store","0","1","0","1","1","0","0","0","0","1"
"Residence","2","4","4","5","3","1","1","2","5","8"
"Bank","1","0","0","0","0","1","0","0","0","0"
"Miscellaneous","9","2","2","4","4","4","4","2","0","1"
"Aggravated Assault","74","99","120","101","137","147","155","153","200","218"
"Weapon","","","","","","","","","",""
"Firearm","9","10","3","2","9","4","13","10","17","28"
"Knife or Cutting Instrument","19","13","23","16","22","22","15","16","19","19"
"Other Weapon","15","31","40","29","42","48","44","51","48","57"
"Hands  Fists  Feet","31","45","54","54","64","73","83","76","116","114"
"Property Crimes","819","773","724","793","876","800","654","636","663","704"
"Burglary","240","240","201","214","267","290","197","161","167","150"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","134","109","104","143","170","190","117","103","105","101"
"No Force","106","131","97","71","97","100","80","58","62","49"
"Location / Time","","","","","","","","","",""
"Residence","120","131","124","102","156","145","112","93","111","78"
"Night","17","11","22","22","29","29","18","19","28","17"
"Day","25","34","22","25","35","22","26","8","23","15"
"Unknown","78","86","80","55","92","94","68","66","60","46"
"Non-Residence","120","109","77","112","111","145","85","68","56","72"
"Night","44","43","32","42","49","47","43","24","31","42"
"Day","17","17","7","11","8","28","8","5","11","4"
"Unknown","59","49","38","59","54","70","34","39","14","26"
"Motor Vehicle Theft","74","65","73","118","142","129","93","93","115","166"
"Automotive","36","40","50","73","94","95","70","68","89","108"
"Trucks and Buses","12","8","10","17","13","10","11","9","11","24"
"Other","26","17","13","28","35","24","12","16","15","34"
"Larceny-Theft","505","468","450","461","467","381","364","382","381","388"
"Type","","","","","","","","","",""
"Pocket-Picking","0","0","1","0","0","2","1","0","2","0"
"Purse-Snatching","1","2","0","0","1","2","1","6","7","2"
"Shoplifting","62","69","119","138","113","103","127","122","83","78"
"From Motor Vehicle","124","87","73","71","85","68","62","64","65","73"
"Motor Vehicle Accessories","22","20","19","14","26","22","32","27","29","65"
"Bicycles","34","34","32","27","47","19","14","11","15","10"
"From Building","129","134","100","106","95","58","58","43","38","34"
"Coin Operated Machine","4","0","12","7","9","2","3","4","2","0"
"Other","129","122","94","98","91","105","66","105","140","126"
"Value","","","","","","","","","",""
"Over $400","160","145","117","127","145","112","136","123","175","null"
"$200 through $400","107","91","93","76","64","59","39","45","36","null"
"$50 through $199","123","103","138","126","106","89","73","78","63","58"
"Under $50","115","129","102","132","152","121","116","136","107","101"
"Arson","2","4","6","3","5","4","2","1","5","6"
"Structural Property","2","1","4","1","2","1","1","0","3","4"
"Mobile Property","0","1","0","0","1","1","0","0","1","2"
"Other Property","0","2","2","2","2","2","1","1","1","0"
