" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","1,792","1,782","1,821","1,898","1,868","2,025","1,985","2,016","2,212","1,946"
"Homicide","4","9","7","9","10","12","9","9","10","9"
"Rape (Forcible Rape prior to 2014)","152","126","172","256","282","298","312","277","239","302"
"Rape","147","120","170","251","275","297","306","267","230","294"
"Attempted Rape","5","6","2","5","7","1","6","10","9","8"
"Robbery","232","242","239","300","236","277","268","243","266","201"
"Weapon","","","","","","","","","",""
"Firearm","57","52","51","70","55","55","52","47","45","51"
"Knife or Cutting Instrument","31","19","25","44","28","37","36","26","32","19"
"Other Weapon","20","38","24","28","25","26","26","28","82","126"
"Strong-Arm","124","133","139","158","128","159","154","142","107","5"
"Location","","","","","","","","","",""
"Highway","61","63","81","72","63","77","77","62","54","29"
"Commercial","51","39","41","80","43","59","53","61","41","34"
"Gas Station","3","7","3","7","4","5","8","8","4","2"
"Convenience Store","20","11","7","22","13","6","9","7","15","32"
"Residence","32","50","38","39","46","39","41","27","23","22"
"Bank","6","8","8","5","10","10","5","6","1","12"
"Miscellaneous","59","64","61","75","57","81","75","72","128","70"
"Aggravated Assault","1,404","1,405","1,403","1,333","1,340","1,438","1,396","1,487","1,697","1,434"
"Weapon","","","","","","","","","",""
"Firearm","90","104","111","122","98","131","95","108","181","182"
"Knife or Cutting Instrument","202","204","192","197","175","204","215","199","200","182"
"Other Weapon","473","429","459","377","384","420","422","409","542","461"
"Hands  Fists  Feet","639","668","641","637","683","683","664","771","774","609"
"Property Crimes","8,514","8,218","8,583","9,943","7,794","7,586","7,167","6,760","6,412","6,707"
"Burglary","1,826","1,804","1,643","1,750","1,529","1,399","1,375","1,228","1,272","927"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","723","714","585","535","520","596","477","402","409","104"
"No Force","1,103","1,090","1,058","1,215","1,009","803","898","826","863","823"
"Location / Time","","","","","","","","","",""
"Residence","1,057","1,027","954","922","797","668","590","545","319","250"
"Night","212","254","171","175","154","136","127","129","92","66"
"Day","634","596","560","403","287","254","236","208","89","83"
"Unknown","211","177","223","344","356","278","227","208","138","101"
"Non-Residence","769","777","689","828","732","731","785","683","953","677"
"Night","225","275","186","217","204","181","190","191","393","335"
"Day","371","319","298","278","230","241","288","212","242","142"
"Unknown","173","183","205","333","298","309","307","280","318","200"
"Motor Vehicle Theft","706","721","840","1,031","885","829","683","566","732","953"
"Automotive","531","533","607","780","557","554","439","376","447","716"
"Trucks and Buses","115","123","158","173","216","190","202","137","166","94"
"Other","60","65","75","78","112","85","42","53","119","143"
"Larceny-Theft","5,982","5,693","6,100","7,162","5,380","5,358","5,109","4,966","4,408","4,827"
"Type","","","","","","","","","",""
"Pocket-Picking","20","11","17","31","13","21","19","17","11","15"
"Purse-Snatching","44","24","20","19","14","27","22","12","17","16"
"Shoplifting","1,247","1,232","1,363","1,721","1,015","758","727","751","483","430"
"From Motor Vehicle","1,971","1,763","1,892","2,397","1,878","2,073","1,723","1,521","1,498","1,479"
"Motor Vehicle Accessories","288","288","381","457","311","283","310","359","583","945"
"Bicycles","436","539","492","484","303","334","370","323","262","190"
"From Building","771","650","604","565","466","457","452","477","275","192"
"Coin Operated Machine","17","16","7","14","18","11","9","9","5","8"
"Other","1,188","1,170","1,324","1,474","1,362","1,394","1,477","1,497","1,274","1,552"
"Value","","","","","","","","","",""
"Over $400","1,919","1,712","1,878","2,009","1,682","2,000","2,069","1,906","2,117","null"
"$200 through $400","959","957","945","1,076","736","713","714","620","516","null"
"$50 through $199","1,104","1,028","1,075","1,314","883","841","788","745","543","543"
"Under $50","2,000","1,996","2,202","2,763","2,079","1,804","1,538","1,695","1,232","1,049"
"Arson","62","69","68","87","54","64","52","72","74","67"
"Structural Property","23","25","20","25","23","23","15","30","35","15"
"Mobile Property","18","10","8","9","8","6","9","6","19","21"
"Other Property","21","34","40","53","23","35","28","36","20","31"
