" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","2,875","2,716","2,826","3,093","3,366","3,300","3,160","2,908","2,823","2,740"
"Homicide","38","33","32","39","34","41","40","25","33","26"
"Rape (Forcible Rape prior to 2014)","129","126","136","161","199","196","190","170","185","209"
"Rape","115","113","125","151","183","190","183","161","176","200"
"Attempted Rape","14","13","11","10","16","6","7","9","9","9"
"Robbery","788","741","683","817","835","905","811","724","587","503"
"Weapon","","","","","","","","","",""
"Firearm","304","243","175","254","254","291","250","182","126","125"
"Knife or Cutting Instrument","83","65","71","63","79","86","69","63","47","29"
"Other Weapon","68","77","92","99","90","84","84","72","63","48"
"Strong-Arm","333","356","345","401","412","444","408","407","351","301"
"Location","","","","","","","","","",""
"Highway","302","318","293","306","344","342","274","198","150","111"
"Commercial","207","204","177","295","245","275","186","131","101","91"
"Gas Station","21","16","18","26","32","25","34","41","35","15"
"Convenience Store","39","26","31","38","42","88","82","67","65","41"
"Residence","140","111","94","80","96","80","96","105","83","80"
"Bank","25","15","6","9","7","4","13","7","7","13"
"Miscellaneous","54","51","64","63","69","91","126","175","146","152"
"Aggravated Assault","1,920","1,816","1,975","2,076","2,298","2,158","2,119","1,989","2,018","2,002"
"Weapon","","","","","","","","","",""
"Firearm","309","217","233","273","298","247","235","241","185","181"
"Knife or Cutting Instrument","261","247","257","232","248","256","209","180","199","155"
"Other Weapon","540","655","647","779","802","735","676","568","647","587"
"Hands  Fists  Feet","810","697","838","792","950","920","999","1,000","987","1,079"
"Property Crimes","22,061","20,538","18,559","19,782","17,918","16,789","15,300","14,274","10,843","10,966"
"Burglary","5,551","5,133","4,188","3,887","3,303","2,774","2,696","2,628","1,825","1,553"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","3,743","3,515","2,757","2,573","2,249","1,815","1,841","1,838","1,230","1,024"
"No Force","1,808","1,618","1,431","1,314","1,054","959","855","790","595","529"
"Location / Time","","","","","","","","","",""
"Residence","3,793","3,289","2,587","2,480","1,983","1,498","1,382","1,296","742","553"
"Night","882","702","563","567","501","413","410","441","290","212"
"Day","1,816","1,551","1,117","1,042","764","531","491","450","231","181"
"Unknown","1,095","1,036","907","871","718","554","481","405","221","160"
"Non-Residence","1,758","1,844","1,601","1,407","1,320","1,276","1,314","1,332","1,083","1,000"
"Night","717","774","703","626","626","595","725","763","561","489"
"Day","539","533","407","298","296","296","254","262","283","256"
"Unknown","502","537","491","483","398","385","335","307","239","255"
"Motor Vehicle Theft","4,085","3,469","2,826","3,710","3,496","3,234","2,586","2,491","2,091","2,035"
"Automotive","3,285","2,761","2,159","3,036","2,794","2,501","2,002","1,828","1,504","1,441"
"Trucks and Buses","539","475","497","478","472","499","407","502","432","413"
"Other","261","233","170","196","230","234","177","161","155","181"
"Larceny-Theft","12,425","11,936","11,545","12,185","11,119","10,781","10,018","9,155","6,927","7,378"
"Type","","","","","","","","","",""
"Pocket-Picking","16","20","18","5","14","12","10","17","14","17"
"Purse-Snatching","32","36","33","27","30","27","22","16","17","32"
"Shoplifting","2,726","2,499","2,698","2,834","2,652","2,501","2,252","1,887","1,326","1,568"
"From Motor Vehicle","3,581","3,150","3,164","3,677","3,226","3,419","3,200","3,206","2,397","2,024"
"Motor Vehicle Accessories","993","924","722","815","757","525","505","445","582","1,074"
"Bicycles","485","604","450","549","411","345","304","254","170","172"
"From Building","762","799","804","696","632","801","747","686","403","386"
"Coin Operated Machine","15","30","25","18","13","22","24","24","16","15"
"Other","3,815","3,874","3,631","3,564","3,384","3,129","2,954","2,620","2,002","2,090"
"Value","","","","","","","","","",""
"Over $400","3,185","2,958","3,003","3,267","3,298","3,304","3,280","3,349","2,674","null"
"$200 through $400","1,494","1,381","1,362","1,394","1,407","1,365","1,293","1,348","980","null"
"$50 through $199","2,109","1,963","2,009","2,085","2,096","1,964","1,858","1,755","1,201","1,029"
"Under $50","5,637","5,634","5,171","5,439","4,318","4,148","3,587","2,703","2,072","2,122"
"Arson","117","139","118","126","111","127","150","169","204","206"
"Structural Property","42","43","20","22","26","35","58","86","71","64"
"Mobile Property","36","34","27","31","34","35","33","34","40","45"
"Other Property","39","62","71","73","51","57","59","49","93","97"
