" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","354","351","321","329","360","274","267","256","347","335"
"Homicide","3","4","6","3","3","8","4","3","7","2"
"Rape (Forcible Rape prior to 2014)","17","16","21","20","31","52","38","46","49","54"
"Rape","16","16","21","19","31","49","36","44","48","52"
"Attempted Rape","1","0","0","1","0","3","2","2","1","2"
"Robbery","36","26","44","31","52","46","30","30","42","47"
"Weapon","","","","","","","","","",""
"Firearm","7","4","7","4","8","9","4","5","11","11"
"Knife or Cutting Instrument","4","2","7","3","6","4","5","5","0","8"
"Other Weapon","9","4","8","2","4","6","3","4","6","8"
"Strong-Arm","16","16","22","22","34","27","18","16","25","20"
"Location","","","","","","","","","",""
"Highway","4","6","5","6","8","8","3","4","7","10"
"Commercial","3","2","6","9","11","8","2","2","3","5"
"Gas Station","0","0","0","1","1","1","1","0","2","3"
"Convenience Store","2","1","4","0","2","2","2","0","1","3"
"Residence","12","8","14","8","10","10","5","8","13","14"
"Bank","4","0","0","0","3","0","0","0","0","0"
"Miscellaneous","11","9","15","7","17","17","17","16","16","12"
"Aggravated Assault","298","305","250","275","274","168","195","177","249","232"
"Weapon","","","","","","","","","",""
"Firearm","9","14","3","17","12","21","9","13","21","33"
"Knife or Cutting Instrument","27","33","24","19","32","24","25","23","33","36"
"Other Weapon","212","190","156","163","149","23","71","76","71","114"
"Hands  Fists  Feet","50","68","67","76","81","100","90","65","124","49"
"Property Crimes","1,507","1,676","1,589","1,663","1,937","1,823","1,616","1,623","1,294","1,289"
"Burglary","451","482","449","468","574","447","428","436","290","279"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","149","173","166","187","251","219","181","229","163","99"
"No Force","302","309","283","281","323","228","247","207","127","180"
"Location / Time","","","","","","","","","",""
"Residence","230","258","230","291","335","256","229","231","157","141"
"Night","50","76","68","84","99","62","56","62","42","41"
"Day","67","115","86","95","113","135","130","104","63","70"
"Unknown","113","67","76","112","123","59","43","65","52","30"
"Non-Residence","221","224","219","177","239","191","199","205","133","138"
"Night","59","79","64","69","81","70","61","92","52","67"
"Day","55","105","92","47","98","84","84","72","50","51"
"Unknown","107","40","63","61","60","37","54","41","31","20"
"Motor Vehicle Theft","160","266","270","269","284","256","264","254","210","280"
"Automotive","96","138","113","135","127","144","148","135","96","144"
"Trucks and Buses","37","80","109","80","105","70","75","77","66","79"
"Other","27","48","48","54","52","42","41","42","48","57"
"Larceny-Theft","896","928","870","926","1,079","1,120","924","933","794","730"
"Type","","","","","","","","","",""
"Pocket-Picking","4","2","3","0","2","3","0","3","1","6"
"Purse-Snatching","4","3","2","1","8","8","3","0","1","6"
"Shoplifting","72","37","53","99","111","172","119","114","146","110"
"From Motor Vehicle","228","269","293","242","297","240","226","226","162","223"
"Motor Vehicle Accessories","31","23","30","32","49","60","66","63","29","74"
"Bicycles","75","69","37","52","64","28","24","18","19","24"
"From Building","199","266","245","290","276","310","222","205","171","64"
"Coin Operated Machine","9","7","3","0","6","2","1","4","1","1"
"Other","274","252","204","210","266","297","263","300","264","222"
"Value","","","","","","","","","",""
"Over $400","206","273","206","198","204","262","270","284","251","null"
"$200 through $400","162","180","192","135","150","159","104","118","117","null"
"$50 through $199","219","220","224","259","292","308","239","245","193","131"
"Under $50","309","255","248","334","433","391","311","286","233","184"
"Arson","5","19","7","23","13","12","21","22","35","44"
"Structural Property","4","4","5","12","8","8","13","16","24","12"
"Mobile Property","0","3","0","4","1","0","0","0","0","3"
"Other Property","1","12","2","7","4","4","8","6","11","29"
