" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","21","30","34","34","66","77","79","61","82","83"
"Homicide","4","1","3","1","3","1","2","2","2","1"
"Rape (Forcible Rape prior to 2014)","3","1","3","6","3","5","11","10","3","5"
"Rape","3","1","2","6","3","5","11","10","3","5"
"Attempted Rape","0","0","1","0","0","0","0","0","0","0"
"Robbery","1","5","6","5","6","8","7","9","7","7"
"Weapon","","","","","","","","","",""
"Firearm","1","2","2","1","5","7","1","1","0","4"
"Knife or Cutting Instrument","0","0","0","0","0","0","1","0","0","0"
"Other Weapon","0","2","2","3","1","0","2","6","6","1"
"Strong-Arm","0","1","2","1","0","1","3","2","1","2"
"Location","","","","","","","","","",""
"Highway","0","0","0","0","0","0","0","0","1","1"
"Commercial","0","0","0","0","0","0","0","0","0","0"
"Gas Station","0","0","0","0","0","0","0","0","0","0"
"Convenience Store","0","0","0","0","0","0","0","0","0","0"
"Residence","0","0","0","0","0","0","0","0","0","2"
"Bank","0","0","0","0","0","2","0","0","0","3"
"Miscellaneous","1","5","6","5","6","6","7","9","6","1"
"Aggravated Assault","13","23","22","22","54","63","59","40","70","70"
"Weapon","","","","","","","","","",""
"Firearm","2","2","6","2","19","16","6","3","13","11"
"Knife or Cutting Instrument","3","4","5","4","10","10","4","0","1","6"
"Other Weapon","3","5","7","10","17","23","14","27","43","26"
"Hands  Fists  Feet","5","12","4","6","8","14","35","10","13","27"
"Property Crimes","187","139","174","244","299","254","257","237","198","221"
"Burglary","81","48","56","96","101","84","89","83","56","73"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","54","29","28","72","71","67","67","68","55","58"
"No Force","27","19","28","24","30","17","22","15","1","15"
"Location / Time","","","","","","","","","",""
"Residence","52","23","34","52","60","55","52","22","1","30"
"Night","5","3","3","2","8","5","6","4","0","5"
"Day","1","3","8","10","8","10","10","9","1","25"
"Unknown","46","17","23","40","44","40","36","9","0","0"
"Non-Residence","29","25","22","44","41","29","37","61","55","43"
"Night","1","4","2","8","3","6","11","16","10","11"
"Day","3","3","0","1","3","1","3","36","44","31"
"Unknown","25","18","20","35","35","22","23","9","1","1"
"Motor Vehicle Theft","24","28","19","57","60","64","51","32","32","36"
"Automotive","23","19","13","54","59","63","49","28","31","32"
"Trucks and Buses","0","4","2","2","0","0","0","2","0","2"
"Other","1","5","4","1","1","1","2","2","1","2"
"Larceny-Theft","82","63","99","91","138","106","117","122","110","112"
"Type","","","","","","","","","",""
"Pocket-Picking","63","17","2","0","9","6","16","0","0","0"
"Purse-Snatching","0","2","1","1","0","1","0","0","0","0"
"Shoplifting","4","5","12","4","16","13","6","12","9","7"
"From Motor Vehicle","4","9","18","22","33","16","18","6","1","13"
"Motor Vehicle Accessories","3","3","8","0","5","14","17","23","24","26"
"Bicycles","1","0","1","3","2","1","5","0","0","1"
"From Building","1","5","16","31","20","17","14","4","0","1"
"Coin Operated Machine","0","0","0","1","0","2","1","0","0","0"
"Other","6","22","41","29","53","36","40","77","76","64"
"Value","","","","","","","","","",""
"Over $400","25","26","41","46","60","47","52","41","43","null"
"$200 through $400","13","5","19","14","10","15","20","12","9","null"
"$50 through $199","27","20","16","16","34","10","20","25","15","10"
"Under $50","17","12","23","15","34","34","25","44","43","45"
"Arson","0","0","2","0","0","1","6","2","4","14"
"Structural Property","0","0","2","0","0","1","5","1","1","11"
"Mobile Property","0","0","0","0","0","0","0","1","0","0"
"Other Property","0","0","0","0","0","0","1","0","3","3"
