" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","105","103","151","227","187","206","197","195","244","322"
"Homicide","0","0","1","0","1","2","2","2","1","1"
"Rape (Forcible Rape prior to 2014)","15","8","30","54","54","48","60","68","80","127"
"Rape","15","8","30","54","54","44","60","68","80","127"
"Attempted Rape","0","0","0","0","0","4","0","0","0","0"
"Robbery","16","14","8","32","15","20","19","13","24","19"
"Weapon","","","","","","","","","",""
"Firearm","2","4","0","6","0","3","0","3","7","3"
"Knife or Cutting Instrument","5","2","3","6","3","0","1","0","2","1"
"Other Weapon","1","1","1","3","0","3","3","3","3","1"
"Strong-Arm","8","7","4","17","12","14","15","7","12","14"
"Location","","","","","","","","","",""
"Highway","0","2","0","12","4","4","3","3","6","3"
"Commercial","2","3","1","5","0","6","1","3","9","3"
"Gas Station","0","0","0","0","1","0","0","1","1","0"
"Convenience Store","2","1","0","2","0","0","0","0","1","3"
"Residence","3","3","5","7","8","6","8","1","2","5"
"Bank","0","0","0","3","0","1","1","0","0","0"
"Miscellaneous","9","5","2","3","2","3","6","5","5","5"
"Aggravated Assault","74","81","112","141","117","136","116","112","139","175"
"Weapon","","","","","","","","","",""
"Firearm","5","6","11","6","7","3","6","4","10","10"
"Knife or Cutting Instrument","10","14","13","11","11","8","12","7","11","10"
"Other Weapon","41","33","36","63","44","65","44","42","42","74"
"Hands  Fists  Feet","18","28","52","61","55","60","54","59","76","81"
"Property Crimes","1,190","1,227","1,157","1,280","1,272","1,124","985","1,074","967","951"
"Burglary","468","459","375","493","436","379","313","375","324","304"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","201","166","142","216","190","195","160","215","167","173"
"No Force","267","293","233","277","246","184","153","160","157","131"
"Location / Time","","","","","","","","","",""
"Residence","287","272","205","319","284","232","220","198","182","167"
"Night","64","46","35","47","50","25","51","47","50","37"
"Day","148","153","114","180","145","134","100","77","75","79"
"Unknown","75","73","56","92","89","73","69","74","57","51"
"Non-Residence","181","187","170","174","152","147","93","177","142","137"
"Night","55","55","56","67","53","47","35","53","41","50"
"Day","89","96","87","65","69","73","40","87","50","58"
"Unknown","37","36","27","42","30","27","18","37","51","29"
"Motor Vehicle Theft","85","99","110","107","115","122","108","101","85","128"
"Automotive","78","85","96","91","92","79","50","53","46","57"
"Trucks and Buses","2","11","7","7","5","27","43","27","19","43"
"Other","5","3","7","9","18","16","15","21","20","28"
"Larceny-Theft","637","669","672","680","721","623","564","598","558","519"
"Type","","","","","","","","","",""
"Pocket-Picking","4","3","1","1","0","1","1","0","2","1"
"Purse-Snatching","6","6","2","1","0","0","0","0","5","6"
"Shoplifting","44","48","84","82","91","68","79","74","87","75"
"From Motor Vehicle","144","142","79","118","117","87","93","161","105","130"
"Motor Vehicle Accessories","24","75","85","89","78","83","59","50","43","45"
"Bicycles","15","6","4","3","13","14","5","14","4","5"
"From Building","198","167","199","179","193","183","161","132","137","102"
"Coin Operated Machine","2","4","2","1","1","2","1","2","8","4"
"Other","200","218","216","206","228","185","165","165","167","151"
"Value","","","","","","","","","",""
"Over $400","232","230","195","187","239","223","210","239","224","null"
"$200 through $400","110","108","83","94","101","90","64","74","77","null"
"$50 through $199","129","124","130","142","123","91","91","76","95","113"
"Under $50","166","207","264","257","258","219","199","209","162","94"
"Arson","25","15","10","6","12","13","8","10","18","7"
"Structural Property","18","10","7","5","8","10","4","6","7","7"
"Mobile Property","2","0","0","0","1","0","0","0","2","0"
"Other Property","5","5","3","1","3","3","4","4","9","0"
