" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","1,664","1,629","1,890","2,175","2,192","2,239","2,048","1,830","1,686","1,758"
"Homicide","21","34","20","24","31","26","35","24","20","20"
"Rape (Forcible Rape prior to 2014)","100","85","185","208","269","270","256","232","224","215"
"Rape","94","79","177","205","258","268","255","231","219","210"
"Attempted Rape","6","6","8","3","11","2","1","1","5","5"
"Robbery","617","607","682","679","725","730","639","527","494","432"
"Weapon","","","","","","","","","",""
"Firearm","162","160","174","158","158","175","153","116","95","106"
"Knife or Cutting Instrument","126","120","139","132","162","148","123","89","81","78"
"Other Weapon","53","65","60","71","91","94","68","64","66","56"
"Strong-Arm","276","262","309","318","314","313","295","258","252","192"
"Location","","","","","","","","","",""
"Highway","316","278","208","224","229","224","200","141","154","124"
"Commercial","106","110","97","100","127","146","133","109","79","98"
"Gas Station","7","12","13","26","15","20","26","27","13","12"
"Convenience Store","32","28","56","43","57","53","42","47","48","46"
"Residence","56","61","34","32","46","43","34","40","29","20"
"Bank","11","11","10","5","11","8","8","1","3","3"
"Miscellaneous","89","107","264","249","240","236","196","162","168","129"
"Aggravated Assault","926","903","1,003","1,264","1,167","1,213","1,118","1,047","948","1,091"
"Weapon","","","","","","","","","",""
"Firearm","127","147","149","231","194","174","149","159","154","201"
"Knife or Cutting Instrument","237","237","292","332","271","301","264","267","272","243"
"Other Weapon","279","297","290","377","331","335","320","291","339","405"
"Hands  Fists  Feet","283","222","272","324","371","403","385","330","183","242"
"Property Crimes","15,921","16,400","16,812","17,253","16,415","15,985","14,659","12,634","13,083","12,161"
"Burglary","3,113","3,210","3,217","3,004","2,910","2,612","2,235","1,946","1,909","1,731"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","1,562","1,666","1,843","1,800","1,872","1,683","1,383","1,242","1,195","1,171"
"No Force","1,551","1,544","1,374","1,204","1,038","929","852","704","714","560"
"Location / Time","","","","","","","","","",""
"Residence","2,023","2,096","2,063","1,708","1,546","1,330","1,158","1,008","804","616"
"Night","431","435","415","358","396","358","353","294","289","248"
"Day","973","1,064","1,029","848","706","549","447","426","307","220"
"Unknown","619","597","619","502","444","423","358","288","208","148"
"Non-Residence","1,090","1,114","1,154","1,296","1,364","1,282","1,077","938","1,105","1,115"
"Night","420","432","455","528","613","589","461","454","556","566"
"Day","264","284","306","299","249","209","234","161","273","337"
"Unknown","406","398","393","469","502","484","382","323","276","212"
"Motor Vehicle Theft","1,404","1,500","1,442","1,653","1,650","1,609","1,650","1,234","1,558","1,204"
"Automotive","957","1,075","1,060","1,224","1,255","1,144","1,185","822","1,115","773"
"Trucks and Buses","318","292","280","315","293","328","348","308","307","280"
"Other","129","133","102","114","102","137","117","104","136","151"
"Larceny-Theft","11,404","11,690","12,153","12,596","11,855","11,764","10,774","9,454","9,616","9,226"
"Type","","","","","","","","","",""
"Pocket-Picking","24","30","37","42","52","38","50","47","29","30"
"Purse-Snatching","12","7","24","19","7","10","12","6","23","15"
"Shoplifting","2,457","2,522","2,950","3,214","2,985","3,029","2,568","2,639","2,327","2,181"
"From Motor Vehicle","4,287","4,500","4,736","4,513","4,181","4,114","3,962","3,106","3,157","2,625"
"Motor Vehicle Accessories","771","853","674","823","783","884","801","702","1,094","1,708"
"Bicycles","730","662","573","671","655","634","525","519","634","461"
"From Building","1,281","1,111","934","1,154","1,107","1,092","1,038","907","551","477"
"Coin Operated Machine","48","11","57","30","21","54","36","13","29","19"
"Other","1,794","1,994","2,168","2,130","2,064","1,909","1,782","1,515","1,772","1,710"
"Value","","","","","","","","","",""
"Over $400","3,976","3,862","3,679","3,949","4,002","4,030","3,646","3,494","3,571","null"
"$200 through $400","1,906","1,883","1,884","1,890","1,803","1,861","1,655","1,189","1,423","null"
"$50 through $199","2,537","2,599","2,933","2,853","2,503","2,545","2,227","2,002","1,847","1,567"
"Under $50","2,985","3,346","3,657","3,904","3,547","3,328","3,246","2,769","2,775","2,369"
"Arson","128","130","84","95","113","110","103","91","115","140"
"Structural Property","45","33","33","25","34","34","53","37","38","68"
"Mobile Property","21","42","24","28","32","26","24","27","26","25"
"Other Property","62","55","27","42","47","50","26","27","51","47"
