" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","556","642","757","804","639","568","674","637","621","689"
"Homicide","0","6","4","6","3","9","6","6","6","5"
"Rape (Forcible Rape prior to 2014)","71","71","78","81","72","65","71","87","63","75"
"Rape","69","68","74","79","69","63","66","83","60","71"
"Attempted Rape","2","3","4","2","3","2","5","4","3","4"
"Robbery","162","174","184","191","191","166","216","176","162","150"
"Weapon","","","","","","","","","",""
"Firearm","40","29","36","32","42","39","38","35","22","34"
"Knife or Cutting Instrument","12","17","18","15","12","8","12","9","22","12"
"Other Weapon","15","14","12","16","12","21","20","10","16","15"
"Strong-Arm","95","114","118","128","125","98","146","122","102","89"
"Location","","","","","","","","","",""
"Highway","54","80","69","81","72","58","56","61","42","38"
"Commercial","12","20","13","21","30","22","50","22","36","40"
"Gas Station","9","1","7","3","13","6","4","10","3","4"
"Convenience Store","5","11","3","11","13","14","10","11","8","6"
"Residence","27","25","28","22","24","24","33","27","32","18"
"Bank","2","1","2","3","7","1","4","3","4","1"
"Miscellaneous","53","36","62","50","32","41","59","42","37","43"
"Aggravated Assault","323","391","491","526","373","328","381","368","390","459"
"Weapon","","","","","","","","","",""
"Firearm","25","24","28","75","38","33","35","47","48","90"
"Knife or Cutting Instrument","63","98","71","63","56","51","58","40","42","48"
"Other Weapon","68","71","125","163","113","118","172","143","119","135"
"Hands  Fists  Feet","167","198","267","225","166","126","116","138","181","186"
"Property Crimes","5,956","6,434","5,507","6,050","5,368","5,656","5,793","6,644","6,426","5,503"
"Burglary","1,312","1,814","1,132","1,016","791","948","845","925","1,011","857"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","716","967","584","545","426","580","485","546","622","482"
"No Force","596","847","548","471","365","368","360","379","389","375"
"Location / Time","","","","","","","","","",""
"Residence","796","1,097","696","603","489","479","460","421","388","265"
"Night","245","423","218","209","166","153","143","154","134","89"
"Day","356","422","297","245","193","153","102","136","156","135"
"Unknown","195","252","181","149","130","173","215","131","98","41"
"Non-Residence","516","717","436","413","302","469","385","504","623","592"
"Night","230","302","187","163","128","177","165","201","268","244"
"Day","141","246","146","124","87","75","48","111","161","175"
"Unknown","145","169","103","126","87","217","172","192","194","173"
"Motor Vehicle Theft","522","570","573","599","646","619","608","587","645","619"
"Automotive","402","429","475","484","513","487","464","409","444","374"
"Trucks and Buses","51","77","42","47","63","63","87","88","78","118"
"Other","69","64","56","68","70","69","57","90","123","127"
"Larceny-Theft","4,122","4,050","3,802","4,435","3,931","4,089","4,340","5,132","4,770","4,027"
"Type","","","","","","","","","",""
"Pocket-Picking","20","17","11","60","8","13","14","12","8","14"
"Purse-Snatching","27","26","12","13","11","14","8","9","6","17"
"Shoplifting","436","399","374","645","519","398","597","684","622","317"
"From Motor Vehicle","1,078","1,162","1,177","1,042","1,184","1,460","1,363","1,673","1,380","1,116"
"Motor Vehicle Accessories","303","259","255","239","231","233","249","426","680","934"
"Bicycles","986","958","876","1,138","837","797","833","1,085","1,021","698"
"From Building","293","241","228","227","167","162","334","362","194","229"
"Coin Operated Machine","37","22","20","7","14","8","6","12","13","9"
"Other","942","966","849","1,064","960","1,004","936","869","846","693"
"Value","","","","","","","","","",""
"Over $400","1,358","1,348","1,304","1,453","1,221","1,402","1,503","2,069","2,032","null"
"$200 through $400","836","796","733","876","726","757","790","931","818","null"
"$50 through $199","943","826","764","888","870","972","1,045","1,060","897","608"
"Under $50","985","1,080","1,001","1,218","1,114","958","1,002","1,072","1,023","660"
"Arson","106","66","72","40","52","73","51","88","77","38"
"Structural Property","39","23","32","16","36","39","24","30","27","17"
"Mobile Property","13","16","8","6","6","13","5","15","14","5"
"Other Property","54","27","32","18","10","21","22","43","36","16"
