REGNAME,STNAME,CTYNAME,Median House Price 2017,Median House Price 2018,Median House Price 2019,Median House Price 042020,Median House Price 2020
United States,United States,United States,137259144,138391688,139553076,140471587,140775530
Northeast Region,Northeast Region,Northeast Region,24225092,24329261,24437166,24516107,24542231
Midwest Region,Midwest Region,Midwest Region,30237036,30392097,30536017,30643716,30679352
South Region,South Region,South Region,52836278,53409488,54020922,54507858,54668988
West Region,West Region,West Region,29960738,30260842,30558971,30803906,30884959
South Region,Alabama,Alabama,2254608,2270707,2284967,2298248,2302643
South Region,Alabama,Autauga County,23461,23695,23900,24099,24165
South Region,Alabama,Baldwin County,113951,116393,119392,121741,122518
South Region,Alabama,Barbour County,12007,12053,12082,12111,12120
South Region,Alabama,Bibb County,9194,9249,9289,9327,9340
South Region,Alabama,Blount County,24317,24440,24519,24599,24625
South Region,Alabama,Bullock County,4566,4591,4607,4620,4625
South Region,Alabama,Butler County,10081,10121,10147,10170,10177
South Region,Alabama,Calhoun County,53638,53753,53821,53905,53933
South Region,Alabama,Chambers County,16968,16981,16992,17039,17055
South Region,Alabama,Cherokee County,16550,16632,16684,16742,16761
South Region,Alabama,Chilton County,19753,19897,20053,20131,20157
South Region,Alabama,Choctaw County,7367,7406,7430,7452,7459
South Region,Alabama,Clarke County,12773,12821,12850,12873,12881
South Region,Alabama,Clay County,6814,6834,6846,6855,6858
South Region,Alabama,Cleburne County,6828,6860,6880,6897,6903
South Region,Alabama,Coffee County,23164,23291,23408,23642,23719
South Region,Alabama,Colbert County,26580,26725,26863,26971,27007
South Region,Alabama,Conecuh County,7177,7204,7219,7240,7247
South Region,Alabama,Coosa County,6585,6618,6638,6655,6661
South Region,Alabama,Covington County,18989,19043,19079,19150,19174
South Region,Alabama,Crenshaw County,6816,6846,6865,6882,6887
South Region,Alabama,Cullman County,37792,38034,38236,38483,38565
South Region,Alabama,Dale County,23098,23165,23211,23260,23276
South Region,Alabama,Dallas County,20388,20425,20445,20455,20459
South Region,Alabama,DeKalb County,31281,31427,31568,31663,31694
South Region,Alabama,Elmore County,34184,34355,34484,34585,34618
South Region,Alabama,Escambia County,16593,16637,16659,16677,16683
South Region,Alabama,Etowah County,47723,47824,47884,47912,47921
South Region,Alabama,Fayette County,8484,8509,8520,8536,8542
South Region,Alabama,Franklin County,14046,14083,14110,14129,14135
South Region,Alabama,Geneva County,12850,12906,12943,12981,12994
South Region,Alabama,Greene County,5105,5139,5163,5184,5191
South Region,Alabama,Hale County,7793,7848,7893,7931,7943
South Region,Alabama,Henry County,9153,9209,9252,9287,9298
South Region,Alabama,Houston County,47436,47785,48120,48378,48463
South Region,Alabama,Jackson County,25071,25152,25222,25275,25293
South Region,Alabama,Jefferson County,308193,308837,309636,310277,310489
South Region,Alabama,Lamar County,7395,7417,7425,7434,7437
South Region,Alabama,Lauderdale County,44831,45458,45614,45695,45722
South Region,Alabama,Lawrence County,15271,15331,15369,15403,15414
