"Label (Grouping)","Alameda County, California!!Owner-occupied housing units with a mortgage!!Estimate","Alameda County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Alpine County, California!!Owner-occupied housing units with a mortgage!!Estimate","Alpine County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Amador County, California!!Owner-occupied housing units with a mortgage!!Estimate","Amador County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Butte County, California!!Owner-occupied housing units with a mortgage!!Estimate","Butte County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Calaveras County, California!!Owner-occupied housing units with a mortgage!!Estimate","Calaveras County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Colusa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Colusa County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Contra Costa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Contra Costa County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Del Norte County, California!!Owner-occupied housing units with a mortgage!!Estimate","Del Norte County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","El Dorado County, California!!Owner-occupied housing units with a mortgage!!Estimate","El Dorado County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Fresno County, California!!Owner-occupied housing units with a mortgage!!Estimate","Fresno County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Glenn County, California!!Owner-occupied housing units with a mortgage!!Estimate","Glenn County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Humboldt County, California!!Owner-occupied housing units with a mortgage!!Estimate","Humboldt County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Imperial County, California!!Owner-occupied housing units with a mortgage!!Estimate","Imperial County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Inyo County, California!!Owner-occupied housing units with a mortgage!!Estimate","Inyo County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Kern County, California!!Owner-occupied housing units with a mortgage!!Estimate","Kern County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Kings County, California!!Owner-occupied housing units with a mortgage!!Estimate","Kings County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Lake County, California!!Owner-occupied housing units with a mortgage!!Estimate","Lake County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Lassen County, California!!Owner-occupied housing units with a mortgage!!Estimate","Lassen County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Los Angeles County, California!!Owner-occupied housing units with a mortgage!!Estimate","Los Angeles County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Madera County, California!!Owner-occupied housing units with a mortgage!!Estimate","Madera County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Marin County, California!!Owner-occupied housing units with a mortgage!!Estimate","Marin County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Mariposa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Mariposa County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Mendocino County, California!!Owner-occupied housing units with a mortgage!!Estimate","Mendocino County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Merced County, California!!Owner-occupied housing units with a mortgage!!Estimate","Merced County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Modoc County, California!!Owner-occupied housing units with a mortgage!!Estimate","Modoc County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Mono County, California!!Owner-occupied housing units with a mortgage!!Estimate","Mono County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Monterey County, California!!Owner-occupied housing units with a mortgage!!Estimate","Monterey County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Napa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Napa County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Nevada County, California!!Owner-occupied housing units with a mortgage!!Estimate","Nevada County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Orange County, California!!Owner-occupied housing units with a mortgage!!Estimate","Orange County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Placer County, California!!Owner-occupied housing units with a mortgage!!Estimate","Placer County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Plumas County, California!!Owner-occupied housing units with a mortgage!!Estimate","Plumas County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Riverside County, California!!Owner-occupied housing units with a mortgage!!Estimate","Riverside County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Sacramento County, California!!Owner-occupied housing units with a mortgage!!Estimate","Sacramento County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Benito County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Benito County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Bernardino County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Bernardino County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Diego County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Diego County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Francisco County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Francisco County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Joaquin County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Joaquin County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Luis Obispo County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Luis Obispo County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Mateo County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Mateo County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Santa Barbara County, California!!Owner-occupied housing units with a mortgage!!Estimate","Santa Barbara County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Santa Clara County, California!!Owner-occupied housing units with a mortgage!!Estimate","Santa Clara County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Santa Cruz County, California!!Owner-occupied housing units with a mortgage!!Estimate","Santa Cruz County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Shasta County, California!!Owner-occupied housing units with a mortgage!!Estimate","Shasta County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Sierra County, California!!Owner-occupied housing units with a mortgage!!Estimate","Sierra County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Siskiyou County, California!!Owner-occupied housing units with a mortgage!!Estimate","Siskiyou County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Solano County, California!!Owner-occupied housing units with a mortgage!!Estimate","Solano County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Sonoma County, California!!Owner-occupied housing units with a mortgage!!Estimate","Sonoma County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Stanislaus County, California!!Owner-occupied housing units with a mortgage!!Estimate","Stanislaus County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Sutter County, California!!Owner-occupied housing units with a mortgage!!Estimate","Sutter County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Tehama County, California!!Owner-occupied housing units with a mortgage!!Estimate","Tehama County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Trinity County, California!!Owner-occupied housing units with a mortgage!!Estimate","Trinity County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Tulare County, California!!Owner-occupied housing units with a mortgage!!Estimate","Tulare County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Tuolumne County, California!!Owner-occupied housing units with a mortgage!!Estimate","Tuolumne County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Ventura County, California!!Owner-occupied housing units with a mortgage!!Estimate","Ventura County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Yolo County, California!!Owner-occupied housing units with a mortgage!!Estimate","Yolo County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Yuba County, California!!Owner-occupied housing units with a mortgage!!Estimate","Yuba County, California!!Percent owner-occupied housing units with a mortgage!!Estimate"
"Owner-occupied housing units with a mortgage","224,114","224,114","144","144","6,397","6,397","30,705","30,705","8,795","8,795","2,784","2,784","189,407","189,407","3,273","3,273","37,083","37,083","112,045","112,045","3,434","3,434","17,750","17,750","16,868","16,868","2,423","2,423","106,323","106,323","15,308","15,308","8,938","8,938","3,578","3,578","1,103,229","1,103,229","18,297","18,297","48,430","48,430","2,591","2,591","10,951","10,951","27,825","27,825","1,290","1,290","1,590","1,590","43,503","43,503","20,910","20,910","19,274","19,274","423,604","423,604","71,620","71,620","3,687","3,687","332,347","332,347","214,839","214,839","8,549","8,549","271,049","271,049","430,159","430,159","90,019","90,019","90,361","90,361","42,560","42,560","111,963","111,963","50,555","50,555","256,192","256,192","38,743","38,743","27,133","27,133","445","445","6,320","6,320","66,821","66,821","78,120","78,120","69,462","69,462","12,048","12,048","10,262","10,262","1,857","1,857","53,799","53,799","9,026","9,026","126,655","126,655","26,361","26,361","10,561","10,561"
"    VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $50,000","2,783","1.2%","3","2.1%","145","2.3%","781","2.5%","131","1.5%","56","2.0%","2,472","1.3%","303","9.3%","694","1.9%","2,622","2.3%","75","2.2%","429","2.4%","355","2.1%","124","5.1%","2,934","2.8%","209","1.4%","394","4.4%","143","4.0%","17,447","1.6%","274","1.5%","632","1.3%","14","0.5%","443","4.0%","669","2.4%","151","11.7%","58","3.6%","725","1.7%","380","1.8%","413","2.1%","6,147","1.5%","1,113","1.6%","100","2.7%","8,414","2.5%","4,571","2.1%","154","1.8%","6,736","2.5%","6,055","1.4%","942","1.0%","2,329","2.6%","675","1.6%","1,101","1.0%","758","1.5%","2,842","1.1%","445","1.1%","903","3.3%","0","0.0%","174","2.8%","1,495","2.2%","1,558","2.0%","1,725","2.5%","389","3.2%","394","3.8%","37","2.0%","1,280","2.4%","264","2.9%","1,551","1.2%","518","2.0%","287","2.7%"
"        $50,000 to $99,999","1,402","0.6%","0","0.0%","177","2.8%","1,601","5.2%","300","3.4%","223","8.0%","1,501","0.8%","251","7.7%","357","1.0%","7,244","6.5%","98","2.9%","278","1.6%","1,207","7.2%","144","5.9%","10,144","9.5%","1,201","7.8%","791","8.8%","329","9.2%","9,763","0.9%","1,100","6.0%","204","0.4%","101","3.9%","245","2.2%","2,255","8.1%","306","23.7%","128","8.1%","403","0.9%","222","1.1%","211","1.1%","3,497","0.8%","436","0.6%","144","3.9%","8,150","2.5%","4,283","2.0%","30","0.4%","10,655","3.9%","4,125","1.0%","340","0.4%","3,249","3.6%","429","1.0%","576","0.5%","733","1.4%","1,659","0.6%","445","1.1%","916","3.4%","64","14.4%","535","8.5%","944","1.4%","843","1.1%","2,622","3.8%","357","3.0%","716","7.0%","72","3.9%","5,113","9.5%","152","1.7%","1,118","0.9%","117","0.4%","881","8.3%"
"        $100,000 to $299,999","15,765","7.0%","49","34.0%","3,183","49.8%","16,539","53.9%","4,360","49.6%","1,756","63.1%","26,919","14.2%","1,870","57.1%","7,643","20.6%","68,635","61.3%","2,129","62.0%","8,508","47.9%","13,239","78.5%","918","37.9%","70,374","66.2%","11,695","76.4%","5,345","59.8%","2,367","66.2%","144,831","13.1%","11,818","64.6%","1,623","3.4%","1,311","50.6%","3,454","31.5%","17,516","63.0%","544","42.2%","595","37.4%","9,135","21.0%","1,809","8.7%","4,616","23.9%","22,752","5.4%","13,261","18.5%","2,258","61.2%","131,700","39.6%","94,274","43.9%","1,013","11.8%","120,324","44.4%","51,210","11.9%","1,819","2.0%","41,036","45.4%","4,570","10.7%","2,250","2.0%","10,189","20.2%","7,873","3.1%","2,741","7.1%","16,584","61.1%","202","45.4%","4,350","68.8%","21,741","32.5%","7,656","9.8%","41,431","59.6%","7,509","62.3%","6,667","65.0%","835","45.0%","37,275","69.3%","4,661","51.6%","11,294","8.9%","7,465","28.3%","6,745","63.9%"
"        $300,000 to $499,999","46,577","20.8%","48","33.3%","2,193","34.3%","8,867","28.9%","2,794","31.8%","527","18.9%","56,410","29.8%","652","19.9%","14,798","39.9%","24,850","22.2%","856","24.9%","6,240","35.2%","1,577","9.3%","919","37.9%","17,955","16.9%","1,689","11.0%","1,629","18.2%","608","17.0%","382,607","34.7%","3,850","21.0%","3,954","8.2%","777","30.0%","4,269","39.0%","5,437","19.5%","171","13.3%","414","26.0%","15,590","35.8%","5,805","27.8%","8,255","42.8%","96,569","22.8%","33,446","46.7%","864","23.4%","134,809","40.6%","80,097","37.3%","4,036","47.2%","94,215","34.8%","157,769","36.7%","5,249","5.8%","31,927","35.3%","15,258","35.9%","7,527","6.7%","13,247","26.2%","27,811","10.9%","8,243","21.3%","6,766","24.9%","128","28.8%","855","13.5%","29,812","44.6%","26,720","34.2%","19,137","27.6%","2,641","21.9%","1,894","18.5%","577","31.1%","7,558","14.0%","2,765","30.6%","42,788","33.8%","10,615","40.3%","2,143","20.3%"
"        $500,000 to $749,999","70,199","31.3%","37","25.7%","514","8.0%","2,004","6.5%","769","8.7%","113","4.1%","42,685","22.5%","105","3.2%","9,844","26.5%","5,876","5.2%","195","5.7%","1,704","9.6%","252","1.5%","267","11.0%","3,283","3.1%","414","2.7%","548","6.1%","78","2.2%","285,254","25.9%","641","3.5%","9,336","19.3%","207","8.0%","1,572","14.4%","1,134","4.1%","48","3.7%","221","13.9%","8,545","19.6%","7,148","34.2%","3,683","19.1%","152,512","36.0%","16,298","22.8%","161","4.4%","36,241","10.9%","23,945","11.1%","2,298","26.9%","29,394","10.8%","122,256","28.4%","19,632","21.8%","8,836","9.8%","13,184","31.0%","25,533","22.8%","8,018","15.9%","68,270","26.6%","11,027","28.5%","1,277","4.7%","31","7.0%","253","4.0%","10,358","15.5%","24,589","31.5%","2,900","4.2%","751","6.2%","326","3.2%","246","13.2%","1,718","3.2%","772","8.6%","43,414","34.3%","4,850","18.4%","367","3.5%"
"        $750,000 to $999,999","48,826","21.8%","7","4.9%","105","1.6%","549","1.8%","286","3.3%","50","1.8%","27,601","14.6%","57","1.7%","2,576","6.9%","1,634","1.5%","48","1.4%","347","2.0%","180","1.1%","27","1.1%","861","0.8%","51","0.3%","124","1.4%","29","0.8%","118,567","10.7%","373","2.0%","12,412","25.6%","89","3.4%","562","5.1%","471","1.7%","7","0.5%","164","10.3%","4,379","10.1%","2,739","13.1%","1,428","7.4%","81,873","19.3%","4,538","6.3%","98","2.7%","7,330","2.2%","4,871","2.3%","753","8.8%","6,726","2.5%","49,316","11.5%","21,972","24.4%","1,873","2.1%","5,168","12.1%","26,345","23.5%","8,030","15.9%","57,973","22.6%","9,644","24.9%","430","1.6%","0","0.0%","115","1.8%","1,611","2.4%","9,316","11.9%","939","1.4%","176","1.5%","81","0.8%","47","2.5%","487","0.9%","290","3.2%","16,364","12.9%","1,900","7.2%","112","1.1%"
"        $1,000,000 or more","38,562","17.2%","0","0.0%","80","1.3%","364","1.2%","155","1.8%","59","2.1%","31,819","16.8%","35","1.1%","1,171","3.2%","1,184","1.1%","33","1.0%","244","1.4%","58","0.3%","24","1.0%","772","0.7%","49","0.3%","107","1.2%","24","0.7%","144,760","13.1%","241","1.3%","20,269","41.9%","92","3.6%","406","3.7%","343","1.2%","63","4.9%","10","0.6%","4,726","10.9%","2,807","13.4%","668","3.5%","60,254","14.2%","2,528","3.5%","62","1.7%","5,703","1.7%","2,798","1.3%","265","3.1%","2,999","1.1%","39,428","9.2%","40,065","44.5%","1,111","1.2%","3,276","7.7%","48,631","43.4%","9,580","18.9%","89,764","35.0%","6,198","16.0%","257","0.9%","20","4.5%","38","0.6%","860","1.3%","7,438","9.5%","708","1.0%","225","1.9%","184","1.8%","43","2.3%","368","0.7%","122","1.4%","10,126","8.0%","896","3.4%","26","0.2%"
"        Median (dollars)","662,100","662,100","360,600","360,600","288,700","288,700","255,400","255,400","281,100","281,100","215,300","215,300","543,400","543,400","219,200","219,200","426,700","426,700","230,500","230,500","236,400","236,400","295,100","295,100","180,200","180,200","304,600","304,600","203,600","203,600","190,300","190,300","202,300","202,300","186,700","186,700","498,400","498,400","227,800","227,800","920,500","920,500","283,200","283,200","347,600","347,600","202,000","202,000","155,600","155,600","306,600","306,600","440,000","440,000","578,300","578,300","398,500","398,500","635,800","635,800","418,200","418,200","239,600","239,600","321,300","321,300","308,300","308,300","461,200","461,200","296,700","296,700","495,200","495,200","943,700","943,700","294,000","294,000","506,600","506,600","930,200","930,200","510,900","510,900","834,700","834,700","670,000","670,000","240,200","240,200","252,700","252,700","182,200","182,200","353,200","353,200","523,200","523,200","251,600","251,600","236,700","236,700","202,500","202,500","296,700","296,700","186,200","186,200","281,500","281,500","537,900","537,900","378,600","378,600","227,600","227,600"
