,County,2016,2017,2018,2019,2020
0,Alameda County,70242.0,74223.0,69248.0,76846.0,68433.0
1,Alpine County,40.0,45.0,41.0,45.0,33.0
2,Amador County,765.0,769.0,721.0,795.0,745.0
3,Butte County,8310.0,8375.0,7120.0,6421.0,5546.0
4,Calaveras County,834.0,998.0,1057.0,983.0,924.0
5,Colusa County,403.0,421.0,426.0,410.0,396.0
6,Contra Costa County,33033.0,33797.0,31644.0,32901.0,27854.0
7,Del Norte County,783.0,862.0,741.0,931.0,862.0
8,El Dorado County,3439.0,3233.0,3353.0,2886.0,2945.0
9,Fresno County,38239.0,36623.0,33648.0,28206.0,31052.0
10,Glenn County,671.0,625.0,686.0,620.0,599.0
11,Humboldt County,4719.0,4907.0,4595.0,4623.0,4172.0
12,Imperial County,5929.0,5544.0,5028.0,4169.0,4094.0
13,Inyo County,449.0,645.0,519.0,487.0,451.0
14,Kern County,38393.0,34614.0,36272.0,36014.0,35114.0
15,Kings County,3827.0,3720.0,3502.0,3250.0,3300.0
16,Lake County,2146.0,2055.0,1696.0,1591.0,1553.0
17,Lassen County,742.0,878.0,795.0,694.0,575.0
18,Los Angeles County,310935.0,311167.0,299065.0,283319.0,272248.0
19,Madera County,4746.0,4407.0,3892.0,3547.0,2736.0
20,Marin County,5473.0,5496.0,5252.0,5977.0,5947.0
21,Mariposa County,321.0,398.0,278.0,261.0,261.0
22,Mendocino County,2058.0,1780.0,1617.0,1635.0,1856.0
23,Merced County,9263.0,8837.0,8409.0,8507.0,7768.0
24,Modoc County,204.0,239.0,185.0,109.0,116.0
25,Mono County,199.0,254.0,176.0,257.0,204.0
26,Monterey County,12260.0,11903.0,10835.0,9239.0,9271.0
27,Napa County,3133.0,2828.0,2748.0,2965.0,2859.0
28,Nevada County,2031.0,2055.0,1543.0,1433.0,1263.0
29,Orange County,73598.0,73593.0,69252.0,66246.0,68755.0
30,Placer County,7735.0,7725.0,7050.0,6776.0,6510.0
31,Plumas County,480.0,456.0,474.0,445.0,455.0
32,Riverside County,72989.0,69363.0,67910.0,65773.0,60335.0
33,Sacramento County,47120.0,44315.0,42608.0,43267.0,40542.0
34,San Benito County,704.0,745.0,818.0,624.0,759.0
35,San Bernardino County,65798.0,62634.0,63110.0,60051.0,52799.0
36,San Diego County,72735.0,68432.0,68236.0,66922.0,61509.0
37,San Francisco County,54962.0,61966.0,56934.0,56381.0,44706.0
38,San Joaquin County,28766.0,28012.0,28332.0,27564.0,23597.0
39,San Luis Obispo County,7861.0,6677.0,6359.0,5793.0,5478.0
40,San Mateo County,16605.0,17162.0,16308.0,18179.0,17461.0
41,Santa Barbara County,11355.0,10328.0,9185.0,8890.0,10736.0
42,Santa Clara County,48468.0,51215.0,51769.0,54220.0,50220.0
43,Santa Cruz County,10624.0,10072.0,8603.0,8165.0,7200.0
44,Shasta County,6931.0,6931.0,6347.0,3050.0,4421.0
45,Sierra County,41.0,33.0,27.0,32.0,21.0
46,Siskiyou County,1042.0,980.0,836.0,818.0,893.0
47,Solano County,13862.0,14256.0,14111.0,15381.0,13216.0
48,Sonoma County,9716.0,9675.0,9204.0,8848.0,8698.0
49,Stanislaus County,21395.0,20216.0,18610.0,17351.0,13870.0
50,Sutter County,3060.0,3206.0,2835.0,2773.0,2750.0
51,Tehama County,2310.0,2109.0,1904.0,1901.0,1676.0
52,Trinity County,365.0,332.0,342.0,300.0,284.0
53,Tulare County,13199.0,13439.0,13383.0,12404.0,11203.0
54,Tuolumne County,1471.0,1343.0,1190.0,1279.0,1229.0
55,Ventura County,18720.0,18334.0,16810.0,14555.0,14884.0
56,Yolo County,6059.0,6297.0,6518.0,7369.0,7124.0
57,Yuba County,2289.0,2428.0,2230.0,2190.0,2286.0
