,County,2016,2017,2018,2019,2020,Latitude,Longitude,Population 2016,Population 2017,Population 2018,Population 2019,Population 2020,2016 Crime per Capita (%),2017 Crime per Capita (%),2018 Crime per Capita (%),2019 Crime per Capita (%),2020 Crime per Capita (%)
0,Alameda County,70242.0,74223.0,69248.0,76846.0,68433.0,37.6471385,-121.912488,1650765.0,1659824.0,1666596.0,1668412.0,1662323.0,4.255118081616705,4.471739172345983,4.1550561743817935,4.605936663126374,4.11670896690956
1,Alpine County,40.0,45.0,41.0,45.0,33.0,38.6217831,-119.7983522,1053.0,1116.0,1081.0,1113.0,1119.0,3.798670465337132,4.032258064516129,3.7927844588344124,4.0431266846361185,2.949061662198391
2,Amador County,765.0,769.0,721.0,795.0,745.0,38.4435501,-120.6538563,37443.0,38549.0,39349.0,39693.0,40083.0,2.0431055203909945,1.994863679991699,1.8323210246766117,2.002872042929484,1.8586433151211237
3,Butte County,8310.0,8375.0,7120.0,6421.0,5546.0,39.6659588,-121.6019188,226222.0,228700.0,230330.0,218726.0,212744.0,3.6733827832836767,3.662002623524267,3.091216949594061,2.9356363669614036,2.6068890309479937
4,Calaveras County,834.0,998.0,1057.0,983.0,924.0,38.1838996,-120.5614415,45307.0,45658.0,45747.0,46119.0,46308.0,1.8407751561568855,2.18581628630251,2.3105340240890113,2.1314425724755526,1.995335579165587
5,Colusa County,403.0,421.0,426.0,410.0,396.0,39.1777385,-122.2375629,21476.0,21558.0,21389.0,21474.0,21558.0,1.8765133171912836,1.952871323870489,1.991677965309271,1.909285647760082,1.8369050932368494
6,Contra Costa County,33033.0,33797.0,31644.0,32901.0,27854.0,37.919479,-121.9515431,1137259.0,1145623.0,1150840.0,1152883.0,1152333.0,2.904615395437627,2.950097894333476,2.7496437384866708,2.8538021637928566,2.4171832274177687
7,Del Norte County,783.0,862.0,741.0,931.0,862.0,41.763958,-124.003614,27415.0,27383.0,27793.0,27903.0,27968.0,2.8561006748130584,3.147938501990286,2.666138955852193,3.3365587929613305,3.0820938215102975
8,El Dorado County,3439.0,3233.0,3353.0,2886.0,2945.0,38.7856116,-120.5342245,186027.0,188793.0,190925.0,193057.0,192925.0,1.8486563778376257,1.7124575593374756,1.756186984417965,1.4948952899920749,1.5264999352079822
9,Fresno County,38239.0,36623.0,33648.0,28206.0,31052.0,36.7610058,-119.6550193,976231.0,984726.0,991298.0,997847.0,1000918.0,3.917003250255319,3.71910561922809,3.3943375251438015,2.826685854645051,3.102352040826521
10,Glenn County,671.0,625.0,686.0,620.0,599.0,39.6025462,-122.4016998,27796.0,27876.0,27899.0,28445.0,28283.0,2.414016405238164,2.2420720332902855,2.458869493530234,2.179644928809984,2.117879998585723
11,Humboldt County,4719.0,4907.0,4595.0,4623.0,4172.0,40.7066554,-123.9261757,136477.0,136710.0,136502.0,135839.0,134977.0,3.457725477552994,3.589349718381976,3.366251043940748,3.4032936049293654,3.0908969676315223
12,Imperial County,5929.0,5544.0,5028.0,4169.0,4094.0,33.0408143,-115.3554001,179881.0,181250.0,181062.0,180439.0,180267.0,3.2960679560376023,3.0587586206896553,2.776949332272923,2.3104761165823353,2.2710756821825404
13,Inyo County,449.0,645.0,519.0,487.0,451.0,36.561977,-117.4039269,17897.0,17819.0,17894.0,17993.0,18046.0,2.508800357601833,3.619731747011617,2.9004135464401477,2.7066081253820933,2.4991687908677824
14,Kern County,38393.0,34614.0,36272.0,36014.0,35114.0,35.3466288,-118.7295064,881094.0,887316.0,893618.0,898898.0,901362.0,4.357423839000152,3.900977780182032,4.059005078232533,4.0064612447685946,3.895660123235725
15,Kings County,3827.0,3720.0,3502.0,3250.0,3300.0,36.072478,-119.8155301,149269.0,149542.0,151221.0,152727.0,152692.0,2.5638277204242006,2.4875954581321635,2.3158159250368664,2.1279799904404593,2.161213423100097
16,Lake County,2146.0,2055.0,1696.0,1591.0,1553.0,39.0948019,-122.7467569,63912.0,64132.0,64394.0,64463.0,64479.0,3.3577418951057703,3.204328572319591,2.6337857564369354,2.4680824659106775,2.4085361125327625
17,Lassen County,742.0,878.0,795.0,694.0,575.0,40.7210862,-120.6299518,30715.0,30919.0,30658.0,30694.0,30016.0,2.415757773075045,2.8396778679776187,2.593124143779764,2.261028213983189,1.915644989339019
18,Los Angeles County,310935.0,311167.0,299065.0,283319.0,272248.0,34.1963983,-118.2618616,10094865.0,10092365.0,10061533.0,10011602.0,9943046.0,3.080130343496421,3.083192096203417,2.97236017612823,2.829906742197702,2.7380744291035164
19,Madera County,4746.0,4407.0,3892.0,3547.0,2736.0,37.2098213,-119.7498023,153694.0,155079.0,156373.0,156717.0,157761.0,3.087953986492641,2.841777416671503,2.48892072160795,2.2633154029237414,1.7342689257801358
20,Marin County,5473.0,5496.0,5252.0,5977.0,5947.0,38.0518169,-122.7459738,260722.0,259975.0,260091.0,259085.0,257332.0,2.099170764262318,2.114049427829599,2.019293247363423,2.3069648956906037,2.3110223369033003
21,Mariposa County,321.0,398.0,278.0,261.0,261.0,37.5700295,-119.9128613,17498.0,17461.0,17361.0,17117.0,17160.0,1.8344953708995315,2.2793654429872285,1.6012902482575888,1.524799906525676,1.520979020979021
22,Mendocino County,2058.0,1780.0,1617.0,1635.0,1856.0,39.4323876,-123.4428811,87319.0,87690.0,87549.0,86932.0,86061.0,2.3568753650408274,2.0298779792450676,1.8469656992084433,1.8807803800671792,2.1566098465042236
23,Merced County,9263.0,8837.0,8409.0,8507.0,7768.0,37.1948063,-120.7228019,267370.0,270837.0,273733.0,277114.0,279252.0,3.4644874144444033,3.262848133748343,3.0719715927564453,3.0698557272458267,2.7817168722157763
24,Modoc County,204.0,239.0,185.0,109.0,116.0,41.5929185,-120.7183704,8957.0,8864.0,8816.0,8866.0,8763.0,2.2775482862565593,2.69629963898917,2.0984573502722323,1.2294157455447778,1.323747575031382
